Präzision01162
Date:,2025/04/24
Time:,14:08:09
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,794.018555,781.896729,137.974411,780.350586,677.688232,90.972374,807.000427,693.151245,93.514221,736.073975,1024.476685,252.063156,753.763855,1076.776611,456.438446,,,,,,,,,,,,,,,,,,
2,793.245972,783.357788,140.707138,779.817505,678.527344,94.596481,796.140930,697.241333,87.340942,736.084595,1027.202881,251.661575,753.845764,1078.433105,455.839233,,,,,,,,,,,,,,,,,,
3,792.285706,784.976929,143.217392,778.949402,680.138550,98.052551,806.438843,695.139221,100.251373,735.439941,1029.978149,251.610107,753.726746,1080.123657,455.815552,,,,,,,,,,,,,,,,,,
4,791.998596,786.850037,145.873779,778.907593,681.593750,100.909668,807.885559,696.052673,105.882835,734.588440,1032.750854,252.280716,753.417725,1081.731934,455.985260,,,,,,,,,,,,,,,,,,
5,791.290894,788.475708,148.751266,778.267334,682.805908,103.916130,806.565125,697.805603,108.139046,733.656433,1035.492432,252.920990,753.325867,1083.536621,456.452057,,,,,,,,,,,,,,,,,,
6,790.091125,790.637268,151.440277,777.124268,684.726379,107.529160,804.914063,699.859192,110.438690,732.873169,1038.540771,252.625702,753.216125,1085.353638,456.718323,,,,,,,,,,,,,,,,,,
7,789.497375,792.313416,153.974777,776.915710,686.085205,110.887665,804.072876,701.757568,113.682747,732.892639,1041.655273,252.728210,753.056885,1087.296387,457.494629,,,,,,,,,,,,,,,,,,
8,788.829163,794.614502,157.080215,776.311462,688.235962,114.078232,802.967590,703.288940,116.309006,732.412842,1044.782349,253.441422,752.736084,1089.254639,457.616852,,,,,,,,,,,,,,,,,,
9,787.672180,796.655151,159.613953,775.567322,690.013794,116.690521,802.540771,705.418518,119.655342,731.172424,1047.962891,253.868317,752.480469,1091.124878,457.648651,,,,,,,,,,,,,,,,,,
10,787.073914,798.884521,162.018631,774.519287,691.731262,119.906303,801.865540,707.017578,123.673218,730.478210,1051.102539,254.178909,752.481873,1093.027710,457.530334,,,,,,,,,,,,,,,,,,
11,785.804443,801.219299,164.114212,773.330750,694.197083,123.079124,800.573486,709.678040,126.127113,729.520874,1054.345825,254.329956,752.505371,1094.932129,457.534454,,,,,,,,,,,,,,,,,,
12,784.911438,803.540710,167.367477,772.123291,696.596313,125.996025,799.612549,711.716736,128.433853,728.985046,1057.610229,255.215790,752.520569,1096.894409,458.399658,,,,,,,,,,,,,,,,,,
13,783.567688,806.037415,170.143433,770.993347,698.817688,128.744156,798.445984,714.140381,131.410309,728.374634,1060.967041,255.421738,752.119690,1098.774414,458.801849,,,,,,,,,,,,,,,,,,
14,782.296265,808.232910,172.095825,769.876160,700.968323,131.263290,796.955261,716.421936,134.610901,727.962158,1064.443359,255.755524,751.871521,1100.778198,459.089844,,,,,,,,,,,,,,,,,,
15,780.709534,811.117920,174.619904,768.470398,703.421204,134.480759,796.013977,718.922913,137.531387,726.712219,1067.806030,256.494141,751.495056,1102.570313,459.821136,,,,,,,,,,,,,,,,,,
16,779.267761,813.690552,177.052231,767.232971,705.999878,136.760132,794.676514,721.560181,139.403671,725.665466,1070.976685,257.246368,751.069031,1104.418457,460.402161,,,,,,,,,,,,,,,,,,
17,777.805176,816.062683,178.900497,765.603394,708.603882,139.105408,792.639404,723.915710,142.037949,725.584473,1074.360840,257.559265,750.971375,1106.212158,461.205902,,,,,,,,,,,,,,,,,,
18,776.294800,819.028137,181.233185,764.035217,711.288940,141.526871,790.925171,726.647644,144.143585,724.784119,1077.993896,257.755951,750.781372,1108.115356,461.610077,,,,,,,,,,,,,,,,,,
19,774.369873,821.845032,183.723419,762.125610,714.167603,143.575546,789.333008,729.643433,146.010712,724.088928,1081.395752,258.361694,750.922241,1110.251953,461.659119,,,,,,,,,,,,,,,,,,
20,772.715088,824.256775,185.613586,760.391968,716.737976,145.848328,787.525757,731.931152,148.443909,723.200073,1084.749146,258.991638,750.801331,1112.129517,462.235229,,,,,,,,,,,,,,,,,,
