Präzision01165
Date:,2025/04/24
Time:,15:41:12
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,822.224609,774.539185,97.151894,854.051575,1084.910278,421.314667,808.256897,1015.657166,249.361053,824.093079,692.993958,47.654957,802.620605,695.075562,30.762047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,821.619751,774.709412,98.586838,854.368835,1085.524170,422.002899,808.537170,1016.901550,249.278809,823.040833,693.279236,48.862873,794.660583,671.515198,47.928543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,821.120911,774.925598,100.103668,854.282776,1086.273193,421.871460,808.738647,1018.159973,249.287659,821.855591,693.755554,50.785114,,,,791.940796,656.934692,59.139942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,820.817078,775.721985,101.600151,854.442566,1086.990967,421.924164,808.934875,1019.601501,249.041962,820.941650,693.935730,52.741936,,,,793.031189,671.971130,51.658504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,820.136963,776.711426,103.151154,854.709106,1087.765137,421.888763,809.128662,1021.212646,249.014862,819.922241,694.208069,54.660480,,,,793.818665,683.973267,48.348743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,819.416077,777.252441,104.766838,855.093689,1088.579102,421.998444,810.064270,1023.014648,248.748474,819.654480,694.477173,57.174854,,,,791.119690,673.624146,56.385857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,818.916809,778.128723,107.138412,855.582581,1089.419189,421.952179,809.463318,1024.913818,248.873199,818.852478,695.405884,60.375717,,,,789.385437,671.047546,60.865955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,818.267090,778.669189,108.975090,855.978394,1090.377563,421.877106,809.529480,1026.807983,249.116852,817.337952,696.106750,62.763748,,,,788.656128,672.958984,62.609783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,817.699646,779.679871,111.286110,856.576233,1091.441406,421.836273,810.075500,1028.911621,249.066650,816.242554,696.831787,65.141228,,,,787.680908,674.752808,64.204109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,816.850891,781.056946,113.459892,856.846313,1092.564697,421.841187,810.122375,1030.975098,248.996658,815.422546,697.054382,68.133667,,,,786.598572,676.090881,66.911522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
