Präzision01159
Date:,2025/04/24
Time:,15:56:28
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,784.478149,656.117554,72.513641,727.581360,954.359497,172.382919,787.458130,773.500977,87.341362,727.591858,1041.910522,328.664917,798.931458,679.338623,64.531311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,784.369934,656.124817,72.583511,727.486023,954.406799,172.385803,787.431030,773.489380,87.348343,727.607361,1041.934937,328.667023,798.863098,679.363037,64.494347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,784.326538,656.087036,72.563377,727.528564,954.431519,172.445114,787.409729,773.499817,87.314964,727.628662,1041.903931,328.745087,803.315125,678.344666,69.166077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,784.331482,656.132324,72.582283,727.579834,954.419189,172.379761,787.289063,773.510681,87.364174,727.593445,1041.918091,328.742767,807.556641,677.438354,73.579201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,784.236755,656.128235,72.559570,727.507446,954.491272,172.374802,787.241089,773.498474,87.389938,727.619690,1041.921753,328.699951,808.624512,677.202881,74.749428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,784.071167,656.020874,72.249657,727.449524,954.544678,172.470413,787.166321,773.486938,87.422600,727.617004,1041.905640,328.749390,808.019348,677.319824,74.133255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,783.867554,656.335083,72.734451,727.401306,954.518555,172.445267,787.124756,773.474365,87.482841,727.619934,1041.895996,328.740875,807.339050,677.460022,73.490486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,783.917908,656.195068,72.618126,727.304626,954.615173,172.472137,787.030151,773.481445,87.517883,727.669128,1041.945801,328.646637,807.148132,677.479858,73.368813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,783.859070,656.097595,72.453232,727.294983,954.664978,172.507828,786.928040,773.477173,87.504013,727.669373,1041.948975,328.677216,807.160156,677.473083,73.379837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,783.516052,655.834595,72.583961,727.317017,954.643433,172.406082,786.860901,773.487305,87.499451,727.668335,1042.034912,328.648956,807.138611,677.394775,73.541557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
