Präzision01158
Date:,2025/04/24
Time:,16:13:32
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,772.734558,704.519531,124.176529,747.772766,699.581421,119.014900,827.066772,1094.760132,383.195465,793.867065,805.679626,126.962997,803.747803,1035.196289,224.030182,,,,,,,,,,,,
2,771.654663,706.129700,127.264687,746.154297,701.299011,122.617722,826.989136,1095.936646,383.517822,793.312195,807.472717,129.017715,803.995239,1037.350098,224.061096,,,,,,,,,,,,
3,771.270447,707.864014,129.614639,745.257935,702.916931,125.801071,827.239258,1097.269531,383.539185,792.672058,809.131653,130.994247,804.161621,1039.794800,224.182693,,,,,,,,,,,,
4,770.228271,709.682068,132.394821,744.773682,704.728088,128.384293,827.553345,1098.731079,383.416412,791.751892,810.825989,133.757034,804.510498,1042.156250,224.273483,,,,,,,,,,,,
5,769.450256,711.444580,135.627975,743.719421,706.479492,131.299576,827.858765,1100.068237,383.303711,790.874023,812.577271,135.840103,804.906067,1044.532959,224.138260,,,,,,,,,,,,
6,768.999207,713.182068,138.490234,742.887268,708.325806,134.430725,827.918518,1101.368896,383.350494,789.910278,814.609192,137.893509,804.929993,1046.902588,224.132645,,,,,,,,,,,,
7,767.580811,715.086121,141.404648,742.090576,710.337463,137.492111,827.959717,1102.689819,383.391479,789.378784,816.561401,139.955994,804.616760,1049.201416,224.814560,,,,,,,,,,,,
8,766.847351,717.507568,144.322037,740.776123,712.382874,140.780701,828.100464,1104.174194,383.438232,788.668579,818.376038,142.696609,804.629028,1051.719360,225.962494,,,,,,,,,,,,
9,766.583923,719.201599,147.550659,740.443298,714.243591,143.636856,828.503906,1105.730469,383.736816,787.906616,820.472473,145.225266,805.116882,1054.473022,225.731506,,,,,,,,,,,,
10,765.300537,721.568481,150.787903,739.658569,716.437439,146.621567,828.952454,1107.081421,383.918884,787.111633,822.546753,147.441025,805.419678,1056.989014,225.419937,,,,,,,,,,,,
11,763.737976,723.315308,153.544128,738.507324,718.493347,150.611908,828.769836,1108.551025,384.255859,785.934875,824.848755,149.389938,805.307495,1059.407349,225.772934,,,,,,,,,,,,
12,763.403992,725.671814,156.675400,738.025391,720.380493,153.179428,828.520752,1109.830444,384.945038,785.396606,827.283264,152.116989,805.035156,1062.198120,226.905426,,,,,,,,,,,,
13,762.586121,728.075195,159.931091,736.964478,722.803650,156.248596,828.610046,1111.335693,385.237122,784.473206,829.221558,154.626480,805.346924,1064.966309,227.413788,,,,,,,,,,,,
14,761.323853,730.709412,162.628494,735.661133,725.558594,159.398071,829.205872,1112.890503,385.140167,783.461060,831.514587,156.802856,805.528564,1067.655029,227.430923,,,,,,,,,,,,
15,761.219421,732.854248,165.429993,734.548645,728.052307,162.541336,829.727539,1114.494629,384.734955,782.191406,834.255188,159.139481,805.342224,1070.131470,228.070572,,,,,,,,,,,,
16,760.080994,735.441528,168.260040,733.912842,730.189148,165.845276,829.932983,1116.124390,384.665802,781.297974,836.599609,161.191513,805.356934,1073.233887,228.579361,,,,,,,,,,,,
17,758.766479,738.147583,171.166824,732.972900,732.765137,168.821121,829.966614,1117.609497,385.298248,780.379517,839.134583,163.689362,805.185425,1076.247925,228.882004,,,,,,,,,,,,
18,758.325867,740.531372,174.803284,731.910156,735.438232,171.470001,829.994934,1119.343628,385.684174,779.322754,841.496643,166.353821,805.454041,1078.891846,228.910614,,,,,,,,,,,,
19,757.282471,743.140503,177.370819,730.932190,737.971619,174.788315,830.139221,1121.013184,385.874084,778.422913,844.147705,168.811432,805.233276,1081.413696,229.911697,,,,,,,,,,,,
20,756.028137,745.963745,179.706161,729.888000,740.608093,177.687927,830.601135,1122.741821,386.099060,777.219666,846.927124,170.974167,804.879028,1084.369995,231.339432,,,,,,,,,,,,
21,754.782410,748.690857,182.295349,728.841064,743.204773,180.114655,830.487061,1124.295044,386.168396,776.152832,849.398010,172.853897,804.729858,1087.488281,231.802505,,,,,,,,,,,,
22,754.334656,751.077454,185.545639,727.550293,746.257568,182.877075,830.383728,1125.802612,386.666138,775.075012,852.289001,174.806671,804.697815,1090.278442,232.007141,,,,,,,,,,,,
23,752.838928,753.977905,188.314194,726.502014,748.760376,185.648209,830.178589,1127.355225,387.335754,773.975830,855.161316,176.705994,805.426819,1093.037598,231.752090,,,,,,,,,,,,
24,751.747742,756.947693,190.291885,725.412537,751.603699,188.235138,830.371094,1129.185303,387.965698,772.851929,857.955078,178.603607,805.110229,1095.812134,232.684265,,,,,,,,,,,,
25,750.582336,759.868469,192.315704,724.385742,754.632813,190.752441,830.609192,1130.819946,388.104431,771.659424,860.605347,180.748459,804.488647,1098.618652,233.642700,,,,,,,,,,,,
26,749.201233,762.785645,194.643402,723.115540,757.432556,192.831192,830.816467,1132.527954,388.311829,770.579712,863.329895,182.603638,803.981384,1101.349731,234.780701,,,,,,,,,,,,
27,748.060608,765.751404,196.421280,721.325073,760.487732,195.429871,830.956604,1134.081421,388.780518,769.317871,866.118164,184.466125,804.042114,1103.968872,235.302414,,,,,,,,,,,,
28,746.413635,768.355957,198.454956,720.053345,763.357605,197.451141,831.070435,1135.717773,389.300751,768.036438,869.196289,186.129700,804.396851,1106.740112,235.619217,,,,,,,,,,,,
29,744.752014,771.268127,200.901123,718.883179,766.315186,199.907516,831.218384,1137.416748,389.619263,766.639648,872.169128,187.902145,804.392761,1109.625366,235.834854,,,,,,,,,,,,
30,743.551880,774.515808,202.552414,717.355957,769.371094,201.432541,831.399658,1139.120239,389.780212,765.511536,874.872192,189.431961,803.935730,1112.469849,236.425507,,,,,,,,,,,,
31,742.100220,777.495422,204.482590,716.213623,772.332520,203.604431,831.466858,1140.570068,390.113281,764.044739,877.864685,190.935608,803.942932,1115.082153,237.106766,,,,,,,,,,,,
