Präzision01160
Date:,2025/04/24
Time:,16:13:39
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,800.861938,778.528137,117.533325,776.929688,673.107117,71.394798,801.262451,684.525574,74.235733,782.167236,1017.157593,232.573624,810.513306,1089.112671,388.596832,,,,,,,,,,,,,,,
2,800.879150,778.457397,117.575623,776.954346,673.048279,71.510551,801.412964,684.360657,74.369141,782.126770,1017.135071,232.641739,810.558350,1089.099487,388.546844,,,,,,,,,,,,,,,
3,800.866272,778.403442,117.530754,776.959412,672.948059,71.436745,801.427124,684.165161,74.388428,782.166748,1017.056458,232.616699,810.571533,1089.017334,388.527924,,,,,,,,,,,,,,,
4,800.752747,778.388916,117.541039,777.008850,672.829773,71.516861,801.503235,683.921387,74.479477,782.186279,1016.999634,232.708160,810.518677,1089.005249,388.583557,,,,,,,,,,,,,,,
5,800.830750,778.283691,117.474754,776.892456,672.718201,71.339546,801.480774,683.957886,74.514206,782.033569,1016.975281,232.733047,810.490845,1089.002686,388.560883,,,,,,,,,,,,,,,
6,800.848694,778.262695,117.492554,776.914734,672.707031,71.414467,801.468201,683.777466,74.508339,781.994080,1016.895752,232.729568,810.507629,1089.004395,388.537750,,,,,,,,,,,,,,,
7,800.826965,778.157104,117.452065,776.985413,672.623474,71.492386,801.492615,683.588440,74.517075,782.012939,1016.875305,232.717636,810.518066,1088.930908,388.507904,,,,,,,,,,,,,,,
8,800.806519,778.113770,117.440788,776.961731,672.553406,71.420784,801.522644,683.381531,74.581612,782.038025,1016.754517,232.805679,810.522400,1088.905884,388.502258,,,,,,,,,,,,,,,
9,800.746948,778.078125,117.361298,776.919922,672.451111,71.445930,801.469604,683.251770,74.591881,781.991394,1016.746948,232.778656,810.521423,1088.907837,388.504333,,,,,,,,,,,,,,,
10,800.700195,778.008606,117.332451,776.923828,672.340759,71.464783,801.616882,683.087097,74.644066,782.016479,1016.673767,232.729843,810.495117,1088.921875,388.495514,,,,,,,,,,,,,,,
11,800.682068,777.966553,117.432632,776.930908,672.278442,71.481339,801.531616,682.941589,74.751007,781.987244,1016.513611,232.830322,810.478333,1088.924072,388.505096,,,,,,,,,,,,,,,
12,800.627563,777.857727,117.428017,776.923706,672.189941,71.504967,801.460632,683.022522,74.729675,781.889465,1016.466858,232.922012,810.427979,1088.921631,388.504669,,,,,,,,,,,,,,,
13,800.635620,777.843872,117.433723,776.941223,672.174316,71.488968,801.557068,682.761414,74.810638,781.800842,1016.353699,232.997467,810.465576,1088.921387,388.512390,,,,,,,,,,,,,,,
14,800.577271,777.836731,117.530952,776.837830,672.166382,71.300888,801.498230,682.614746,74.832687,781.497437,1016.307251,233.132721,810.458069,1088.911621,388.617035,,,,,,,,,,,,,,,
15,800.545837,777.835938,117.553101,776.867126,672.158203,71.456314,801.418457,682.701355,74.852249,781.596680,1016.219360,233.166229,810.454529,1088.904663,388.659943,,,,,,,,,,,,,,,
16,800.536865,777.832764,117.548958,776.928772,672.153809,71.607071,801.411987,682.660583,74.939240,781.574829,1016.152954,233.211670,810.465759,1088.884399,388.712677,,,,,,,,,,,,,,,
17,800.460449,777.823242,117.623138,776.931213,672.171448,71.708481,801.292419,682.705933,74.964516,781.458191,1016.088867,233.406082,810.329834,1088.963257,388.766479,,,,,,,,,,,,,,,
18,800.449768,777.939758,117.642708,776.585693,672.185120,72.045624,801.163086,682.840393,75.101372,781.316711,1016.086609,233.451340,810.403076,1088.968018,388.900177,,,,,,,,,,,,,,,
19,800.413330,778.010803,117.700096,776.533264,672.452271,72.311264,800.951111,682.964417,75.107620,781.124573,1016.034973,233.684479,810.384277,1089.042847,388.951477,,,,,,,,,,,,,,,
20,800.377991,778.094482,117.815910,776.416321,672.648804,72.430267,800.771606,683.265930,75.139725,780.953857,1016.100708,233.868469,810.359497,1089.147583,389.074341,,,,,,,,,,,,,,,
21,800.219299,778.178589,117.841911,776.299072,672.793518,72.553162,800.516541,683.561401,75.134651,780.762085,1016.101074,233.967117,810.339355,1089.210815,389.189606,,,,,,,,,,,,,,,
22,800.163452,778.392151,118.223877,776.180603,673.001343,72.659981,800.157349,683.905640,75.130539,780.679749,1016.287842,234.008179,810.258423,1089.297729,389.347870,,,,,,,,,,,,,,,
23,800.003113,778.453491,118.504395,775.933594,673.199890,73.095291,799.570374,684.573792,74.924255,780.640747,1016.508728,234.068939,810.204163,1089.482666,389.540955,,,,,,,,,,,,,,,
24,800.200256,778.605591,118.441345,775.784058,673.199219,73.663147,798.947388,685.314453,75.108620,780.572571,1016.716797,234.160110,810.113770,1089.506714,389.600220,,,,,,,,,,,,,,,
25,799.945374,778.827515,118.926086,775.542480,673.403870,74.695808,798.433899,685.953430,75.362450,780.501282,1017.137756,234.280380,810.159607,1089.677612,389.751770,,,,,,,,,,,,,,,
26,799.139648,779.325073,119.824554,775.444336,673.503845,75.535995,797.756470,686.264404,75.722885,780.388855,1017.810913,234.411636,810.143188,1089.786621,389.791016,,,,,,,,,,,,,,,
27,798.670288,779.850403,120.529945,775.368835,673.797058,76.398903,798.378296,685.545715,78.432068,780.430481,1018.617493,234.445251,810.129395,1089.975098,389.807159,,,,,,,,,,,,,,,
28,798.515930,780.313110,121.471039,774.770935,674.046875,77.628235,799.030151,684.998962,80.947815,780.066284,1019.371643,234.587585,810.162903,1090.156982,389.935486,,,,,,,,,,,,,,,
29,798.353760,781.062439,123.029335,773.920288,674.437561,79.651039,798.873413,684.856262,82.971413,779.966553,1020.278625,234.736053,810.192261,1090.446045,390.070313,,,,,,,,,,,,,,,
30,798.051147,781.795288,124.609093,772.610962,674.947510,82.134659,797.713440,685.577698,84.786163,779.885803,1021.151794,234.990433,810.150146,1090.737183,390.161041,,,,,,,,,,,,,,,
31,797.362183,782.555237,125.810158,772.088623,675.528381,83.763046,796.355652,686.240173,86.027275,779.886536,1022.476501,235.282516,810.171509,1091.139526,390.258759,,,,,,,,,,,,,,,
32,797.262695,783.002991,127.131897,771.857361,676.491638,86.584465,795.066040,686.988586,88.165276,779.954163,1023.543518,235.426178,810.124207,1091.484497,390.545044,,,,,,,,,,,,,,,
33,796.638916,784.234619,129.041321,771.461975,677.067688,88.650063,795.428345,687.821106,90.678795,780.070740,1024.541504,235.603561,810.397827,1091.720947,390.684448,,,,,,,,,,,,,,,
34,796.299011,785.056641,130.860779,771.093079,677.914551,90.783508,795.498169,688.191101,93.739738,780.287231,1026.037476,235.845413,810.521301,1092.213623,390.745544,,,,,,,,,,,,,,,
