Präzision01164
Date:,2025/04/30
Time:,17:47:20
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,819.370667,772.826843,92.082626,788.971313,674.531677,37.706944,815.975037,1006.740662,229.520905,828.880615,1065.492432,394.838165,815.885376,687.672852,35.436874,,,,,,
2,819.397400,772.811584,92.367592,788.892517,674.533630,37.712429,815.898743,1006.718018,229.625153,828.929321,1065.605103,394.797424,815.638672,687.693542,35.383701,,,,,,
3,819.165955,772.761719,92.579369,788.811401,674.616638,37.749046,815.690491,1006.831848,229.550781,828.957031,1065.725952,394.777954,815.481079,687.709290,35.413273,,,,,,
4,819.031738,772.807556,92.857361,788.737305,674.724182,37.749096,815.516479,1006.983154,229.423889,828.997742,1065.841431,394.767090,815.560242,687.747253,35.664211,,,,,,
5,818.906982,772.833496,93.044083,788.624756,674.870239,37.893555,815.460327,1007.124695,229.329147,829.177673,1066.009521,394.813568,815.515747,687.721619,36.040596,,,,,,
6,818.702393,772.946838,93.151062,788.520203,675.051453,38.005306,815.367737,1007.320496,229.248032,829.046387,1066.260620,394.834412,815.448547,687.609558,35.888409,,,,,,
7,818.586731,773.046204,93.504616,788.367188,675.207153,38.074493,815.565186,1007.567200,229.066589,828.998718,1066.489502,394.899078,814.760681,687.710327,35.964081,,,,,,
8,818.399780,773.127502,93.838379,788.164063,675.450623,38.046951,815.466919,1007.846558,228.990143,829.104431,1066.731567,394.837341,814.440979,688.011902,36.482880,,,,,,
9,818.081482,773.275757,94.154945,787.921875,675.850037,38.035011,815.193970,1008.226868,229.024521,829.241455,1067.044312,394.807526,814.800903,688.059204,37.604004,,,,,,
10,817.797058,773.408875,94.483536,787.543213,676.295776,38.410168,814.944580,1008.615479,229.123932,829.248962,1067.391602,394.769562,815.159668,687.973755,38.639626,,,,,,
11,817.540405,773.698181,94.788086,787.237183,676.426819,38.780796,814.722717,1009.066589,229.139496,829.364502,1067.672485,394.609467,815.367126,687.963928,39.401653,,,,,,
12,817.162476,774.213379,95.461006,786.781677,676.473389,39.777481,814.461365,1009.581177,229.300705,829.571716,1068.156982,394.506256,814.358948,688.391479,39.532505,,,,,,
13,816.806213,774.736145,96.279099,786.127014,676.419495,41.037376,814.429260,1010.203796,229.271713,829.649414,1068.526245,394.478485,813.787537,688.272278,41.348160,,,,,,
14,816.545715,775.052307,97.019211,785.633850,676.424866,42.102451,814.413635,1010.786438,229.175751,829.784546,1068.947998,394.469849,813.327759,688.097229,43.167789,,,,,,
15,816.250854,775.327209,98.041573,785.125366,676.841553,43.469250,814.403564,1011.195984,229.103165,829.789917,1069.474365,394.552429,812.944275,688.110229,44.197388,,,,,,
16,815.800842,775.618225,99.326546,784.058594,677.262878,45.279827,814.448181,1011.829102,229.019714,829.875732,1070.171997,394.877472,811.539673,688.726807,45.277527,,,,,,
17,815.745239,775.894165,100.374107,783.259583,677.762939,46.880562,814.471252,1012.816528,228.782181,830.030396,1070.721069,395.033997,811.952942,688.563538,48.140594,,,,,,
18,815.359253,776.368469,101.619522,782.801208,677.986084,48.189747,814.714111,1013.736633,228.494217,830.368347,1071.476563,395.156677,811.813721,688.655273,50.251827,,,,,,
19,814.902344,776.935425,103.229599,781.587646,678.014282,50.830662,814.920288,1014.661316,228.590149,830.494385,1072.114258,395.686310,810.876038,688.595642,52.013355,,,,,,
20,814.412109,777.619019,104.688431,780.854126,678.023193,52.947617,814.885071,1015.728943,229.016678,830.710449,1073.204834,395.879120,809.613220,689.303406,53.650707,,,,,,
21,813.897949,778.290100,106.245407,780.155029,678.412048,54.368401,814.617188,1017.011719,229.488525,831.145203,1074.158569,395.915070,808.019287,689.880432,55.552078,,,,,,
22,813.499084,779.027649,108.564110,779.167786,679.475647,56.849342,814.247803,1018.326355,230.086990,831.484436,1075.178101,396.021515,807.089539,690.509155,57.494717,,,,,,
23,813.097534,779.746033,110.356049,778.256165,680.158997,59.287807,814.568787,1019.815430,231.011154,831.704407,1076.016235,396.252747,806.996704,690.744202,60.686676,,,,,,
24,812.597534,780.546143,112.480377,778.056152,680.969971,62.198063,814.970459,1021.314636,231.198715,831.800903,1077.299927,396.549225,806.733582,690.825134,64.049431,,,,,,
25,811.856079,781.456055,114.681114,777.201782,681.570190,64.704628,814.795776,1023.089905,231.791870,832.088379,1078.540283,396.800446,806.541931,691.347595,67.176826,,,,,,
26,811.435242,782.816284,117.201675,775.875122,682.435059,68.017471,814.382019,1025.136108,232.591904,832.507690,1079.869385,396.598816,805.405396,692.334167,69.885025,,,,,,
27,810.743042,783.860229,119.414185,775.345215,683.321167,71.086830,814.734802,1026.966187,232.613876,832.794067,1081.484619,396.915405,803.774780,693.868713,72.256020,,,,,,
28,810.132141,784.759216,122.077934,774.573425,684.367432,74.016792,814.759766,1028.805298,233.643097,832.701538,1083.052734,397.569336,803.619690,694.180969,75.420113,,,,,,
