Präzision17
Date:,2025/04/15
Time:,13:26:02
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,814.003845,663.066345,46.536015,715.996216,1022.163940,393.957489,799.269775,762.318298,106.760506,829.793030,686.456543,40.933353,697.804749,1044.844482,223.956894,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,814.003357,663.015747,46.492306,715.973572,1022.143616,393.927368,799.086670,762.517029,107.214142,829.464783,686.473267,40.636879,697.826843,1044.839478,223.906952,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,813.978088,662.992798,46.495876,715.993713,1022.161011,393.952911,799.021729,762.511536,107.287292,829.565002,686.415466,40.610924,697.820618,1044.846191,223.934784,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,814.194397,663.398560,46.234615,715.997375,1022.164978,393.958984,799.114258,762.455688,107.237167,829.600891,686.430542,40.626328,697.805969,1044.845337,223.956924,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,814.027588,663.139709,46.394928,716.017029,1022.168091,393.979858,799.146667,762.398132,107.244225,829.540466,686.371338,40.697021,697.867310,1044.831177,223.968292,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,814.187073,663.394897,46.245487,716.046570,1022.151917,394.006073,799.292664,762.266296,106.844810,829.709900,686.350403,40.869419,697.874695,1044.836548,223.995590,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,814.065247,663.141663,46.435974,716.107788,1022.178223,394.079834,799.251953,762.410706,107.188972,829.918213,686.341858,40.967487,697.899353,1044.831543,223.984451,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,814.227478,663.346985,46.275909,716.045715,1022.258789,394.098114,799.348328,762.232788,106.927185,829.839966,686.295349,40.870380,697.876709,1044.828369,223.918869,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,814.267883,663.471130,46.159546,716.052673,1022.257996,394.016205,799.254883,762.351746,107.197990,829.840088,686.343567,40.866837,697.867737,1044.747314,223.923492,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,814.244690,663.474731,46.195515,716.071228,1022.253662,393.990631,799.376282,762.207703,106.969101,829.872192,686.368896,40.910397,697.859070,1044.730469,223.940109,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,814.228943,663.437561,46.173214,716.046204,1022.242737,394.007935,799.274780,762.312439,107.235329,829.909180,686.356445,40.940807,697.865845,1044.738525,223.987015,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,814.259888,663.399902,46.196842,716.061584,1022.250244,394.004272,799.345154,762.283997,107.213348,829.925110,686.346558,40.955914,697.909058,1044.706787,224.081970,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,814.255188,663.403015,46.190441,716.107056,1022.244629,394.066681,799.339722,762.276917,107.141762,829.923767,686.345459,40.955322,697.953064,1044.696289,224.118073,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,814.266052,663.437256,46.192612,716.094299,1022.220093,394.051483,799.409729,762.264771,107.206573,829.915466,686.347839,40.946613,697.962097,1044.698364,224.110138,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,814.238281,663.400024,46.168262,716.133606,1022.226257,394.019989,799.297729,762.256714,107.441010,829.908020,686.349915,40.938324,697.967407,1044.614136,224.088043,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,814.258789,663.415588,46.215401,716.233032,1022.280334,394.080139,799.273865,762.241089,107.482918,829.900940,686.358032,40.942928,697.941833,1044.578125,224.090714,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,814.271545,663.400513,46.206322,716.138000,1022.244629,394.046448,799.405823,762.255371,107.225594,829.546936,686.204407,40.621780,697.982849,1044.571411,224.145065,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,814.274902,663.389771,46.172550,716.218140,1022.238342,394.097382,799.423584,762.214111,107.123817,829.410095,686.237122,40.476967,697.990906,1044.573364,224.154510,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,814.269592,663.349060,46.202156,716.204651,1022.234985,394.148163,799.428040,762.207642,107.168083,829.464783,686.323730,40.470600,697.990173,1044.574585,224.150101,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,814.266724,663.384216,46.190392,716.199646,1022.231079,394.155151,799.446777,762.207947,107.190491,829.721008,686.295837,40.744308,697.990295,1044.574829,224.147614,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,814.270874,663.346863,46.180641,716.212524,1022.231079,394.142120,799.435364,762.204163,107.155464,829.932617,686.231628,40.963783,698.003540,1044.556519,224.217499,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,814.236511,663.329346,46.182602,716.244446,1022.222534,394.195190,799.446350,762.199463,107.179596,830.000366,686.200867,41.020638,698.012085,1044.465942,224.279587,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,814.222290,663.316040,46.143013,716.254761,1022.215942,394.184174,799.399902,762.144165,107.192497,829.970886,686.210815,41.003021,698.018372,1044.443481,224.256729,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,814.262817,663.285034,46.149113,716.206360,1022.255066,394.419525,799.407349,762.141541,107.238121,829.917542,686.226074,40.949692,698.058411,1044.446899,224.261551,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,814.304260,663.259583,46.162739,716.240417,1022.214172,394.258728,799.359802,762.168274,107.371689,829.906189,686.220276,40.913918,698.086243,1044.450073,224.274445,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,814.236267,663.273193,46.155895,716.149353,1022.270081,394.328430,799.369263,762.127686,107.194466,829.885986,686.231079,40.908386,698.112305,1044.422119,224.378845,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,814.243225,663.265259,46.153633,716.169739,1022.261414,394.386200,799.379883,762.106995,107.139351,829.907715,686.220032,40.916142,698.106750,1044.328369,224.393616,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,814.255554,663.254822,46.130444,716.168945,1022.258850,394.411682,799.379822,762.124390,107.143860,829.919617,686.209595,40.906403,698.117432,1044.307251,224.351730,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,814.226501,663.276978,46.145340,716.192627,1022.262146,394.400208,799.357910,762.119812,107.109871,829.722717,686.177734,40.765896,698.145935,1044.317383,224.389420,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,814.246765,663.266541,46.154953,716.294128,1022.255066,394.529724,799.317505,762.148804,107.300659,829.758850,686.219849,40.752251,698.204895,1044.330444,224.358994,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,814.255188,663.260498,46.157425,716.364075,1022.236206,394.562836,799.380676,762.020203,107.206879,829.688416,686.088501,40.720478,698.270996,1044.331421,224.348877,,,,,,,,,,,,,,,,,,,,,,,,,,,
