PTP312
Date:,2025/04/08
Time:,13:37:36
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1
Field #,X,Y,Z
1,229.286560,662.409424,115.858887
2,229.227997,661.292908,116.181999
3,228.934448,659.518677,116.978172
4,228.589767,658.525208,117.938911
5,227.982300,656.724854,119.155251
6,227.659073,655.277832,120.023743
7,227.289124,653.559753,120.811569
8,227.156281,651.977905,121.418205
9,227.099396,649.906616,122.046051
10,226.934921,648.375122,123.075188
11,226.712799,646.159607,124.293137
12,226.661972,643.871216,125.447060
13,226.741486,641.708923,126.088707
14,226.605347,639.524658,126.416138
15,226.321564,636.708313,127.006386
16,226.276703,634.168945,127.876099
17,226.268906,631.408264,128.980728
18,225.987823,628.598816,130.342743
19,225.743362,625.594177,131.285950
20,225.380981,622.342468,131.730789
21,225.516708,619.304871,132.038483
22,225.673401,616.096375,132.386230
23,225.909866,612.495911,133.082855
24,225.968109,609.122620,133.950363
25,225.793884,605.694824,134.307602
26,225.539444,602.135620,134.710800
27,225.573212,598.444458,135.119125
28,225.690994,594.888000,135.839859
29,225.914276,591.460083,136.222397
30,226.300354,587.961060,136.199921
31,226.194870,584.358521,136.296967
32,226.369019,580.770142,136.276779
33,226.858246,576.968872,135.791580
34,226.772552,573.264404,136.496552
35,227.074158,569.413940,136.541534
36,227.339920,565.539551,136.427582
37,227.447052,561.942688,136.125839
38,227.640472,558.301331,135.920898
39,227.413330,554.570374,136.122192
40,227.717911,550.445435,135.951050
41,228.060822,546.445374,135.973892
42,228.397079,542.789490,135.894531
43,228.607437,539.315186,135.892990
44,229.000732,535.894775,135.456360
45,229.063934,532.466858,134.884003
46,229.673477,528.937988,134.549896
47,230.187973,525.553284,133.801315
48,230.579147,522.195007,133.614990
49,230.758179,518.799194,133.745987
50,231.383316,515.385620,133.119781
51,231.402679,512.234436,133.068405
52,231.521271,508.929047,132.726837
53,231.830307,505.830841,132.222610
54,232.380020,502.816254,131.775055
55,232.958771,499.570038,131.506546
56,233.448059,496.560913,131.013474
57,233.993271,493.328156,130.642090
58,234.240463,490.308075,130.550949
59,234.349335,487.920563,130.603424
60,234.705536,485.066803,129.996185
61,235.346497,482.495026,129.742126
62,235.916718,479.801178,129.692490
63,236.640274,477.298676,129.379120
64,237.232895,475.042511,128.500092
65,237.663040,472.589935,128.164841
66,237.974854,470.194885,127.976097
67,238.301193,468.186951,127.480247
68,238.807999,465.798462,127.100639
69,239.200500,463.412476,127.297974
70,239.560745,461.818237,127.261391
71,240.150345,459.575958,126.652664
72,240.659836,457.532867,126.252159
73,240.790344,455.819275,126.006645
74,241.001266,453.734863,125.857529
75,241.398331,451.801605,125.336990
76,241.541321,449.950592,125.305412
77,242.021118,448.310028,125.339073
78,242.401489,446.339294,125.177391
79,242.936829,444.987152,124.791489
80,243.303604,443.244080,124.453812
81,243.740204,442.039429,124.255981
82,244.076569,440.370178,124.037178
83,244.327896,438.738434,123.604912
84,244.685303,437.321503,123.003296
85,244.819977,435.974426,122.534012
86,245.060974,434.909027,122.381393
87,245.221741,433.349182,122.366776
88,245.398560,431.977692,122.055168
89,245.529846,430.949890,121.579330
90,245.711609,429.447113,120.777390
91,245.759613,428.645752,120.360023
92,245.906433,427.822601,119.988060
93,246.031158,426.718201,119.590363
94,246.428818,425.494476,118.737877
95,246.671585,424.684235,118.066711
96,246.800446,424.045380,117.317413
97,246.990265,423.696075,116.695297
98,247.101700,423.373322,115.865387
