Weight16
Date:,2025/04/16
Time:,14:18:09
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,893.983093,700.192871,115.031616,828.105286,628.175903,87.584831,768.364197,695.289429,95.842598,1081.450073,859.554688,281.704834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,893.877258,700.252808,115.573662,828.027283,628.254639,88.142586,768.353088,695.158325,95.730919,1081.453125,859.805298,281.475372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,893.769897,700.303955,115.795685,827.911865,628.292419,88.679047,768.424255,695.133118,95.754723,1081.738647,860.031494,281.369141,1089.810303,845.347534,423.010956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,894.201721,700.080383,115.956139,827.793518,628.367554,89.141548,768.337891,695.015137,95.824387,1082.003296,860.074097,281.746094,1089.378296,845.359314,422.956909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,893.816467,700.281250,116.486008,827.703308,628.449280,89.521469,768.359497,695.185608,96.248589,1082.094971,860.291992,281.996765,1089.136353,845.261169,422.961578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,893.655396,700.267029,116.971161,827.590393,628.401672,89.879616,768.076721,695.168701,96.397987,1082.142944,860.402466,282.105499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,893.553162,700.219238,117.370323,827.436340,628.372253,90.214905,767.870422,695.183411,96.680450,1082.142822,860.529480,282.166168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,893.484619,700.176697,117.850143,827.209412,628.422424,90.673660,767.284302,695.132141,97.198761,1082.093140,860.685669,282.256348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,893.351501,700.141235,118.574768,826.901428,628.341980,91.115448,767.301758,695.237488,97.394440,1082.164429,860.807983,282.228851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,892.753357,700.087036,119.541443,826.441650,628.344543,91.941109,767.375427,695.297852,97.875748,1082.302246,860.905640,282.345337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,892.458008,700.148682,120.039330,826.105103,628.451294,92.639877,767.183472,695.433716,98.283028,1082.288330,861.012451,282.350922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
