Weight21
Date:,2025/04/16
Time:,14:28:59
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,819.680664,627.888794,109.269196,884.034241,708.051208,117.539024,761.972412,689.169250,119.123749,1152.356812,851.026306,382.822815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,819.357483,628.180481,110.306808,883.858337,708.129578,118.097038,761.706665,689.357422,119.598656,1152.100708,851.114868,382.569550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,818.866638,628.421265,111.647079,883.771790,708.314575,118.891739,761.329041,689.583618,120.158951,1151.195313,850.915833,382.471741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,818.334900,628.505859,112.870964,882.912720,708.576965,120.008049,760.790588,689.956848,121.070824,1150.559937,850.535461,382.335846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,818.170776,628.669434,113.546837,882.488220,709.023254,121.229317,760.305786,690.340881,121.969467,1150.235840,850.304565,382.182648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,817.772156,628.907898,114.467255,881.358459,709.532776,122.423203,759.847473,690.725586,122.982803,1149.707886,850.182922,381.930908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,816.913696,629.235962,116.247658,880.537964,709.875122,123.246758,759.431396,690.962219,124.054214,1148.627563,850.766174,382.125122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,816.173645,629.437012,117.893494,879.870300,709.913696,124.044746,759.028931,691.175293,125.086746,1147.767456,850.841919,382.146545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,815.520996,629.627502,118.969826,879.189880,710.138733,124.486969,758.413574,691.399292,126.132858,1147.444336,850.655273,381.989990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,815.057312,629.904297,119.919754,878.862610,710.349121,125.141914,757.586243,691.800171,127.760384,1147.143066,850.512207,381.753204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,814.164795,630.118042,121.666664,878.997437,710.319702,126.114510,756.789856,692.031494,128.919510,1147.018311,849.418396,381.132111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,813.457275,630.363953,123.299461,878.342773,710.691406,127.573151,756.033569,692.233826,130.012054,1147.022217,848.852295,380.359253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
