Weight28
Date:,2025/04/22
Time:,15:43:41
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,885.252747,720.225708,114.397118,833.145447,631.599121,97.397858,1114.350830,861.132568,407.473572,765.309753,692.189026,105.125450,1062.155762,860.709167,241.830124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,885.262451,720.231079,114.372269,833.196350,631.606567,97.384796,1114.289551,861.138611,407.642181,765.311157,692.209656,105.211456,1062.159180,860.670044,241.896606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,885.220703,720.232300,114.387825,833.165283,631.588196,97.348801,1114.282837,861.230042,407.785004,765.274231,692.216553,105.203064,1062.067749,860.735107,241.883499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,885.234375,720.233887,114.469025,833.146118,631.598267,97.384705,1114.192017,861.246277,407.840332,765.272339,692.218384,105.247681,1062.001587,860.764282,241.917236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,885.275879,720.131470,114.493904,833.179199,631.628601,97.382568,1114.126587,861.279053,407.912201,765.195129,692.212585,105.269768,1062.073120,860.813293,242.034103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,885.252869,720.204590,114.480103,833.196228,631.569458,97.320786,1114.016113,861.382202,408.043671,765.247681,692.194275,105.192505,1061.952393,860.886292,242.010498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,885.095154,720.252075,114.494308,833.201965,631.594360,97.367752,1114.028809,861.374573,408.179596,765.176697,692.213684,105.255562,1061.863403,860.937500,242.054459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,885.038147,720.267334,114.503136,833.224548,631.589417,97.420837,1113.820557,861.483582,408.255554,765.184570,692.118103,105.254898,1061.769287,861.033142,242.114105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,885.062622,720.269104,114.532066,833.145569,631.599915,97.448868,1113.750366,861.517273,408.337433,765.270386,692.080444,105.160286,1061.671509,861.134399,242.198349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,885.007813,720.266296,114.544815,833.127197,631.575256,97.366440,1113.695679,861.524231,408.408112,765.329163,692.079651,105.091705,1061.601318,861.190918,242.277420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,884.942444,720.271118,114.563728,833.162170,631.582397,97.420776,1113.510986,861.627808,408.476959,765.361572,692.078186,105.111740,1061.526245,861.303772,242.348099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,884.934509,720.276550,114.580696,833.180237,631.582458,97.475060,1113.371582,861.662231,408.734589,765.328186,692.083923,105.103737,1061.484253,861.421204,242.402710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,884.897766,720.277954,114.601875,833.163940,631.577698,97.492271,1113.263672,861.700989,408.683838,765.276550,692.094055,105.205154,1061.500488,861.401733,242.442719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,884.855164,720.293213,114.665535,833.131653,631.602478,97.491402,1113.153809,861.805054,408.660431,765.237488,692.098755,105.263489,1061.417725,861.463257,242.395691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,884.878601,720.291077,114.624542,833.165466,631.588806,97.478340,1113.107056,861.867859,408.667419,765.262146,692.090454,105.177292,1061.382813,861.594421,242.441574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
