Weight54
Date:,2025/04/23
Time:,10:07:34
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,885.654236,694.418701,125.270195,762.241699,683.443054,95.196075,824.361572,617.433594,91.280609,1162.874023,854.191162,467.585541,1117.085815,857.258972,278.372101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,885.729736,694.491211,125.333771,762.167603,683.419861,95.302719,824.385376,617.599792,91.582306,1162.814697,854.238403,467.447174,1117.961792,857.341064,277.726440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,885.815125,694.727051,125.571922,762.147461,683.360657,95.522842,824.656616,617.738098,92.078865,1162.665161,854.263672,467.301605,1118.160645,857.699463,277.532257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,885.874512,694.852417,125.740440,762.074280,683.441956,95.746964,824.520203,617.787903,92.351974,1162.572510,854.293884,467.176971,1118.040405,857.923889,277.621490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,886.035278,695.066040,125.914322,762.074280,683.486816,96.016953,824.650269,617.860596,92.703461,1162.491333,854.313904,466.984344,1118.025391,858.069641,277.674377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,886.352295,695.305908,125.981781,761.976135,683.679077,96.231209,824.753845,617.849365,93.058502,,,,1118.118896,858.182861,277.620331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,886.559143,695.358521,125.854126,762.004150,683.927979,96.411224,824.974060,617.966370,93.289787,,,,1118.214478,858.427551,277.561157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,886.783691,695.557190,126.116798,761.868835,684.176025,96.641739,825.401245,617.926514,93.571327,,,,1118.395508,858.603577,277.496765,1162.574219,854.253113,466.615295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,887.002930,695.825867,126.127678,761.831665,684.506531,96.860657,826.039551,617.706543,94.028481,,,,1118.835938,858.845337,277.301544,1162.209351,854.469116,466.682861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,887.394104,696.029785,125.982796,761.893799,685.039795,97.148994,826.484497,617.342346,94.074898,,,,1119.428589,859.186035,277.011688,1162.003174,854.504944,466.667694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
