Weight66
Date:,2025/04/23
Time:,11:19:57
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,864.295959,718.141663,131.760025,757.275635,673.124939,83.870354,838.512268,631.958069,80.217239,1006.676086,893.125244,514.849060,1013.025757,922.632507,354.377411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,863.924011,718.580200,132.300064,756.641968,673.544983,84.532372,838.295715,631.833374,81.075279,1005.787231,893.264954,515.286438,1012.273071,923.020996,355.059906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,863.586975,718.992432,132.885178,756.345886,673.897827,84.835327,838.014771,631.979248,82.186966,1005.051880,893.344910,515.683472,1011.926331,923.472412,355.410309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,863.153320,719.280945,133.501862,756.029053,674.238220,84.992691,837.485168,632.455017,83.278801,1004.320190,893.343079,515.824341,1011.799561,923.966431,355.608887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,862.523376,719.615234,134.188339,755.927490,674.619202,85.093018,836.990845,633.325745,84.330864,1003.397400,893.311462,515.793518,1011.772766,924.463501,355.766937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,861.987366,720.019714,134.932495,755.890686,674.994629,85.538391,836.384399,633.845154,85.144325,1002.500366,893.332703,515.930542,1011.649719,925.163757,355.972168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,861.412354,720.372070,135.804245,755.595337,675.277039,86.165123,835.690979,634.167236,85.993279,1001.472778,893.545532,516.312439,1011.256287,925.845154,356.434814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,860.705933,720.979675,136.539017,755.087219,675.518127,86.890923,835.065918,634.157959,87.310646,1000.614258,893.728394,516.603333,1010.378296,926.438538,357.436859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,859.781982,721.355469,137.837540,754.537598,675.866150,87.845718,834.310486,633.866150,89.082581,999.866577,893.669861,516.802429,1009.952454,926.845459,357.901093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,859.080322,721.779968,138.787735,753.696167,676.159546,88.834038,833.648682,633.805237,91.292534,998.713013,893.654175,516.878174,1009.749268,927.375916,358.240875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,858.493835,722.150635,139.838593,,,,832.698608,633.907837,92.674110,997.635071,893.765625,517.329834,1009.589172,927.834778,358.441223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,857.696777,722.616089,140.679718,,,,831.582458,634.451477,93.491280,996.884338,893.926208,517.800598,1009.534058,928.425415,358.665649,752.243286,676.700745,91.468559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,856.473633,723.326477,142.172073,,,,830.436340,635.277710,95.524872,996.189087,894.036316,518.130249,1009.279419,929.049011,359.245331,751.189575,676.772766,93.182327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,855.237793,723.632568,143.291245,,,,829.382202,635.195740,97.540825,995.494873,894.009888,518.494324,1008.604187,929.654053,359.908966,749.768494,677.247131,94.913811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,854.106812,724.084961,144.368607,,,,827.913513,635.050903,99.038177,993.835510,894.147095,518.637695,1007.998474,929.983215,360.863220,748.399780,677.747498,96.400726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,852.805481,724.299255,145.596176,,,,826.573547,635.629089,101.269165,992.655334,894.223083,518.990295,1007.787598,930.274475,361.608856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
