Weight60
Date:,2025/04/23
Time:,12:59:40
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,763.732971,678.320190,108.841728,828.453979,621.547791,110.181580,875.539307,702.062622,92.946854,1080.494019,809.191406,204.839386,1101.121582,796.943481,296.940979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,763.690857,678.313538,108.858009,828.403564,621.391785,110.258469,875.580200,702.056580,92.923668,1080.428467,809.199951,204.769333,1101.080078,797.021484,296.877777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,763.716492,678.317932,108.854988,828.350708,621.298767,110.307037,875.503174,702.043823,92.957329,1080.419922,809.305603,204.772202,1101.072021,797.071594,296.875183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,763.699585,678.314880,108.852699,828.413086,621.300110,110.256897,875.541870,702.058960,92.954193,1080.508423,809.374878,204.847519,1101.095581,797.078918,296.882843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,763.690125,678.313354,108.857246,828.460205,621.422668,110.233315,875.627075,702.031982,93.018486,1080.531006,809.481079,204.877747,1101.105957,797.134949,296.890106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,763.758301,678.331177,108.827850,828.463562,621.540894,110.189430,875.643799,702.020691,93.034271,1080.625854,809.665100,204.927887,1101.170166,797.182190,296.835724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,763.799072,678.316467,108.868370,828.409363,621.605530,110.152649,875.592651,702.029785,93.057770,1081.171387,810.356995,205.628876,1101.158569,797.193542,296.780090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,763.827454,678.322388,108.866608,828.434998,621.620605,110.142006,875.593445,702.035889,93.064438,1080.702881,810.098145,204.919785,1101.172974,797.286377,296.826599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,763.833862,678.325989,108.856674,828.364990,621.530518,110.182259,875.664795,701.939331,93.080841,1080.626953,810.087158,204.640015,1101.155396,797.308167,296.798706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,763.832825,678.326172,108.854500,828.427063,621.489380,110.211021,875.697876,701.903381,93.066917,1080.688843,810.234375,204.674774,1101.150391,797.408569,296.795715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,763.830933,678.325745,108.856285,828.359253,621.375000,110.210327,875.719421,701.887817,93.101433,1080.740234,810.406677,204.733322,1101.172485,797.457275,296.799469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,763.830017,678.325562,108.857620,828.384766,621.337830,110.269691,875.683350,701.893921,93.133545,1080.741333,810.490906,204.754333,1101.178345,797.485107,296.805115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,763.891296,678.294983,108.903374,828.449219,621.400452,110.264221,875.708679,701.890808,93.168495,1080.780640,810.629272,204.803314,1101.179199,797.560730,296.811066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,763.879578,678.290466,108.901627,828.404480,621.394531,110.251205,875.729736,701.879822,93.214775,1080.789185,810.748474,204.825211,1101.176392,797.615784,296.816772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,763.822571,678.307983,108.898186,828.349976,621.391235,110.254326,875.784058,701.856079,93.243065,1080.808228,810.885986,204.840759,1101.117554,797.742493,296.728577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,763.810669,678.293579,108.894722,828.294067,621.450073,110.236183,875.814331,701.742615,93.338226,1080.850342,811.044189,204.876038,1101.063843,797.823486,296.655640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,763.826050,678.296936,108.872017,828.239258,621.450684,110.232658,875.856445,701.709595,93.363274,1080.854736,811.210449,204.902344,1101.024292,797.931885,296.749268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,763.851563,678.309143,108.912041,828.164795,621.384033,110.253975,875.761902,701.604004,93.768410,1080.874512,811.336792,204.916748,1100.966309,798.060608,296.587158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,763.819946,678.311829,108.907097,828.147949,621.308655,110.291084,875.706604,701.609192,93.997231,1080.903931,811.455017,204.929398,1100.834961,798.141113,296.546509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,763.838623,678.310181,108.926392,828.108398,621.204773,110.388428,875.747192,701.616516,94.054146,1080.931030,811.623352,204.949783,1100.755127,798.254272,296.505981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,763.806519,678.322388,108.949913,828.039490,621.214905,110.469292,875.894836,701.617981,94.036293,1080.921021,811.766296,205.024780,1100.624268,798.342224,296.479889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,763.881226,678.299316,109.002724,827.998413,621.226685,110.471878,876.025085,701.592957,94.037888,1080.916992,812.016296,205.066284,1100.457764,798.423462,296.481079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,763.853149,678.305115,108.942215,827.737732,621.253296,110.782448,876.195923,701.477478,94.095482,1080.788086,812.323608,204.932678,1100.230835,798.544983,296.434082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,763.868103,678.291992,108.987625,827.664795,621.135681,110.688698,876.391296,701.435181,94.158875,1080.786133,812.643311,204.911987,1099.939819,798.719299,296.430145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,763.833008,678.292603,108.979347,827.440369,621.022766,110.938362,876.511902,701.425110,94.184921,1080.745972,813.065918,204.967148,1099.686035,798.851807,296.499084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,763.876099,678.294373,109.000099,827.309631,620.836365,111.130211,876.677307,701.421814,94.241280,1080.709351,813.572876,205.077759,1099.253296,799.079773,296.390076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,763.884888,678.383301,109.055565,827.134338,620.612366,111.249535,,,,1080.732422,814.031616,205.132446,1099.024414,799.177429,296.487030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,763.971924,678.417297,109.077141,826.998779,620.608826,111.535934,,,,1080.766113,814.562012,205.189926,1098.642700,799.273987,296.639557,876.848206,700.978699,95.392517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
