Weight60
Date:,2025/04/23
Time:,14:07:00
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,845.560547,724.306519,150.152313,801.509460,629.567017,158.078049,731.979980,676.192322,146.430664,1097.343750,859.047241,372.809631,1057.595581,886.189392,228.341690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,842.851440,724.796265,151.622452,799.770264,629.584167,160.239868,729.655212,676.079773,148.925735,1096.136963,859.221863,373.009521,1055.399536,886.251709,229.376068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,841.190796,724.864624,153.502075,797.576172,629.699829,162.707626,727.813721,676.045166,151.377380,1095.233887,859.262817,372.785065,1053.887939,886.580078,229.991470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,838.757996,724.968567,155.477036,795.033508,629.944336,164.847626,725.269470,676.038147,153.956696,1094.269287,859.349609,372.941193,1052.357422,886.764404,230.680847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,836.191895,725.050842,158.066208,792.973572,629.600220,166.663940,723.312744,675.788269,156.346512,1092.808594,859.552368,373.309601,1050.325439,886.974121,231.056747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,833.713562,724.968262,159.609360,791.001343,629.722900,168.811508,720.460327,675.707214,159.311249,1091.641357,859.593567,373.741089,1048.044189,887.015930,231.598572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,831.430725,725.347107,161.883438,788.522400,629.412659,170.895065,718.268494,675.439087,162.044815,1090.860229,859.679077,373.671906,1046.296997,887.494141,232.298157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,828.791870,725.246826,164.046829,786.338196,629.424988,172.719254,715.421082,675.373535,164.514999,1089.514648,859.699402,374.127380,1043.969971,887.503418,233.376038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,825.553040,725.377075,165.980255,783.732422,629.316040,174.978943,713.034180,675.240234,167.101944,1087.563965,859.794495,374.447845,1041.935913,887.875610,233.691833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,822.959595,725.424683,167.915039,781.187195,629.397522,176.630661,710.189270,675.062561,169.752243,1086.482056,859.875183,374.329926,1038.897217,888.191772,234.496231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
