Weight63
Date:,2025/04/24
Time:,15:55:19
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,892.202820,687.521057,106.290520,1080.375977,751.907593,356.174744,821.583191,615.552979,105.254990,1049.214722,781.086121,195.429642,769.268005,688.861816,117.620872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,892.545654,687.245728,106.176285,1080.376099,751.957947,356.182037,821.412659,615.443665,105.412201,1049.572998,781.210876,194.827698,769.321594,688.846619,117.586838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,892.636230,687.235962,106.096855,1080.419067,751.961853,356.237976,821.468140,615.412598,105.411835,1049.694336,781.325500,194.638947,769.333496,688.844788,117.575706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,892.596497,687.220947,106.066856,1080.322266,751.989319,356.177948,821.472229,615.474304,105.396355,1049.625854,781.353027,194.658951,769.327515,688.846130,117.580536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,892.512939,687.275513,106.109413,1080.414917,751.975037,356.228943,821.463318,615.557495,105.359177,1049.540649,781.337097,194.796204,769.279968,688.860107,117.609459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,892.526794,687.293030,106.186981,1080.380371,751.962891,356.191711,821.509155,615.626709,105.322266,1049.325684,781.204407,195.309830,769.260559,688.863220,117.627296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,892.521423,687.356750,106.187721,1080.415649,751.957642,356.234070,821.526855,615.660889,105.302429,1049.252808,781.304565,195.096436,769.178406,688.842468,117.571220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,892.491211,687.390625,106.141129,1080.372437,752.040283,356.192291,821.474976,615.655334,105.303719,1049.387817,781.354248,194.909210,769.248352,688.857239,117.615273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,892.516479,687.293274,106.158127,1080.372314,752.033569,356.183655,821.413757,615.566895,105.345497,1049.482666,781.355774,194.835144,769.223694,688.869934,117.581154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,892.483154,687.356506,106.219093,1080.440796,752.048462,356.238129,821.401794,615.465942,105.399124,1049.286743,781.297119,194.916428,769.168030,688.857361,117.599319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
