Weight64
Date:,2025/04/26
Time:,15:58:50
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,876.139832,699.692566,113.650246,1039.157959,736.952698,297.003876,760.224792,684.318604,113.602661,1084.648071,800.395569,161.617126,819.098816,620.823914,110.956245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,875.122864,700.113098,114.112679,1038.087646,737.156006,297.003326,759.666199,684.419006,114.037300,1083.765503,801.019043,161.814453,818.705261,620.835632,111.473595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,874.691162,700.502747,114.306824,1036.946777,737.251465,296.812805,758.962952,684.651855,114.649651,1082.747314,801.627625,162.142899,817.763794,619.932922,112.059471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,874.256653,700.756897,114.603065,1036.080200,737.463379,296.816406,758.203918,684.757141,115.053986,1081.885376,802.071533,162.319717,816.798218,619.617126,112.907906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,873.606934,700.852966,115.051521,1035.246704,737.681763,297.074493,757.566467,684.778442,115.168053,1080.778320,802.679993,162.363205,815.967651,619.894287,113.735519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,872.530212,700.976868,115.697319,1034.693970,737.761963,297.004181,756.655640,684.752258,115.869064,1079.957642,802.964783,162.536926,815.623169,620.815125,114.494972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,871.323669,701.163757,116.255066,1033.849854,737.864929,296.878326,755.291077,684.708984,116.917542,1078.666626,803.288269,163.180573,814.393799,620.805298,115.754990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,870.031799,701.433838,117.076286,1032.432861,738.069214,296.664154,754.164185,684.844910,118.010902,1077.693848,803.613281,163.464249,813.177002,620.670410,116.951134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,868.856873,701.916199,118.113045,1031.240112,738.235657,296.531769,752.998413,684.844727,119.064445,1076.318604,804.192810,163.245239,812.002380,620.624084,117.924202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,867.558716,702.357727,118.764061,1030.239136,738.335083,296.994354,751.611633,684.633728,119.911736,1074.964478,804.719421,163.239792,810.847595,620.838867,118.788963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
