Weight60
Date:,2025/04/28
Time:,14:17:02
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,880.960999,672.746643,165.388672,825.933411,614.445435,96.032707,764.423279,625.493652,130.095245,1131.119629,872.361084,391.815125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,880.749512,672.896362,164.614960,825.933411,614.445435,96.032707,764.366516,625.529602,130.717316,1131.042114,872.414429,391.881287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,880.741272,673.083618,164.399109,825.933411,614.445435,96.032707,764.363281,625.587708,130.821930,1130.892334,872.380371,391.877869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,880.795105,673.310669,164.084778,825.889038,614.381714,96.058899,764.499756,625.613708,130.747101,1130.777832,872.371338,391.922821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,880.729797,673.484863,163.852097,825.909607,614.379395,96.050446,764.610657,625.628845,130.685226,1130.520508,872.369202,392.035004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,880.672852,673.692200,163.673996,825.922668,614.416565,96.028214,764.703857,625.712402,130.687134,1130.450439,872.264954,392.038757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,880.598877,673.872009,163.620270,826.000244,614.540100,96.016106,764.786865,625.714783,130.748901,1130.202271,872.220215,391.904205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,880.572510,673.980225,163.531219,826.017822,614.651123,95.977089,764.893921,625.702698,130.808853,1129.924316,872.088928,391.830719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,880.468079,674.064392,163.561966,825.999268,614.724121,95.934914,764.936890,625.788269,130.784531,1129.729980,871.958679,391.863129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,880.346497,674.177429,163.825012,826.031677,614.780151,95.880501,764.940613,625.773438,130.893951,1129.624146,871.859497,391.910828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
