Weight11
Date:,2025/04/16
Time:,10:33:06
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,870.953796,666.864197,150.742599,789.706177,615.957947,119.889885,760.600159,632.385681,123.558662,1062.784668,786.495117,370.367249,1043.691528,816.457703,240.037231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,871.018066,666.766052,150.773422,789.658997,615.882507,119.867348,760.600159,632.385681,123.558662,1062.828003,786.433899,370.424774,1043.651611,816.474304,240.059448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,870.972412,666.793030,150.750229,789.758789,615.890259,119.663910,760.600159,632.385681,123.558662,1062.832886,786.426758,370.430115,1043.733765,816.408447,240.063522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,870.684692,666.887146,151.200150,789.740662,615.975769,119.814034,760.600159,632.385681,123.558662,1062.844482,786.440063,370.387024,1043.688354,816.453308,240.043060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,870.456360,666.956360,151.401398,789.771606,615.939087,119.654449,760.559509,632.378540,123.580971,1062.842773,786.434326,370.406586,1043.746338,816.407532,240.048401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,870.717529,666.818848,150.957474,789.731689,615.973572,119.821556,760.539368,632.372925,123.599953,1062.796753,786.429749,370.409027,1043.686890,816.455872,240.041809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,871.010620,666.816406,150.672363,789.701721,615.961731,119.904305,760.578674,632.384705,123.600861,1062.745850,786.498352,370.390411,1043.648071,816.478333,240.057495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,870.799988,667.013794,151.049545,789.698059,615.949463,119.908455,760.558777,632.378845,123.588600,1062.766602,786.448059,370.416626,1043.640869,816.479004,240.066650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,870.818481,666.883484,150.874100,789.705139,615.946838,119.884995,760.586548,632.381775,123.569397,1062.782959,786.426941,370.417236,1043.646240,816.475708,240.064468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,870.982361,666.762817,150.768188,789.707703,615.957031,119.885643,760.527344,632.378845,123.527145,1062.709106,786.484009,370.408813,1044.454468,816.034241,239.792236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,870.774109,666.908325,151.155945,789.790039,615.990051,119.903000,760.582581,632.383911,123.555557,1062.671997,786.458191,370.381897,1044.149536,816.250549,239.775726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,870.752197,666.859253,150.847031,789.784363,616.005981,119.932541,760.564148,632.378967,123.582809,1062.678101,786.443542,370.370911,1043.781128,816.493896,240.012268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,870.580566,667.005432,151.026276,789.709961,615.903259,119.904510,760.584412,632.380798,123.576378,1062.635864,786.488953,370.352203,1043.642700,816.463318,240.136688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,870.760437,666.887024,150.797180,789.694153,615.925049,119.900063,760.599792,632.384949,123.560905,1062.569702,786.491211,370.380554,1044.433594,815.983276,239.889435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,870.925781,666.988647,150.606461,789.661926,615.894470,119.867477,760.532104,632.385925,123.542732,1062.640991,786.454163,370.396332,1044.119263,816.330811,239.829346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,871.055054,666.927795,150.615952,789.695679,615.940796,119.888893,760.537476,632.376648,123.586891,1062.589966,786.476685,370.381317,1043.732666,816.498413,239.959290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,870.974060,666.920837,150.561508,789.745300,615.866089,119.600502,760.581604,632.379028,123.581718,1062.668823,786.461487,370.345795,1043.581299,816.539856,240.080811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,870.951599,666.864136,150.626358,789.775818,616.020752,119.810219,760.566956,632.384460,123.599792,1062.652954,786.564636,370.308624,1044.296753,816.158325,239.837662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,870.919373,666.973022,150.571701,789.719543,615.996338,119.895172,760.458801,632.387390,123.497894,1062.699341,786.479431,370.320679,1045.015137,815.870117,239.511734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,870.995544,667.025024,150.640854,789.725098,615.882751,119.820610,760.480713,632.390991,123.518181,1062.656982,786.581665,370.327423,1045.174072,815.865479,239.227570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,870.963745,667.038513,150.651733,789.466064,615.996399,119.484619,760.453247,632.376831,123.440804,1062.661011,786.566162,370.398926,1045.076782,815.961365,239.279099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,870.934570,666.974915,150.636490,789.729248,615.975952,119.646637,760.487122,632.386536,123.440666,1062.660278,786.551514,370.417297,1044.882202,815.990112,239.654480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,871.029663,666.951050,150.752914,789.500427,615.975891,119.351265,760.461670,632.373962,123.397858,1062.662842,786.549133,370.410858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,870.922546,667.134155,151.191162,789.524292,616.261230,119.088013,760.377258,632.384155,123.316887,1062.716431,786.560852,370.380463,,,,1044.735352,816.003967,239.824280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,870.953979,667.058960,150.991547,789.533875,616.039307,118.962547,760.347961,632.384155,123.300797,1062.685791,786.641479,370.408295,,,,1044.258789,816.255554,240.180664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,870.945251,666.986938,150.610107,789.513855,615.865906,118.854012,760.315125,632.477661,123.214615,1062.686157,786.765869,370.440735,,,,1044.122437,816.310669,240.402191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,871.103455,666.948547,150.592133,789.447632,615.716248,118.622765,760.315552,632.490051,123.063766,1062.727783,786.776184,370.405640,,,,1043.907959,816.420593,240.542877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,871.081116,666.926514,150.512497,789.530090,615.630371,118.258507,760.359497,632.596191,122.927406,1062.734985,786.911743,370.435059,,,,1044.009521,816.469788,240.634216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,871.098328,666.830994,150.595444,789.887817,615.832214,117.848221,760.407532,632.615967,122.716972,1062.717163,786.978638,370.450958,,,,1044.070801,816.547913,240.673264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,871.216614,666.777954,150.584717,790.057190,615.823242,117.337311,760.391907,632.689026,122.487968,1062.785034,786.996399,370.502563,,,,1043.873901,816.708313,240.827026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,871.329163,666.752991,150.612152,790.295776,615.673340,117.078339,760.374634,632.724365,122.279007,1062.694946,787.129456,370.456696,,,,1043.554688,816.976257,241.173477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,871.320496,666.713684,150.557114,790.643677,615.512512,116.676811,760.141724,632.878723,121.872856,1062.780151,787.105530,370.518921,,,,1043.391602,817.129211,241.493332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,871.429932,666.672119,150.596680,791.070679,615.366150,116.095573,759.923645,633.041321,121.664841,1062.785034,787.238403,370.521851,,,,1043.156372,817.284729,241.711563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,871.471313,666.597107,150.572311,791.543823,615.111328,115.310310,759.641541,633.182739,121.329651,1062.815063,787.362366,370.607178,,,,1043.091309,817.497986,241.953857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,871.348877,666.743225,150.928085,792.012939,614.696899,114.546219,759.448486,633.311768,120.942833,1062.946289,787.437134,370.720428,,,,1043.117798,817.652161,242.143921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,871.305176,666.681702,151.289017,792.644531,614.316772,114.131996,759.146484,633.507996,120.685310,1063.076538,787.540405,370.781860,,,,1043.091187,817.836853,242.673996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,871.454712,666.673462,151.454880,793.663452,613.799927,113.541016,758.826782,633.583557,120.676468,1063.125122,787.649780,370.813538,,,,1043.071777,818.078857,243.095108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,871.546631,666.752991,151.474442,794.800049,613.606689,112.944862,758.545288,633.693359,120.765617,1062.961426,787.684875,371.163330,,,,1043.034180,818.382385,243.373917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,871.698608,666.734436,151.569458,795.393494,612.719971,112.651215,758.310669,633.723511,120.843895,1062.896973,787.800842,371.387360,,,,1043.135742,818.720276,243.602814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,871.830139,666.811523,151.662735,795.494446,611.789063,112.210312,758.011108,633.743164,120.892059,1062.983887,787.971619,371.424927,,,,1043.382324,819.136353,243.751953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,871.937805,666.779358,151.785019,796.354919,611.416809,111.434212,757.718933,633.865601,120.926155,1063.096313,788.151855,371.501892,,,,1043.425293,819.537781,244.201904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,872.035095,666.815430,151.786667,797.089600,610.799133,111.035492,757.507080,633.904419,120.919830,1063.411011,788.289917,371.690094,,,,1043.464355,819.883118,244.653091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,872.159424,667.009094,151.826691,797.911743,610.099854,110.390144,757.348694,633.929077,120.922043,1063.534302,788.508484,371.721588,,,,1043.167480,820.306152,245.085236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,872.266785,667.100220,151.811981,798.579529,609.762878,109.917419,757.044189,634.067261,120.774696,1063.803711,788.582031,371.899078,,,,1043.026733,820.845947,245.671555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,872.415894,667.203918,151.857361,799.166809,609.685974,109.616653,756.852966,634.227112,120.617462,1063.950562,788.702515,372.008270,,,,1042.957764,821.185120,246.152695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,872.528320,667.313171,151.818192,800.247131,610.394531,109.334282,756.796387,634.351929,120.526413,1064.104980,788.729980,372.111298,,,,1042.905884,821.616028,246.509689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,872.633240,667.414368,151.734924,800.850281,610.970520,108.522415,756.692627,634.400269,120.568024,1064.205933,788.889343,372.175934,,,,1043.207520,821.886230,246.652679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,872.741699,667.545410,151.788574,801.239990,611.843262,107.756454,756.671509,634.479431,120.596931,1064.253540,789.117737,372.299896,,,,1043.185059,822.330750,246.910172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,872.830017,667.665527,151.763321,801.382690,611.625305,107.243080,756.708923,634.587158,120.563614,1064.326416,789.244995,372.490082,,,,1043.405029,822.880554,247.492752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
