Trial04
Date:,2025/04/01
Time:,13:57:21
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1
Field #,X,Y,Z
1,590.127808,701.350464,21.237577
2,590.131897,701.323303,21.278193
3,590.115906,701.320984,21.303593
4,590.065552,701.335571,21.264305
5,590.099426,701.332153,21.315510
6,590.100342,701.344543,21.400007
7,590.119141,701.337769,21.357441
8,590.112854,701.339417,21.344893
9,590.199890,701.331238,21.371735
10,590.227844,701.333496,21.391233
11,590.289246,701.313721,21.456694
12,590.375183,701.329468,21.493313
13,590.388550,701.335388,21.489250
14,590.457947,701.384949,21.511419
15,590.651306,701.458984,21.592686
16,590.940796,701.534424,21.668745
17,591.761780,701.659546,21.652723
18,592.773499,701.723450,21.291548
19,594.364807,701.799011,21.344965
20,596.372314,701.717224,21.681143
21,598.363770,701.692566,21.707544
22,601.465332,701.686157,21.508423
23,604.247253,701.414856,21.782608
24,607.446350,701.398315,21.363457
25,610.653015,701.264160,21.868763
26,614.808716,701.141174,21.906969
27,618.836060,700.997803,22.114378
28,622.868042,700.831726,22.374037
29,627.617676,700.804199,22.164730
30,632.484009,700.718567,21.976913
31,636.768311,700.596985,22.885462
32,641.562073,700.381104,22.709425
33,646.755310,700.384705,22.358007
34,652.050232,700.377747,22.348305
35,656.741943,700.157898,23.174196
36,661.919250,699.868774,23.325233
37,667.488892,699.697388,23.332401
38,673.336792,699.538269,23.456697
39,679.170349,699.371155,23.321362
40,684.969482,699.282959,23.374163
41,691.176208,699.108887,23.516075
42,697.018005,699.102173,24.154659
43,702.705994,699.048523,24.780123
44,708.841919,699.016479,25.300148
45,715.843506,699.024231,24.864632
46,722.397522,699.279175,24.759621
47,728.811218,699.492188,24.933435
48,735.434204,699.522827,25.169680
49,741.938354,699.603149,25.354738
50,748.479309,699.823730,25.672148
51,754.684753,700.182556,25.824450
52,761.211792,700.560242,25.869232
53,767.098022,701.020508,26.040548
54,772.979797,701.388184,26.299295
55,778.828674,701.777405,26.581713
56,784.475037,702.138794,26.632967
57,790.012085,702.488831,26.879066
58,795.227661,702.849182,27.082840
59,800.108887,703.152344,27.053713
60,804.999084,703.744629,26.864697
61,809.186707,704.219727,27.275871
62,813.520630,704.579041,27.467102
63,817.774536,704.968079,27.261337
64,821.429382,705.538269,27.694042
65,824.761414,706.058655,27.907932
66,827.746521,706.580994,27.798067
67,830.420654,707.086060,27.661860
68,832.648132,707.529602,27.466320
69,834.781616,708.008667,27.691599
70,836.574402,708.260742,28.084164
71,837.754700,708.581238,28.084818
72,838.613098,708.916138,27.999540
73,839.217712,709.079529,28.023161
74,839.461670,709.051208,28.057674
75,839.424988,709.047363,28.051088
76,839.324951,708.981384,28.085356
77,839.083191,708.867065,28.104900
78,838.748474,708.694702,28.086348
79,838.259094,708.449402,28.184385
80,837.719727,708.196533,28.248253
81,837.069092,707.794189,28.275719
82,835.827087,707.109741,28.024017
83,833.301025,705.579407,27.921038
84,830.465210,703.876221,27.958761
85,826.917847,701.369324,27.927700
86,823.078979,698.655701,27.577457
87,818.927246,695.777405,27.469770
88,814.366516,692.630615,27.322620
89,809.814758,689.264709,27.012068
90,805.062073,685.809998,26.928036
91,799.805298,682.238342,26.665445
92,794.319275,678.546753,26.983480
93,788.749939,674.632629,26.867767
94,782.774353,670.592102,26.337175
95,776.342346,666.418579,25.987148
96,769.482056,662.236694,26.162365
97,762.381958,658.009399,25.978617
98,755.590698,653.716553,25.680004
99,748.813416,649.432434,25.433361
100,741.627869,645.381409,24.833117
101,734.375122,641.472351,24.355606
102,726.524414,637.533752,24.423525
103,718.605835,633.121460,24.622963
104,710.710571,629.133850,24.120079
105,703.338379,625.641846,23.978132
106,695.462158,622.040710,23.608370
107,687.441895,618.487976,23.391798
108,679.633850,615.095093,23.384136
109,671.970886,611.715881,23.289080
110,664.912048,608.437622,23.019764
111,657.808777,605.483643,22.497368
112,650.673584,602.732666,22.280842
113,643.703369,599.920715,22.189817
114,636.714905,597.602844,22.548830
115,630.608643,594.823853,22.235050
116,624.341553,592.376343,21.645561
117,618.488770,590.378906,21.373552
118,612.741272,588.333191,21.402388
119,607.388733,586.197876,21.543684
120,602.400757,584.269531,21.350725
121,598.253235,582.409180,20.952684
122,594.128906,580.638123,20.753298
123,590.797852,579.025208,20.672356
124,587.670837,577.246338,20.810991
125,585.111511,576.123718,20.607227
126,583.071045,574.453003,20.707180
127,581.405701,573.171692,20.500984
128,580.170959,572.013916,20.322159
129,579.435730,570.703125,20.343365
130,578.938904,569.877869,20.662563
131,578.413086,568.980103,20.205610
132,578.105957,568.198730,19.910492
133,578.011230,567.607056,20.062639
134,578.038757,567.131165,20.202007
135,578.336853,566.808350,20.318851
136,578.614319,566.516541,20.386589
137,578.934814,566.214478,20.387957
138,579.469482,565.908325,20.220825
139,581.163147,564.998047,20.075932
140,583.142822,563.990295,20.472363
141,586.062256,562.800781,20.971289
142,589.461670,561.590576,20.842592
143,592.873901,560.369629,20.793474
144,596.741455,559.251404,20.604589
145,600.637573,558.080078,20.891630
146,604.786194,557.041504,21.206982
147,609.259155,556.195679,21.102869
148,613.279419,555.465088,21.313778
149,617.521790,554.872681,21.407965
150,621.842651,554.035706,21.250652
151,625.666931,553.201721,21.614141
152,629.929932,552.372192,21.697386
153,634.644348,551.787292,21.684536
154,638.718933,551.165039,22.109062
155,643.286621,550.665100,22.262890
156,648.276123,550.140259,21.973707
157,652.915588,549.643188,22.444181
158,657.879883,549.279053,22.787889
159,663.110779,548.868774,22.734554
160,668.599182,548.502441,22.716288
161,674.343933,548.222656,22.356508
162,680.093140,548.105164,22.521561
163,686.078796,548.066895,22.764559
164,692.304504,547.964966,22.793703
165,698.618164,548.195435,23.006231
166,704.796631,548.454529,23.384954
167,711.725159,548.886780,23.435053
168,718.365662,549.173279,23.456762
169,724.744324,549.767517,23.950977
170,731.177673,550.522522,24.225582
171,737.903198,550.957520,24.431547
172,744.389221,551.604431,24.654068
173,750.587402,552.424744,24.890619
174,756.791138,553.280457,24.934368
175,763.140686,554.283752,25.337076
176,769.231323,554.947510,25.306044
177,775.071716,555.654236,25.273783
178,780.734497,556.384583,25.393000
179,786.090820,557.192505,25.683727
180,791.023987,557.999451,25.924252
181,795.766357,558.716797,26.036091
182,800.534729,559.138733,25.996864
183,804.627258,559.791992,26.285259
184,808.476807,560.202820,26.480770
185,812.149048,560.680054,26.356066
186,815.470886,561.086975,26.583752
187,818.414185,561.367004,26.612652
188,820.886414,561.626221,26.957699
189,823.246399,561.598999,26.660307
190,824.798279,561.698303,26.735218
191,826.166199,561.620239,27.012705
192,827.741211,561.538513,26.914196
193,828.964966,561.397339,26.612665
194,829.775635,561.305603,26.654667
195,830.237854,561.040344,26.569656
196,830.610535,560.730896,26.657297
197,830.789307,560.512451,26.832645
198,830.641541,560.181458,26.758785
199,830.677673,559.785461,26.684059
200,830.633972,559.481750,26.664856
201,830.309631,559.235535,26.617086
202,829.918213,558.844910,26.588116
203,829.385010,558.371338,26.747416
204,828.619324,557.651917,26.845177
205,827.428284,556.812195,27.108191
206,825.539795,555.443481,27.028320
207,822.770081,553.609558,26.867233
208,819.274109,551.567200,27.039261
209,815.854980,549.532104,26.742085
210,812.355408,547.159302,26.552023
211,808.698120,544.870117,26.453701
212,804.553101,542.549622,26.155138
213,800.205811,539.526733,26.071413
214,795.430237,536.741272,26.197866
215,790.505066,533.893494,26.059656
216,785.653503,530.760498,25.917583
217,780.437317,527.611511,25.745192
218,774.729065,524.470825,25.347546
219,768.654663,521.186157,24.984514
220,762.329895,517.723877,24.940125
221,755.973083,514.265320,24.782137
222,749.556641,510.900299,24.672461
223,742.920166,507.730499,24.526758
224,736.407532,504.213257,24.274441
225,729.907043,500.710449,23.904062
226,722.875671,497.186859,23.493929
227,715.280212,493.890381,24.057724
228,708.276123,490.255066,24.077349
229,701.278137,486.610535,23.478939
230,694.195007,483.176331,23.487808
231,687.003052,480.300201,23.357212
232,680.084106,477.130127,22.783062
233,673.273743,473.820160,22.456453
234,666.233459,470.886902,22.265217
235,660.021667,468.042358,22.205032
236,653.661316,464.890137,22.018950
237,647.152100,462.250397,21.575014
238,641.103210,459.439148,21.607872
239,635.364014,456.685455,21.940536
240,629.851807,454.205322,21.477905
241,624.656372,451.801483,21.141989
242,619.418762,449.614838,21.048941
243,614.481445,447.114594,21.065811
244,610.000671,444.839600,21.053129
245,605.852661,442.818634,20.737669
246,601.758057,440.912842,20.432135
247,598.250427,438.894958,20.131632
248,595.047546,436.943359,20.329918
249,592.578247,435.355743,20.406332
250,590.191589,433.532318,20.246342
251,588.032471,432.199188,20.273636
252,586.539490,430.641937,20.179790
253,585.438965,429.122589,20.009134
254,584.743286,427.863678,19.841162
255,584.047241,426.767456,19.793678
256,583.578186,425.808289,19.646603
