Frame;1_X;1_Y;1_Z
1;805.868042;-18.763683;25.281967
2;805.992554;-18.666328;25.267061
3;806.058716;-18.471256;25.247215
4;806.075134;-18.221682;25.221352
5;806.132751;-17.925749;25.132423
6;806.175842;-17.639801;25.106279
7;806.120117;-17.288076;25.295639
8;806.133423;-16.925297;25.230831
9;806.209778;-16.328272;25.387352
10;805.989197;-16.218191;25.170462
11;805.916016;-15.906421;25.188566
12;805.85968;-15.473687;25.2962
13;806.096069;-14.888746;25.617388
14;805.908325;-14.142782;25.38941
15;805.81665;-13.466094;25.134127
16;805.712463;-12.680705;25.212612
17;805.669983;-11.882558;25.412891
18;805.428162;-11.123357;25.57431
19;805.525635;-10.501579;26.074913
20;805.313416;-9.631701;25.739885
21;805.14624;-8.856506;25.395918
22;805.146973;-8.188551;25.546326
23;804.977905;-7.371559;25.857416
24;804.922974;-6.757345;25.835133
25;804.635681;-6.045187;25.836927
26;804.464294;-5.104292;25.772758
27;804.185913;-4.268437;25.690172
28;803.925415;-3.495147;25.538568
29;803.774536;-2.767001;25.551945
30;803.652222;-1.754129;25.737209
31;803.53009;-0.656246;25.797169
32;803.328613;0.236023;25.722574
33;803.12854;1.309942;25.877995
34;802.880554;2.160219;26.027771
35;802.688599;3.283513;25.920792
36;802.507263;4.428909;25.775681
37;802.446533;5.402275;25.95846
38;801.95282;6.429086;25.930304
39;801.520325;7.553054;25.663679
40;801.19751;8.568651;25.378017
41;800.924744;9.511377;25.596926
42;800.593018;10.32787;25.690357
43;800.409546;11.40846;25.905109
44;800.125854;12.428165;25.705791
45;799.909058;13.645878;25.774073
46;799.674805;14.609625;25.851025
47;799.410706;15.562068;25.963324
48;799.07135;16.750299;25.980028
49;798.710571;17.732492;25.867966
50;798.41333;18.669552;25.837389
51;798.044067;19.604538;25.835449
52;797.685608;20.760822;25.918863
53;797.289856;21.923708;25.761843
54;796.821716;22.8958;25.731321
55;796.482971;23.835821;25.768843
56;796.172485;24.743271;25.740488
57;795.680298;25.786888;26.021526
58;795.252258;26.823229;25.956018
59;794.788269;27.822742;25.767651
60;794.435364;28.595884;25.549067
61;793.977234;29.723188;25.469751
62;793.357422;30.828239;25.088631
63;792.755005;31.916246;25.485876
64;792.158264;32.759007;25.657423
65;791.895508;33.733967;25.700802
66;791.539673;34.88916;25.727139
67;791.092224;36.011013;25.70776
68;790.507202;36.944366;25.693729
69;789.980774;37.753269;25.777809
70;789.487793;38.924751;25.621267
71;789.054626;40.093388;25.26989
72;788.564209;41.148537;25.404633
73;788.142456;41.960052;25.582573
74;787.721069;42.995029;25.720774
75;787.279785;44.093464;25.750881
76;786.757324;45.260101;25.687969
77;786.268372;46.156677;25.729984
78;785.637878;46.896122;25.80653
79;784.974792;48.221115;25.77232
80;784.303955;49.355602;25.564224
81;783.78363;50.255253;25.372997
82;783.30542;51.095203;25.340805
83;782.785645;51.974777;25.476645
84;782.151184;53.107647;25.774977
85;781.470825;54.203552;25.80945
86;780.813232;55.009636;25.631836
87;779.907898;55.874722;25.530796
88;779.098206;56.71315;25.632338
89;778.610657;57.607136;25.663416
90;778.180786;58.585373;25.644047
91;777.379639;59.583736;25.561365
92;776.424866;60.470165;25.520004
93;775.535706;61.200932;25.505518
