Frame;1_X;1_Y;1_Z
1;885.638367;640.821228;141.430542
2;885.592041;640.813782;141.442337
3;885.404053;640.657043;141.663391
4;885.489685;640.782227;141.575378
5;885.591125;640.879761;141.426086
6;885.690796;640.828918;141.388412
7;885.617432;640.826416;141.403275
8;885.531738;640.888916;141.371048
9;885.394104;640.694641;141.65657
10;885.566406;640.857117;141.521027
11;885.677795;640.921143;141.369583
12;885.592346;640.91217;141.400925
13;885.656311;640.919678;141.414276
14;885.661926;640.919189;141.408905
15;885.656006;640.918335;141.408432
16;885.646667;640.901001;141.389709
17;885.402954;640.750366;141.643585
18;885.420105;640.904846;141.636978
19;885.291748;640.800415;141.769501
20;885.458069;640.906677;141.680099
21;885.501587;640.960144;141.559799
22;885.32959;640.873474;141.807327
23;885.200073;640.887268;141.957123
24;885.403503;641.031677;141.699692
25;885.589355;641.040894;141.54982
26;885.604797;641.036987;141.582962
27;885.445007;641.076233;141.659439
28;885.191956;640.93988;141.858841
29;885.391785;641.018005;141.700302
30;885.468323;641.089905;141.633057
31;885.218201;641.048401;141.87413
32;885.277161;641.161621;141.883698
33;885.088684;641.051453;141.996994
34;885.123474;641.162781;141.951385
35;884.979553;641.180969;142.132248
36;884.996399;641.317871;142.114304
37;884.858215;641.325745;142.312119
38;884.754944;641.502319;142.260544
39;884.73468;641.643982;142.276443
40;884.690918;641.757446;142.35939
41;884.605774;641.8703;142.427963
42;884.425476;642.02179;142.529648
43;884.3125;642.124573;142.82547
44;883.952454;642.412476;142.748734
45;884.036255;642.464111;143.353119
46;883.710876;642.586853;143.867432
47;883.306763;642.703125;144.32312
48;882.989502;642.777832;144.857285
49;882.6604;642.883301;145.179443
50;882.396912;643.102173;145.352356
51;882.103638;643.219971;145.448746
52;881.636841;643.540649;145.950012
53;880.856628;643.691772;146.739517
54;880.237671;644.033447;147.414673
55;879.769104;644.193787;147.91777
56;879.161377;644.45166;148.370407
57;878.532043;644.619568;149.10376
58;877.622009;644.810547;149.939331
59;876.223694;645.075195;151.067551
60;874.871643;645.541565;151.877838
61;873.919739;645.970581;152.443008
62;872.928833;646.040771;153.319397
63;871.553589;646.16272;154.07341
64;869.691833;646.821655;155.523544
65;868.182739;647.365356;156.322418
66;866.280518;647.77655;156.980301
67;864.399963;648.125305;157.634827
68;862.834229;648.400146;158.593201
69;860.462952;649.04303;159.690231
70;858.198181;649.421082;160.774368
71;856.201172;649.741516;161.353149
72;853.890198;650.030151;162.399673
73;851.663086;650.703979;163.394775
74;848.986877;651.323669;163.911163
75;846.969055;651.435547;164.685669
76;844.009583;652.187927;165.533875
77;841.615173;652.525391;166.186691
78;838.978455;653.210632;166.599564
79;836.544739;653.425415;167.022827
80;833.677429;654.056519;167.855133
81;830.813721;654.56897;168.320984
82;828.190857;655.184082;168.898468
83;825.286255;655.623657;169.375122
84;822.517334;655.962646;169.984146
85;819.031555;656.403748;170.766296
86;816.571533;656.817566;170.979996
87;813.233948;657.557373;171.341583
88;810.488831;657.711426;171.669937
89;807.377502;658.229736;171.75235
90;803.889099;659.043762;172.295975
91;801.07959;659.473999;172.549072
92;797.577942;660.102295;172.999405
93;794.64563;660.247925;173.467087
94;791.39801;660.652832;173.426163
95;788.029297;661.13562;173.390106
96;785.228638;661.646301;172.710114
97;781.756226;662.262024;172.901581
98;778.932007;662.384888;173.27005
99;775.529053;662.921631;173.188843
100;772.127625;663.007263;173.648911
101;769.423645;663.270264;173.424316
102;765.938538;663.88385;173.072845
103;763.108276;663.88501;172.8918
104;759.85791;664.209351;172.953171
105;756.752014;664.323792;172.400528
106;753.84375;664.658569;172.160065
107;751.116638;664.751648;171.835007
108;748.260437;665.064941;171.730957
109;744.666321;664.989685;171.921387
110;742.166809;665.197083;171.622391
111;738.883789;665.398865;171.308197
