Frame;1_X;1_Y;1_Z
1;310.296692;539.924805;182.115097
2;310.51001;536.293335;181.530762
3;310.721497;532.603394;180.729355
4;311.10022;528.953186;180.347702
5;310.926392;525.696472;179.572723
6;311.279266;522.242981;179.286911
7;311.721313;519.111206;178.60881
8;311.557617;516.089111;178.058395
9;312.006592;512.891113;177.580673
10;312.116333;510.055847;176.366974
11;312.652222;507.176117;175.513321
12;312.798828;504.612885;174.672607
13;313.006989;501.912048;174.056381
14;313.39566;499.379913;173.155579
15;313.691376;497.041321;172.317383
16;314.519501;494.577881;171.404602
17;314.955963;492.410919;170.381653
18;314.762543;490.576843;169.855927
19;315.293854;488.358307;169.141357
20;315.906982;486.317261;168.190231
21;316.223907;484.581421;167.557709
22;316.423157;483.037445;166.453232
23;316.815399;481.409729;165.884857
24;317.345856;479.60495;165.681335
25;317.612152;478.130707;165.046219
26;317.939636;476.715027;163.975922
27;318.542053;475.412811;163.026489
28;318.957855;474.017487;162.586563
29;319.474243;472.750824;162.288635
30;319.447479;471.547791;161.21936
31;319.987366;470.421265;160.614075
32;320.740295;469.216644;159.624771
33;321.174896;468.283112;159.031403
34;321.303711;467.249542;158.030563
35;321.624054;466.272064;157.61998
36;321.838135;465.450287;157.135864
37;322.410919;464.511444;156.068771
38;322.902161;463.770935;155.214569
39;323.121429;462.788513;154.510651
40;323.264679;461.873505;154.301498
41;323.312164;461.120239;154.078171
42;323.526489;460.361176;153.56546
43;323.62439;459.562897;152.371719
44;323.941345;458.700684;151.576294
45;323.878143;458.206726;151.318054
46;324.186523;457.762482;150.864319
47;324.327515;457.225128;150.409775
48;324.413422;456.68454;150.066681
49;324.661133;455.998383;149.240097
50;324.66272;455.522125;148.472946
51;324.815521;455.154388;147.842758
52;325.003204;454.864655;147.331268
53;325.313385;454.664642;146.709152
54;325.570435;454.41333;146.119751
55;325.488037;454.246704;145.544952
56;325.566864;454.056915;145.188171
57;325.48703;453.96759;144.666916
58;325.5112;453.687805;144.161957
59;325.570587;453.49118;143.90799
60;325.668152;453.289429;143.84288
61;325.661469;453.121246;144.104248
62;326.053497;452.737518;143.951996
63;326.247314;452.450317;143.842468
64;326.370148;452.276398;143.852921
65;326.469788;452.180847;143.868835
66;326.435486;452.072235;143.956589
67;326.478821;452.041718;143.997452
68;326.626648;451.889252;143.983276
69;326.751495;451.76178;143.974243
70;326.813019;451.739441;143.977005
71;326.857788;451.67746;144.025269
72;326.925171;451.538605;144.124878
73;326.955872;451.437225;144.148392
74;326.976898;451.345825;144.178711
75;326.981293;451.25235;144.223923
76;326.944244;451.190063;144.26593
77;326.959595;451.0979;144.254517
78;326.916748;451.119171;144.270096
79;326.801453;451.18277;144.294388
80;326.75412;451.202545;144.226212
81;326.795563;451.222748;144.155685
82;326.807831;451.22403;144.145508
83;326.74881;451.364899;144.102112
84;326.729065;451.405548;144.047531
85;326.737457;451.48996;144.027039
86;326.734558;451.54068;143.933655
87;326.785065;451.575745;143.903549
88;326.794403;451.579315;143.861984
89;326.710663;451.664581;143.83139
90;326.721069;451.657074;143.751129
91;326.733521;451.671631;143.774414
92;326.688599;451.677734;143.747864
93;326.676056;451.652954;143.676025
94;326.65741;451.661438;143.643814
95;326.688843;451.622101;143.603699
96;326.696991;451.615051;143.59758
97;326.69516;451.617004;143.600769
98;326.69342;451.560425;143.631302
99;326.780609;451.59726;143.629135
100;326.833191;451.588043;143.620697
101;326.817139;451.573639;143.626831
102;326.855316;451.578003;143.584076
103;326.929291;451.499329;143.616379
104;326.960907;451.528076;143.664139
105;326.935486;451.496002;143.634171
106;326.932617;451.514465;143.600052
107;326.947601;451.504059;143.659531
108;326.927612;451.491333;143.638458
109;326.924622;451.495697;143.624893
110;326.867615;451.47937;143.592072
111;326.858429;451.481689;143.584625
112;326.834015;451.473907;143.603867
113;326.830048;451.481415;143.633362
114;326.863037;451.506653;143.591019
115;326.870758;451.510193;143.576752
116;326.950287;451.50293;143.656616
117;326.961792;451.565094;143.666122
118;326.983795;451.605652;143.591934
119;327.221069;451.599365;143.577621
120;327.111755;451.648407;143.573746
121;327.169281;451.674957;143.453278
122;327.193207;451.675232;143.421982
123;327.193573;451.742859;143.445755
124;327.202179;451.781982;143.422836
125;327.171387;451.76474;143.383347
126;327.219482;451.834351;143.397034
127;327.216492;451.850952;143.405548
128;327.154877;451.996155;143.348419
129;327.15387;452.01889;143.330414
130;327.161011;452.029266;143.374542
131;327.11264;452.080353;143.295532
132;327.116394;452.087433;143.30983
133;327.238495;452.039429;143.265762
134;327.035706;452.201569;143.236649
135;326.985321;452.230682;143.21788
136;327.0047;452.26709;143.27681
137;327.000336;452.253632;143.224884
138;327.037567;452.213837;143.249008
139;326.999512;452.250793;143.243179
140;326.981873;452.266144;143.241211
141;326.982117;452.265625;143.241409
142;326.991486;452.258545;143.240646
143;326.949646;452.281036;143.241608
144;326.93042;452.269714;143.176941
145;326.943787;452.282532;143.22876
146;327.178284;452.121338;143.087616
147;326.968536;452.24649;143.140991
148;326.919495;452.246216;143.226028
149;327.062317;452.066162;143.097183
150;326.99353;452.104095;143.1754
151;327.114899;452.028656;143.083191
152;326.993591;452.104767;143.175201
153;326.972015;452.086121;143.214233
154;326.982697;452.058258;143.290543
155;326.973083;452.041901;143.270676
156;326.963287;452.009003;143.281403
157;326.991486;452.030884;143.265915
158;326.990173;451.976257;143.268127
159;326.939209;451.967926;143.268127
160;327.041809;451.949799;143.297409
161;327.064941;451.878845;143.325729
162;327.05072;451.833862;143.335571
163;326.99469;451.816315;143.298798
164;326.987366;451.817963;143.290756
165;326.990601;451.819336;143.292358
166;326.935883;451.827148;143.291336
167;326.981598;451.821014;143.294861
168;326.975922;451.803436;143.278549
169;326.995636;451.80838;143.264908
170;327.00705;451.802948;143.236237
171;326.995392;451.817719;143.283096
172;327.002808;451.804291;143.245819
173;326.954041;451.81778;143.251434
174;326.990417;451.809753;143.239563
175;327.00119;451.80954;143.259872
176;326.969574;451.829224;143.277832
177;327.198273;451.757629;143.268173
178;327.022064;451.788879;143.237656
179;326.970612;451.802704;143.241013
180;326.976501;451.80188;143.244095
181;326.944427;451.79306;143.265167
182;326.924896;451.762329;143.324234
183;326.924622;451.731232;143.339081
184;327.028503;451.641113;143.159256
185;327.103699;451.60202;143.091614
186;327.004395;451.612823;143.199936
187;326.992554;451.647064;143.314407
188;326.924561;451.688507;143.281494
189;326.850159;451.724487;143.23465
190;326.813782;451.729126;143.261185
191;326.70874;451.822052;143.269745
192;326.601624;451.979889;143.183319
193;326.521881;452.045746;143.178757
194;326.435547;452.181183;143.113312
195;326.254944;452.437195;143.025528
196;326.246704;452.582489;142.834183
197;326.189362;452.819305;142.787643
198;326.236023;453.068604;142.870041
199;326.05304;453.424835;143.147934
200;325.960846;453.884521;143.368698
201;325.968567;454.247284;143.604202
202;326.178406;454.433014;144.134384
203;326.218506;455.346069;144.487778
204;326.16153;456.017242;144.707748
205;326.265747;456.750702;144.923523
206;326.484406;457.556427;145.4133
207;326.689819;458.531128;145.786209
208;326.850189;459.539246;146.275742
209;326.977783;460.568878;147.358337
210;327.163361;461.779694;148.329117
211;327.395691;462.869812;148.930527
212;327.810181;464.260712;150.339401
213;327.852539;465.599243;151.6689
214;328.308472;467.214966;152.73201
215;328.588989;468.806366;153.44751
216;328.48996;470.76532;155.425873
217;328.422119;472.713593;156.936569
218;328.640015;474.902283;158.591339
219;329.044586;477.103516;159.685608
220;329.332825;479.46698;161.659393
221;329.28714;482.150421;163.072662
222;329.315491;484.926392;164.57457
223;329.628723;487.864929;166.257935
224;329.716583;491.140259;167.966919
225;329.976563;494.219666;169.857162
226;330.042755;497.637268;171.235397
227;329.926331;501.135925;172.83902
228;329.712708;504.752472;174.22937
229;329.525391;508.569794;175.782303
230;329.902161;512.0495;177.053711
231;328.99823;515.985229;178.784225
232;329.084656;519.938782;180.320938
233;328.65036;524.000977;181.336533
234;328.799225;527.886719;182.507965
235;327.967896;532.038391;183.87561
236;327.57782;536.085388;185.36351
237;327.333069;540.275574;185.676285
238;326.358185;544.768982;187.262009
239;326.1026;548.66803;187.914185
240;325.676971;553.231201;188.377197
241;325.423035;557.277527;188.603455
242;325.019257;561.513245;189.611694
243;324.580811;565.514771;190.348755
244;324.072968;569.878296;191.122437
245;323.375671;574.23877;191.229019
246;323.063477;578.112427;191.005051
247;322.573395;581.9646;191.133316
248;322.273712;585.964478;191.332138
249;321.839203;590.014954;191.458832
250;321.19577;593.713318;191.103714
251;320.62323;597.586975;191.203613
252;320.373901;601.072388;191.348038
253;319.704681;604.638794;191.127747
254;319.183105;608.334656;191.214279
255;318.266388;611.802307;190.950424
256;318.065125;615.232849;190.806046
257;317.241455;618.535522;190.376572
258;316.387085;621.795044;190.046234
259;316.097626;624.998535;190.044083
260;315.541351;627.99762;189.692932
261;314.814087;630.926819;189.250687
262;314.412323;633.921143;188.571075
263;313.940155;636.787292;188.544556
264;313.308685;639.439026;188.223602
265;312.370239;642.131042;187.159775
266;312.294098;644.475464;186.983978
267;312.31839;647.075562;186.340439
268;311.886261;649.571655;185.398026
269;311.307587;651.873169;184.650375
270;311.038116;653.893616;184.252808
271;311.05072;656.191101;183.399338
272;310.886993;658.147339;182.051025
273;310.459259;660.229492;181.202728
274;310.430847;662.042053;180.561066
275;309.930511;663.699585;180.041473
276;309.743958;665.444336;179.194885
277;309.18927;667.062744;178.510147
278;309.258118;668.595459;177.888641
