Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;709.089722;1085.874146;358.497101;783.326904;672.074463;71.99707;768.912537;774.426636;106.574043;800.286804;690.533447;65.300781;702.802063;1053.089844;208.505814
2;709.055786;1086.098755;358.860016;783.49707;672.187073;72.034042;769.010498;774.49115;106.745461;800.352722;690.379517;65.564232;702.791809;1053.253052;208.753189
3;709.132813;1086.308228;359.140656;783.508911;672.383728;72.087364;769.121338;774.728394;107.017792;804.527466;687.926392;69.411499;702.841614;1053.349976;208.897293
4;709.120544;1086.589722;359.279022;783.56665;672.59314;72.144188;769.281433;774.913513;107.33213;806.720398;686.567871;71.974457;702.960999;1053.616455;209.063583
5;709.171387;1086.822754;359.443817;783.380859;672.999878;72.379318;769.594971;775.217529;107.768776;806.811829;686.895508;72.185486;702.912659;1053.823364;209.206955
6;709.158997;1087.211182;359.705994;783.138489;673.43634;72.866402;769.718384;775.578857;107.971725;806.394775;687.752808;71.788078;702.908386;1054.066895;209.514847
7;709.126099;1087.613037;359.957458;783.175537;673.783081;73.19931;769.810669;776.006165;108.347832;806.131531;688.562622;71.488243;702.854858;1054.367798;209.7258
8;709.148376;1088.008301;360.230804;783.28833;674.351624;74.042473;770.013794;776.504761;109.132278;805.764038;689.651978;71.275948;702.711548;1054.808838;209.906265
9;709.232727;1088.493408;360.418335;783.381531;674.850952;74.706505;769.983154;777.047302;109.555908;806.048218;690.149658;72.697182;702.467651;1055.349609;210.098618
10;709.298157;1089.000244;360.559631;783.621582;675.254089;75.305702;769.767456;777.66333;110.449013;806.935608;689.745056;75.007515;702.335938;1056.009033;210.523697
11;709.367981;1089.513916;360.607574;784.277283;675.96405;76.777061;769.747192;778.273621;111.208939;807.820007;689.276855;77.882759;701.92926;1056.861938;210.758011
12;709.482544;1090.03772;360.765442;784.367493;676.563721;77.912956;769.792419;779.035034;112.087128;808.300903;689.672363;79.835083;701.414612;1057.83606;210.976746
13;709.554077;1090.647705;360.952026;783.824402;677.37085;79.983551;770.191711;779.820984;112.791443;808.293396;690.522644;81.108696;700.911011;1058.715088;211.106354
14;709.713684;1091.258545;361.220154;783.968079;678.454407;81.647911;769.960083;780.907654;114.725815;808.169067;691.781738;83.005096;700.593994;1059.927612;211.34552
15;709.78772;1091.894775;361.31662;784.330017;679.132263;83.370819;769.606262;781.790771;116.377907;808.365784;692.716125;84.821861;700.219971;1061.041748;211.514679
16;709.735962;1092.668579;361.729034;784.151978;680.085266;85.764633;769.488464;782.932068;117.920776;808.489014;693.180786;86.87513;700.100952;1062.125854;211.509796
17;709.690491;1093.371338;361.931763;784.250793;680.934082;87.810989;769.391113;784.194702;119.602631;808.297546;694.17395;89.370285;699.526428;1063.826538;212.03717
18;709.724976;1094.035522;362.14093;784.075256;682.294189;90.859238;769.038269;785.36853;121.632401;808.151611;695.955566;91.723473;699.054077;1065.238159;212.31929
19;709.820862;1094.883057;362.236023;784.042908;683.331726;92.982361;768.614197;786.689331;123.778366;807.777344;696.958984;94.041328;699.113098;1067.119263;212.153839
20;709.788269;1095.710815;362.538116;784.39502;684.447205;95.61824;768.097778;788.114624;125.901649;807.635742;698.468323;96.998795;698.886108;1069.006714;211.86644
21;709.788879;1096.74585;362.922241;783.94281;685.962097;98.807785;767.881592;789.535583;127.941208;807.635193;699.763245;100.133118;698.746826;1070.830688;212.012955
22;709.976257;1097.829224;363.325226;783.828125;687.580139;101.75267;767.377319;791.241394;130.737122;808.107361;700.774963;103.066986;698.213135;1072.775146;212.544189
23;710.113525;1099.103882;363.593506;783.637329;688.886963;104.540169;766.7771;792.842041;132.909454;807.661865;702.37793;106.404846;697.36438;1074.794067;213.165283
24;710.372009;1100.31665;363.836212;783.151917;690.551819;108.011681;766.242676;794.640381;135.384933;806.981079;704.602844;109.658051;696.772583;1076.787231;213.693237
25;710.521606;1101.641968;364.359283;782.996704;692.394165;111.306396;765.876709;796.714783;138.119186;806.69812;706.320618;113.033966;696.320129;1079.029785;214.128448
26;710.37384;1103.031616;364.828705;782.247925;694.170654;114.404678;764.784424;798.458618;140.933548;806.507019;708.347656;116.489563;695.582031;1081.574219;214.234253
27;710.304443;1104.283691;365.286102;781.840698;696.046997;117.615181;763.892395;800.612122;143.307159;805.931763;709.762878;119.500542;694.856018;1083.948364;214.698242
28;710.419922;1105.73645;365.646301;780.903503;698.395325;121.314316;763.281189;803.028198;145.960098;805.271362;712.436707;122.680122;694.393738;1086.355103;215.431763
29;710.612366;1107.259644;365.951721;780.65094;700.430115;124.428207;762.449585;805.017517;149.061172;804.818176;714.187012;126.310181;693.74054;1088.98877;216.036041
30;710.900208;1109.096191;366.221558;779.763672;702.865112;127.780518;761.395386;807.549011;151.718201;803.685425;716.60791;129.887787;693.164185;1091.859375;216.766006
31;711.071716;1110.808716;366.545013;778.611389;705.042847;130.996262;760.341125;809.748718;153.984528;802.937805;718.776672;133.400314;693.153015;1094.528076;216.671509
32;711.056641;1112.569702;367.040924;777.719238;707.381104;134.2892;759.104736;812.377502;156.845413;802.102173;721.34375;136.25914;692.480957;1097.394531;216.941742
33;711.072327;1114.294556;367.369751;776.693665;710.049194;137.289459;758.049683;815.011841;159.807465;800.888306;723.904114;139.467331;691.455505;1100.302002;218.032593
34;711.318176;1116.039673;367.619507;775.555176;712.610413;140.497696;756.918579;817.551758;162.550293;799.564697;726.318298;142.992477;690.898438;1103.152832;219.038895
35;711.421631;1118.021851;368.529327;774.176147;715.222351;143.826813;755.502136;820.515869;165.08223;798.406494;729.025146;146.341843;690.330994;1106.317139;219.662796
36;711.416992;1119.886963;368.901367;773.259033;718.020569;146.730515;753.849548;823.329285;167.537964;797.390808;731.879333;149.517181;690.191711;1109.531738;219.791138
37;711.57074;1121.787109;369.081085;771.826904;720.708923;149.448883;752.328857;826.145996;169.788727;796.126587;734.408813;152.870895;690.295898;1112.708618;219.428268
38;711.552856;1123.582031;369.369751;770.32019;723.642151;152.185013;750.804932;829.100952;172.1073;794.310181;737.483154;155.675095;689.28418;1115.919312;220.816681
39;711.558289;1125.431519;370.108337;768.570251;726.735718;155.220047;748.905457;831.815125;175.145401;792.771912;740.534973;158.315613;688.526123;1118.933838;222.20929
40;711.742188;1127.387573;371.153992;767.050293;729.579468;157.926331;747.100525;834.94397;177.679474;790.985168;743.331726;161.509308;688.424927;1122.253418;222.519714
41;711.87793;1129.444214;371.828064;765.537048;732.485596;160.151047;745.539429;838.16394;179.935822;789.590332;746.060974;164.020294;688.102051;1125.760742;223.304428
42;711.888;1131.309082;372.473175;763.598022;735.857788;162.831299;743.711182;841.199219;182.036713;788.012878;749.357483;166.563766;687.705383;1129.077148;223.779907
43;711.644165;1133.022827;373.673828;761.646057;739.201904;165.421829;741.590454;844.28302;184.382751;785.941162;752.777344;169.036469;687.045349;1132.216553;224.833221
44;711.816284;1135.220459;374.17218;759.783752;742.248047;167.477219;739.84552;847.720703;186.497467;783.549561;755.930725;171.631714;686.647278;1135.682739;226.358704
45;712.15509;1137.268677;374.469543;757.62262;745.622925;170.005295;738.231018;850.791443;188.55278;781.557251;758.644958;174.079071;686.65094;1139.070313;226.928177
46;712.347229;1139.26001;375.000885;755.5401;748.676575;172.092957;736.216492;854.067322;190.877258;779.895935;762.179871;176.205109;686.433655;1142.525391;227.95488
47;712.470886;1141.017822;376.157776;753.240112;751.89325;174.404739;733.988586;857.432495;192.71701;777.816162;765.497681;178.248795;;;
