Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;681.29303;1055.848755;300.725555;804.648987;679.788025;86.472908;795.704651;781.8526;103.70974;704.735474;977.273132;138.921463;783.543335;681.844177;70.649063
2;680.808655;1056.49646;300.443726;803.737732;680.682373;87.885574;795.302673;782.6427;105.58316;704.503296;977.854919;138.628036;783.5354;682.205322;72.865433
3;680.312683;1057.048096;299.860748;803.596802;680.545654;90.557205;794.804626;783.067444;107.601563;704.344299;978.380188;138.370789;783.380188;682.533081;75.268555
4;680.056763;1057.769531;299.407562;803.784851;680.850525;93.575256;795.090332;783.386414;109.122231;704.020813;979.158569;138.176086;783.664001;682.906982;77.854721
5;679.826782;1058.63916;298.972992;803.05481;681.283081;95.914268;794.581299;783.961853;111.067619;703.517639;980.132813;137.840118;783.928101;682.420654;81.323547
6;679.423462;1059.464233;298.425385;803.342224;681.867737;99.154762;794.240234;784.545776;112.896339;703.00354;980.960144;137.843445;781.653259;674.32959;88.355103
7;678.965576;1060.290161;298.421997;803.296631;682.158447;102.25309;794.278442;785.293884;115.479454;702.26709;981.595764;137.853561;780.435303;671.937988;93.198532
8;678.082581;1061.107666;298.48291;803.31781;683.285217;105.048409;793.939331;786.146729;117.440193;701.522705;982.419983;137.824722;780.719666;672.927368;95.999634
9;677.319458;1062.121338;298.032166;803.61969;683.900269;108.675171;793.281677;787.075439;119.090546;700.937195;983.362427;137.272537;781.06073;674.466492;99.342026
10;677.077942;1063.161133;297.354401;803.749268;684.986328;111.985268;793.403687;788.055237;121.948318;700.173157;984.461487;137.983597;781.145691;675.116333;102.147408
11;676.936035;1064.179321;296.302094;803.97583;685.693115;115.26886;792.759155;788.929321;124.382782;699.298279;985.340027;138.624634;781.042725;676.016296;105.870712
12;676.381409;1065.157349;295.97934;803.577759;686.49054;118.865265;792.333496;790.231018;126.239502;698.23999;986.47583;138.344162;780.416687;677.053101;109.854263
13;675.669067;1066.346558;295.545105;804.130005;687.968445;122.411522;791.89032;791.371033;128.997787;697.335876;987.6604;138.055771;780.009338;678.459045;113.796829
14;674.674561;1067.335083;295.917145;803.830383;689.095398;126.092537;;;;696.612915;988.727661;138.471207;779.488892;679.544006;118.176086
15;674.070984;1068.642334;295.5112;803.086914;690.159607;129.423523;790.864502;793.42804;135.636414;695.545288;989.850098;139.175308;780.117737;680.418762;120.822449
16;673.746399;1069.882568;294.906982;802.882874;691.821045;132.937225;;;;694.313416;991.11499;139.237732;780.371155;681.204773;123.85289
17;673.069153;1071.074341;294.790375;802.482117;693.390503;136.486221;;;;693.330627;992.322266;139.084305;780.052551;682.658386;127.878395
18;672.152588;1072.185547;294.783142;801.958984;694.09906;140.600845;788.83136;798.327393;141.609238;692.249512;993.641174;139.076004;778.877686;684.266357;131.880524
19;671.424988;1073.376709;294.76828;801.182495;696.485718;144.038956;;;;691.151978;995.126892;139.03067;778.30957;685.580566;135.748718
20;670.682251;1074.66333;294.499847;801.024536;697.692017;147.668518;;;;690.163513;996.387329;139.112289;778.261902;687.068054;139.509933
21;670.052734;1075.615234;295.586304;800.115723;699.614807;150.89241;;;;688.874939;997.924316;139.341034;777.085022;688.744934;143.357132
22;669.126587;1077.440063;293.703949;799.129639;701.320618;154.760498;785.130127;805.113342;152.113495;687.230774;999.392456;140.063721;776.414124;690.316528;146.755371
23;668.20166;1078.639648;293.824738;798.588684;703.035095;159.051498;783.831055;806.712585;155.330093;686.02124;1000.681274;140.46492;775.662354;692.083496;149.845779
24;667.329773;1079.97998;294.397522;797.505188;705.100403;162.140335;782.791199;808.493469;158.223083;684.57019;1002.525513;140.452209;773.645813;694.447815;154.273285
25;666.533752;1081.403564;294.522949;796.548462;706.82251;165.56308;781.395569;810.410339;161.521362;683.174438;1004.158691;140.137817;773.692078;695.858521;157.005463
26;665.715027;1082.713379;293.966583;795.880127;709.242004;169.305786;780.221497;812.580322;164.055923;681.779358;1006.092163;140.548431;772.773987;697.746277;160.160782
27;664.872437;1084.269775;293.939911;794.158325;711.223633;172.448364;778.823303;814.957458;166.435852;680.319702;1007.658752;140.936218;771.87854;700.01593;163.80191
28;664.009705;1085.707886;294.37854;792.821228;713.540649;175.849792;777.255676;816.881714;168.779861;678.609009;1009.501282;141.552155;770.345459;702.084778;167.105591
29;662.987549;1087.105103;294.482666;791.326355;716.087952;179.573624;775.499939;819.038391;172.509094;677.06073;1011.290405;141.616547;769.375854;704.223328;169.937027
30;662.148438;1088.653076;294.283752;790.074097;718.333557;182.783417;774.255127;821.472473;175.632004;675.674316;1013.430115;141.721405;767.635193;707.036255;173.894241
31;661.406799;1090.228882;294.19989;788.595154;721.120728;185.62117;772.342407;824.006226;177.770218;673.93988;1015.451599;141.792267;766.589905;708.968689;177.197464
32;660.618774;1091.738647;294.049377;787.59198;723.298218;189.014923;770.716064;826.312744;180.105835;672.085938;1017.538879;142.386398;765.436707;711.723694;180.24086
33;659.699219;1093.122803;293.884308;786.416077;726.125305;193.161652;769.195557;828.995972;183.000092;670.530579;1019.822632;142.381897;764.434753;714.342102;183.128113
34;658.842346;1094.765625;294.389435;784.475281;728.987854;196.072906;767.421631;831.827209;185.679184;668.847168;1022.078857;142.61145;762.147644;716.924316;186.219833
35;658.092651;1096.363281;294.817963;782.780457;731.550964;199.160797;765.576477;834.466919;188.219421;667.300476;1024.241821;143.239975;760.427002;719.577942;190.309692
