Frame;1_X;1_Y;1_Z
1;879.278748;642.272461;111.992737
2;879.278076;642.418884;111.861954
3;879.325317;642.417847;111.811783
4;879.371643;642.386902;111.799057
5;879.404114;642.361206;111.859932
6;879.333313;642.385986;111.839592
7;879.362549;642.376953;111.9086
8;879.351746;642.370911;111.909164
9;879.319641;642.388733;111.843819
10;879.278931;642.407837;111.777061
11;879.276428;642.411438;111.768005
12;879.272095;642.29541;111.859772
13;879.269287;642.347473;111.884888
14;879.193237;642.396423;111.912872
15;879.061951;642.439636;111.839409
16;879.070984;642.445251;111.913528
17;879.042419;642.42395;111.963379
18;878.941895;642.340271;111.953018
19;878.91864;642.321838;111.956673
20;878.85321;642.342285;112.026085
21;878.71991;642.361938;112.074364
22;878.684998;642.361145;112.233604
23;878.575439;642.370605;112.3573
24;878.446655;642.474304;112.528412
25;878.165649;642.400146;113.034111
26;878.103149;642.608032;112.946037
27;878.190857;642.753662;112.921928
28;878.108582;642.887512;113.079697
29;877.830261;643.018677;113.265785
30;877.503784;643.118835;113.602753
31;877.134827;643.332886;113.890831
32;876.728577;643.539307;114.35614
33;876.294189;643.668213;114.760277
34;875.889404;643.830505;115.493309
35;875.561829;644.089478;116.071129
36;875.230591;644.267517;116.592278
37;874.934265;644.310547;117.467285
38;874.524231;644.495789;118.380013
39;874.278137;644.657288;118.965431
40;874.131897;645.019287;119.193108
41;874.151794;645.338867;119.892746
42;873.840576;645.625793;120.83429
43;873.518127;645.851135;121.861542
44;873.077087;646.016785;123.332336
45;872.516418;646.20459;124.437309
46;872.183777;646.385071;125.587471
47;871.625244;646.59082;126.531197
48;870.804688;646.691284;127.624718
49;869.752563;646.773254;128.907928
50;868.671753;646.861694;130.789124
51;867.524719;647.040894;132.278458
52;866.728027;647.262634;133.418808
53;865.607971;647.433838;134.753235
54;863.934692;647.525879;136.685287
55;862.097961;647.74585;138.620087
56;860.752625;647.998657;139.721878
57;858.771851;648.269348;141.379272
58;856.662109;648.623779;143.25383
59;854.630554;649.035217;144.754471
60;852.3526;649.251648;146.985779
61;849.889221;649.610779;148.437637
62;847.355896;650.014343;149.923569
63;844.461975;650.596252;151.664795
64;841.973267;651.029114;153.297852
65;838.918823;651.32489;154.718582
66;835.689087;651.803894;156.962616
67;832.449951;652.222595;158.947556
68;829.547363;652.722229;160.147797
69;826.067749;653.24646;161.463181
70;822.942444;653.910522;163.397659
71;819.687744;654.482056;164.884338
72;815.948364;654.970947;166.01825
73;812.758423;655.712036;167.448151
74;809.154053;656.156433;168.860031
75;805.803955;656.381287;170.033813
76;802.432312;656.928467;171.103714
77;798.854553;657.266296;172.831345
78;794.95636;657.729248;174.020004
79;791.598755;658.094666;175.010437
80;788.078857;658.233887;175.914322
81;784.43335;658.628296;176.822525
82;780.539917;658.950806;177.721878
83;777.155823;659.232361;178.973755
84;773.569458;659.385193;179.710831
85;769.624023;659.647278;180.226883
86;765.963562;659.749451;181.023529
87;762.367065;659.875549;181.422226
88;758.958374;660.265991;181.194077
89;755.523743;660.30542;182.138626
90;751.596375;660.303528;182.944611
91;747.670105;660.360718;183.729492
92;744.1922;660.46405;183.186432
93;741.043945;660.548645;182.917221
94;737.316833;660.661926;183.281662
95;733.582458;660.574585;183.977371
96;730.347046;660.575073;183.988556
97;726.815308;660.455505;184.084564
98;723.495361;660.638123;183.167831
99;720.601929;660.624268;182.887756
100;717.311157;660.562683;182.944229
101;713.835266;660.470459;182.871048
102;710.352844;660.28479;182.935349
103;707.512695;660.184937;182.118881
104;704.31427;660.260376;181.462082
105;701.353882;660.211182;180.850311
106;698.197876;660.004761;180.761017
107;695.259277;660.016113;179.906769
108;692.326477;660.017212;179.006897
109;689.311829;660.005737;178.546265
110;686.48938;659.711548;178.228394
111;683.673889;659.893799;177.308456
112;680.811584;659.906006;176.560257
113;678.044189;659.867737;176.101791
114;675.164368;659.535095;175.153229
115;672.760681;659.700745;173.999191
116;670.1698;659.642578;173.2276
117;667.778931;659.280884;172.259155
118;665.11908;659.561523;171.282608
119;662.80426;659.66571;170.418365
120;660.555115;659.553406;169.440521
121;658.139954;659.507996;167.904388
122;656.241028;659.618591;166.979675
123;654.167236;659.459839;165.50621
124;651.978271;659.536438;164.32016
125;650.199524;659.722412;163.477524
126;648.346436;659.626709;162.207199
127;646.361084;659.532593;160.734482
128;644.950195;659.582397;159.118912
129;643.353271;659.436707;157.766663
130;641.319275;659.64624;156.698914
131;639.696777;659.422607;155.101486
132;638.463501;659.434143;153.279358
133;637.129028;659.517944;151.994202
134;635.743713;659.514771;150.57399
135;634.047791;659.537537;149.349152
136;633.353516;659.483337;147.169876
137;632.429626;659.562744;145.175842
138;631.21283;659.80127;143.582016
139;629.875366;659.511169;142.011765
140;629.113403;659.717896;140.290497
141;628.368469;659.746338;138.08902
142;627.624268;659.58783;136.308319
143;626.951721;659.861267;133.982391
144;626.432617;659.818237;131.638153
145;625.747375;660.006836;129.633545
146;625.090271;659.996582;127.676643
147;624.820068;659.940125;124.860596
148;624.4104;659.866028;122.828278
149;624.049316;659.970276;120.516907
150;623.838928;659.898743;117.888374
151;623.776367;659.935608;115.170769
152;623.766418;659.853394;112.310455
153;624.072205;659.573547;109.727638
154;625.182861;659.494019;107.792664
155;626.464661;659.680542;106.440628
156;627.194031;659.950134;105.949348
157;627.443909;659.809937;105.29805
158;627.59491;659.771729;104.615707
159;627.527588;659.94342;103.658577
160;627.579773;660.033386;103.461845
161;627.507813;660.229858;103.8741
162;627.428589;659.965881;104.655273
163;627.183533;659.8703;104.932877
164;626.990601;659.779175;105.138954
165;626.836609;659.562134;105.404007
166;626.774475;659.40741;105.567673
167;626.702026;659.292847;105.619835
168;626.501953;659.198853;105.584702
169;626.421448;659.10968;105.635368
170;626.412537;659.087158;105.458138
171;626.361816;659.055786;105.355133
172;626.360168;658.910217;105.447647
173;626.299438;658.85144;105.444954
174;626.2724;658.902893;105.404587
175;626.253113;658.906067;105.416451
176;626.241821;658.923645;105.331055
177;626.23053;658.926941;105.409233
178;626.226257;658.893494;105.440292
179;626.172791;659.039368;105.468315
180;626.190979;659.15918;105.421112
181;626.149902;659.206787;105.620506
182;626.086792;659.280273;105.715881
183;626.083313;659.3703;105.715576
184;626.046997;659.486938;105.655708
185;626.056946;659.497986;105.707787
186;626.023315;659.569641;105.792145
187;626.009766;659.580566;105.809784
188;625.986572;659.61554;105.773018
189;625.947998;659.717957;105.777542
190;625.891174;659.730042;105.773438
191;625.882507;659.711731;105.812492
192;625.768005;659.655701;105.565559
193;625.766235;659.689148;105.920303
194;625.751648;659.686768;106.121162
195;625.654846;659.682678;106.100578
196;625.664368;659.674133;106.113625
197;625.650269;659.69397;106.038261
198;625.630371;659.696655;106.168358
199;625.61499;659.588867;106.272591
200;625.542236;659.564758;106.219543
201;625.55481;659.481262;106.231804
202;625.574341;659.487183;106.232635
203;625.579163;659.482361;106.227882
204;625.545288;659.437012;105.753883
205;625.589783;659.35553;105.597275
206;625.594543;659.341248;105.617645
207;625.659058;659.403625;106.008957
208;625.63562;659.276062;106.178627
209;625.647095;659.263306;106.091896
210;625.690247;659.276489;106.164841
211;625.704956;659.260254;106.162766
212;625.693115;659.253357;106.121208
213;625.680176;659.18457;106.153847
214;625.703857;659.158813;106.130379
215;625.781677;659.162598;106.013344
216;625.742981;659.170166;106.073692
217;625.602295;659.13446;105.797966
218;625.784485;659.160889;105.907021
219;625.779419;659.152893;106.085762
220;625.7453;659.149719;106.120918
221;625.601746;659.13092;105.801544
222;625.735535;659.15448;105.962402
223;625.793884;659.144165;105.96109
224;625.836121;659.126343;106.04213
225;625.854675;659.150452;105.949242
226;625.840332;659.171692;105.912033
227;625.812073;659.161865;105.93
228;625.726685;659.202393;106.005196
229;625.752625;659.176941;105.950546
230;625.760315;659.189453;105.922089
231;625.862366;659.188843;105.805786
232;625.82782;659.187439;105.862129
233;625.87085;659.154785;105.883507
234;625.835449;659.197449;105.843681
235;625.870239;659.194519;105.790611
236;625.88501;659.191223;105.777145
237;625.927734;659.175598;105.83342
238;625.885376;659.185303;105.796753
239;625.899597;659.202393;105.76918
240;625.935486;659.208313;105.750931
241;625.914917;659.167664;105.838898
242;625.90979;659.1875;105.76384
243;625.949036;659.203064;105.715508
244;625.909119;659.189087;105.74614
245;625.935669;659.168823;105.808823
246;625.973755;659.159058;105.773682
247;625.979797;659.169861;105.786079
248;625.979675;659.163635;105.76165
249;625.958984;659.163818;105.655159
250;625.952576;659.174988;105.65937
251;626.077026;659.120728;105.46067
252;626.120667;659.118164;105.397659
253;626.088501;659.164551;105.379509
254;626.107117;659.120605;105.375214
255;626.100464;659.145874;105.318954
256;626.116455;659.138306;105.312759
257;626.13562;659.118286;105.347198
258;626.12262;659.111694;105.277115
259;626.163513;659.142883;105.244583
260;626.133972;659.077515;105.314911
261;626.088318;659.072693;105.315819
262;626.087646;659.032532;105.29921
263;626.085388;659.069763;105.267143
264;626.087341;659.103516;105.199715
265;626.099609;659.078186;105.221199
266;626.152344;659.065552;105.179138
267;626.182678;659.055481;105.111336
268;626.177246;659.057068;105.113945
269;626.082703;659.049133;105.112946
270;626.102844;659.079468;105.056656
271;626.067383;659.096191;104.993088
272;626.033325;659.006287;105.012314
273;626.01886;658.956055;105.151169
274;626.020996;658.926331;105.182892
275;625.979675;658.888672;105.124306
276;625.974609;658.950989;105.03595
277;625.989197;658.944946;105.113007
278;625.94751;659.034241;105.170265
279;625.916016;659.12915;105.212807
280;625.848206;659.150513;105.289818
281;625.835327;659.234375;105.333794
282;625.724548;659.423218;105.452736
283;625.654297;659.541382;105.546425
284;625.659729;659.614441;105.751015
285;625.530151;659.824646;105.863403
286;625.473999;659.97522;105.932831
287;625.369263;660.083801;106.088661
288;625.307556;660.218018;106.205986
289;625.152649;660.399414;106.543381
290;624.976135;660.664734;106.755783
291;624.760376;660.941589;107.120461
292;624.712585;661.150208;107.344719
293;624.625854;661.444946;107.42997
294;624.551147;661.819702;107.672928
