Frame;1_X;1_Y;1_Z
1;308.631042;694.018555;147.909592
2;308.626495;693.964783;147.963394
3;308.651886;693.951294;147.907501
4;308.638947;693.958923;147.925171
5;308.640076;693.955627;147.911224
6;308.629181;693.964661;147.955612
7;308.652557;693.958374;147.955521
8;308.639587;693.964844;147.926605
9;308.646179;693.965942;147.939392
10;308.64209;693.955505;147.911697
11;308.712067;693.947327;147.954514
12;308.708405;693.940308;147.956436
13;308.707153;693.954712;148.008286
14;308.713776;693.947083;147.97319
15;308.744446;693.922546;148.028046
16;308.830475;693.75708;147.803711
17;308.85553;693.740723;147.74353
18;308.804077;693.816467;148.012268
19;308.796051;693.827393;148.061859
20;308.838959;693.752502;148.099045
21;308.815247;693.729004;148.103119
22;308.815948;693.715515;148.083939
23;308.899445;693.618347;148.160965
24;308.901825;693.600281;148.238831
25;308.901154;693.599426;148.223953
26;308.874298;693.560791;148.227173
27;308.862885;693.562256;148.265854
28;308.835022;693.493347;148.206741
29;308.868134;693.455566;148.233765
30;308.906311;693.369507;148.243378
31;308.890411;693.360046;148.259689
32;308.898743;693.270752;148.298798
33;308.868164;693.243469;148.269318
34;308.858917;693.152832;148.272598
35;308.878967;693.14209;148.301636
36;308.818237;693.087524;148.281754
37;308.820129;692.974182;148.322418
38;308.846283;692.96759;148.31131
39;308.823456;692.87439;148.33812
40;308.778534;692.822876;148.309464
41;308.735565;692.68927;148.365112
42;308.815277;692.535095;148.480423
43;308.856049;692.414978;148.553848
44;308.625763;692.312866;148.507263
45;308.765778;692.18103;148.705292
46;308.862457;691.954102;148.838608
47;308.860992;691.745789;148.978806
48;308.841827;691.502014;149.132263
49;308.63327;691.326111;149.094635
50;308.70694;691.143311;149.374741
51;308.700012;690.943665;149.605225
52;308.629181;690.658997;149.65947
53;308.6763;690.467163;149.943588
54;308.822845;690.158447;150.249405
55;308.557343;689.905884;150.714722
56;308.66922;689.522278;151.403976
57;308.504425;689.167725;151.799576
58;308.207886;688.740967;152.165878
59;308.033569;688.295471;152.45813
60;307.980408;687.844971;152.649246
61;307.722504;687.566711;153.242157
62;307.50769;687.205444;153.762619
63;307.387024;686.723999;154.25975
64;307.406281;686.097168;154.796661
65;307.401947;685.581177;155.212143
66;307.431183;684.871216;155.722488
67;307.274323;684.233398;156.415756
68;306.990723;683.564941;157.241348
69;306.720795;682.927063;158.145462
70;306.472015;682.05072;158.889694
71;306.364624;681.131775;159.6745
72;306.070526;680.453186;160.618881
73;305.436798;679.444275;161.621521
74;304.653046;678.481628;162.94928
75;304.359406;677.337952;163.837997
76;303.981232;676.334167;164.552948
77;303.615295;675.034363;165.699768
78;303.358765;673.958008;166.830002
79;302.873962;672.552551;168.213409
80;302.658722;671.183167;169.089615
81;302.424713;669.854858;170.48587
82;301.822357;668.388733;171.627151
83;301.261719;666.935425;172.631958
84;300.923279;665.305298;173.48317
85;300.821106;663.757324;174.483276
86;300.68811;661.684448;175.492966
87;300.380707;660.054199;176.676422
88;300.150116;658.008423;177.803299
89;300.109283;656.25946;178.556931
90;299.782349;654.260864;179.193649
91;299.282013;651.96582;180.194077
92;298.865723;649.825317;181.227661
93;298.649414;647.790833;182.129791
94;298.403107;645.15155;183.074478
95;298.242188;642.782104;183.652817
96;298.337646;640.358643;184.13298
97;297.72583;637.892578;185.177887
98;297.353668;635.111328;185.927979
99;297.41214;632.342651;186.466202
100;297.200897;629.521667;187.170792
101;297.177429;626.61908;187.622742
102;297.196716;623.82666;188.006302
103;297.121521;620.940369;188.643372
104;296.922394;618.038452;189.211075
105;296.625122;615.134277;189.515366
106;296.769257;611.824341;189.243622
107;297.016785;608.725891;189.457809
108;297.018555;605.713989;190.039841
109;297.092041;602.583923;190.467896
110;297.29187;599.232666;190.32637
111;297.352722;595.898987;190.344818
112;297.092529;592.676208;190.493347
113;297.144196;589.31134;190.082932
114;297.108246;586.102112;190.071411
115;297.138367;582.737061;189.912018
116;297.338684;579.396973;189.667145
117;297.542358;575.976074;189.698959
