Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;880.236084;728.345032;120.242676;756.095459;681.858948;110.755371;1105.235596;831.673767;372.597107;1122.100586;865.061523;231.470383;;;
2;880.195129;728.180298;120.2314;756.221375;681.504395;110.556602;1105.184448;831.682068;372.518341;1121.970825;865.013855;231.302948;;;
3;880.160828;728.055908;120.230133;756.445068;681.126587;110.329971;1105.103638;831.638733;372.430054;1121.804199;865.027527;231.236038;851.194885;629.576538;102.523972
4;880.075317;727.911072;120.297058;756.659485;680.58844;110.20414;1105.02832;831.63623;372.466705;1121.718384;865.046631;231.184235;850.913879;629.585022;102.428635
5;879.909058;727.614136;120.589645;757.032227;679.898743;110.09446;1104.951172;831.581482;372.41153;1121.619629;864.957214;231.062531;850.604431;629.515442;102.390457
6;879.830994;727.519409;120.707565;757.511841;679.265137;109.847618;1104.896973;831.630188;372.35257;1121.498413;864.930786;231.029846;849.975403;629.343933;102.220406
7;879.900146;727.316284;120.66243;758.128723;678.555115;109.661163;1104.74231;831.604309;372.193298;1121.383545;864.941956;230.977554;849.19043;629.268372;101.798203
8;879.961548;726.835999;120.777206;758.701416;677.771484;109.24057;1104.62146;831.60083;372.112823;1121.263916;864.960999;230.883942;848.159607;629.723877;101.055977
9;879.767761;726.445557;120.967247;759.520264;676.645142;108.567841;1104.511719;831.595154;372.037659;1121.028809;864.945435;230.85376;847.107849;630.300659;100.11515
10;879.537842;726.103149;121.152809;760.778259;675.240173;107.518501;1104.364746;831.493164;372.010834;1120.849487;864.924377;230.888443;846.741577;630.261963;99.330742
11;879.72699;725.499878;121.045029;761.736328;674.393311;106.827934;1104.222778;831.480896;371.932861;1120.61377;864.926453;230.756973;845.729187;630.201416;98.57872
12;879.851868;724.858154;121.051636;761.948486;674.297546;106.523331;1104.215698;831.38446;371.797394;1120.277954;864.858276;230.754196;844.200989;630.359558;97.921516
13;879.926025;724.195801;120.992111;762.038818;674.364929;106.488213;1104.06543;831.395752;371.466248;1119.845459;864.819702;230.616257;842.762756;630.302246;97.336288
14;879.753113;723.863464;121.319817;762.275391;674.285706;106.41349;1103.856323;831.212341;371.614868;1119.252319;864.839661;230.651352;841.672485;630.113586;97.183914
15;879.464783;723.636169;121.539063;762.447937;674.127502;106.383728;1103.694336;831.157593;371.710205;1118.886841;864.821655;230.682022;841.083374;630.290955;97.249504
16;879.309937;723.374268;121.610497;762.636841;673.946716;106.427437;1103.503052;831.11792;371.568115;1118.580322;864.831299;230.659119;840.93811;630.550171;97.397598
17;879.216125;723.169983;121.621178;762.880066;673.673279;106.496216;1102.901855;831.227173;371.324524;1118.019775;864.693176;230.26355;840.810791;630.690491;97.491653
