Frame;1_X;1_Y;1_Z
1;871.242798;391.647522;32.345776
2;871.592712;391.373169;31.897364
3;871.723694;391.319611;31.82622
4;871.598633;391.146545;31.858177
5;871.494507;391.099274;32.207886
6;871.375916;390.86673;32.211674
7;871.363586;390.662231;32.453938
8;871.2677;390.305511;32.373676
9;871.238464;390.021393;32.240986
10;871.373901;389.742218;32.013432
11;871.543091;389.320404;31.871992
12;871.492065;388.655548;31.690094
13;871.348511;387.739868;31.779711
14;871.090454;386.673523;32.039833
15;871.395142;385.886261;32.242523
16;870.869263;385.04776;32.116425
17;870.510681;383.863556;31.824371
18;870.449402;382.393402;31.608788
19;870.138367;381.36496;31.454901
20;869.838989;380.029449;31.62722
21;869.986694;378.304199;31.790707
22;870.047913;376.862335;32.067383
23;869.814697;374.990875;32.075573
24;869.648315;373.298065;31.813652
25;869.289307;371.525024;31.71073
26;868.932312;369.835022;31.906828
27;868.71582;367.990265;31.891525
28;868.982117;365.811584;31.863628
29;868.736389;363.503265;31.565958
30;868.334106;361.51825;31.827045
31;867.605103;359.138245;31.915768
32;867.467834;357.037262;31.803635
33;867.734131;354.343353;31.472012
34;867.28772;352.01123;31.40016
35;866.751221;349.821869;31.360895
36;866.450256;346.870087;31.390745
37;866.16333;344.316162;31.472946
38;865.7677;341.878052;31.528515
39;865.246887;338.772644;31.181046
40;864.659119;336.053192;31.037605
41;864.293396;333.403259;31.098064
42;864.140198;330.366302;30.867058
43;863.666809;327.302612;30.999704
44;862.786987;324.597076;31.291666
45;;;
46;862.517761;318.58316;30.259892
47;861.522461;315.49408;31.396481
48;860.713562;312.440765;31.054138
49;860.615051;309.424835;30.894535
50;860.371765;306.533875;30.755728
51;859.802917;303.018646;30.740879
52;;;
53;858.973328;296.820923;31.131634
54;859.105347;293.676178;30.173403
55;;;
56;858.737732;287.15329;29.534655
57;858.066467;283.679535;30.623739
58;857.379944;280.686554;30.99951
59;857.738342;277.412476;30.317118
60;857.672974;274.346069;30.600327
61;857.434021;271.134766;30.986988
62;857.469971;267.543945;30.301563
63;857.191162;264.456604;30.498547
64;857.360107;261.318939;30.238941
65;857.834717;258.126099;30.281307
66;857.610168;255.22197;30.498003
67;857.367859;251.945847;30.282145
68;858.018738;249.038605;29.74868
69;857.523376;246.431168;30.606325
70;857.210327;243.339508;31.159418
71;;;
72;857.156067;238.135178;30.070616
73;857.430603;235.102692;30.110035
74;857.687866;232.169586;29.821009
75;857.512817;229.988876;30.071903
76;857.188904;227.354645;30.33429
77;;;
78;857.871887;222.490921;29.441473
79;857.94519;220.147522;29.869806
80;858.095398;218.077744;30.539431
81;858.01886;215.634445;30.489805
82;858.082581;213.853531;29.881353
83;;;
84;858.851318;210.120743;29.449596
85;858.554443;208.034225;30.013151
86;858.406677;206.247986;30.305597
87;858.527222;204.423965;29.737749
88;859.052368;202.419479;29.92177
89;859.088196;201.011398;30.074846
90;858.841797;199.292892;30.121706
91;858.642944;197.996704;29.898918
92;858.696899;196.305603;29.341381
93;;;
94;859.313965;193.290237;28.834534
95;858.963501;191.531357;29.427601
96;858.779602;190.050491;29.646034
97;858.806763;188.59198;29.92878
98;858.798401;186.933014;30.122065
99;859.032288;185.426971;29.698923
100;859.113708;184.289856;29.242098
101;;;
102;;;
103;859.359436;180.402817;28.625351
104;859.253235;178.939987;29.26535
105;859.118713;177.657623;29.677673
106;859.348206;176.564148;29.210243
107;859.365723;175.422562;29.158405
108;859.369873;174.119156;29.832235
109;859.49176;173.221375;30.221785
110;859.625977;172.027985;29.865583
111;859.960266;170.707748;29.575098
112;860.315918;169.65593;29.720831
113;860.409973;168.967789;29.365946
114;860.412231;168.375702;28.9331
115;;;
116;859.773438;166.775146;30.221169
117;860.360474;165.984741;29.399855
118;;;
119;;;
120;;;
121;;;
122;;;
123;;;
124;;;
125;;;
126;;;
127;;;
128;;;
129;;;
130;;;
131;;;
132;;;
133;;;
134;;;
135;;;
136;;;
137;;;
138;;;
139;;;
140;;;
141;;;
142;;;
143;;;
144;858.833862;168.967438;29.213209
145;858.361084;169.612717;29.156456
146;857.711609;170.309845;29.170774
147;857.281982;171.458939;29.208569
148;857.113525;172.710052;28.990438
149;856.898743;173.826843;28.941494
150;;;
151;855.060669;176.599915;29.842064
152;854.702026;177.965347;29.475758
153;853.886841;179.078308;29.325665
154;852.865723;180.510559;29.079664
155;852.530518;182.023926;28.594604
156;;;
157;850.892395;185.176132;29.498989
158;850.206726;186.948547;29.493731
159;848.88324;188.386765;29.565435
160;848.059631;190.157883;29.306871
161;847.566589;191.881058;29.439432
162;846.373047;193.684448;29.425325
163;845.194458;195.891739;28.938705
164;843.963989;197.696869;29.136425
165;843.097778;199.98526;29.626549
166;841.598572;201.793732;29.979641
167;840.548462;203.929291;29.763945
168;839.134583;205.97319;29.231178
169;;;
170;;;
171;;;
172;;;
173;;;
174;;;
175;;;
176;;;
177;828.359253;227.245529;29.059261
178;827.284668;229.183472;28.62326
179;825.898926;231.805328;28.668633
180;824.715515;234.15004;29.291201
181;823.135071;236.845627;29.186762
182;821.649841;239.199265;29.174414
183;820.545227;241.4935;29.391176
184;819.019897;244.180191;29.25152
185;817.73114;246.472443;29.368137
186;;;
187;;;
188;;;
189;;;
190;;;
191;;;
192;;;
193;806.467712;268.224182;28.207655
194;804.700439;271.422546;28.615311
195;802.888489;274.276123;29.37545
196;801.305176;276.953644;29.562557
197;799.621765;280.050232;29.109446
198;798.499207;282.537659;28.984526
199;796.976379;285.417389;29.084036
200;794.999268;288.633911;29.801317
201;;;
202;;;
203;;;
204;;;
205;;;
206;;;
207;784.636047;308.678741;28.047241
208;782.953918;311.655914;28.767859
209;781.094604;314.696381;29.470139
210;779.572998;317.298828;28.938175
211;778.257263;320.057983;28.764084
212;776.872925;322.911438;28.627228
213;775.378723;325.587372;28.961889
214;773.445496;328.674591;29.307116
215;772.298706;331.260193;28.959959
216;770.95813;333.656433;28.541782
217;769.888306;336.381836;28.528908
218;;;
219;;;
220;;;
221;;;
222;;;
223;;;
224;;;
225;;;
226;758.835754;358.856567;28.057474
227;757.687012;361.486511;28.58882
228;756.208923;363.707672;29.179277
229;754.815918;366.105103;29.349791
230;753.798096;368.156494;28.798866
231;752.889526;370.54837;28.632191
232;751.967712;372.519714;28.546093
233;750.555359;374.713013;28.930277
234;749.489258;376.634674;29.357599
235;748.310303;379.032837;29.496796
236;746.915833;380.882782;29.364719
237;746.159485;383.003601;28.966234
238;745.334351;384.670776;28.777361
239;744.727417;386.602509;28.768017
240;743.635315;388.359192;28.92222
241;742.746338;390.220123;28.667665
242;741.796631;391.879242;28.557955
243;740.81781;393.250366;28.863966
244;740.346802;394.720459;28.759651
245;;;
246;;;
247;;;
248;;;
249;;;
250;736.841003;401.23819;27.940498
251;736.062805;402.342102;28.360344
252;735.647949;403.225586;28.415606
253;735.196411;404.053741;28.258621
254;734.504578;404.761841;28.634825
255;733.611816;405.653717;28.65332
256;732.967346;406.365204;28.7523
257;732.623596;407.043274;28.771696
258;732.519226;407.810852;28.746174
259;732.304565;408.426971;28.626587
260;731.769531;409.012054;28.778786
261;730.976929;409.618988;28.979372
262;730.347534;410.248749;28.950054
263;730.068848;410.761078;28.802103
264;730.065979;411.084625;28.729204
265;729.971375;411.336517;28.589973
266;729.868164;411.559021;28.482012
267;729.820618;411.679779;28.410234
268;729.7547;411.707153;28.405781
269;729.714539;411.681152;28.518431
270;729.68573;411.673187;28.575319
271;729.744019;411.574463;28.551323
272;729.742615;411.458374;28.496046
273;729.736694;411.33725;28.446302
274;729.749817;411.234589;28.478924
275;729.708008;411.117279;28.599869
276;729.747375;410.990845;28.695667
277;729.759583;410.869568;28.662504
278;729.763977;410.669983;28.572721
279;729.806702;410.524231;28.674149
280;729.433655;410.235596;29.033978
281;729.527771;410.193237;28.950712
282;729.701904;410.003601;28.799288
283;729.7948;409.768341;28.699718
284;729.773499;409.435913;28.770819
285;729.708984;409.185028;28.856644
286;729.768433;408.737701;28.855608
287;729.981506;408.180145;28.634964
288;;;
289;;;
290;;;
291;;;
292;;;
293;;;
294;;;
295;;;
296;;;
297;730.542725;399.911957;28.710102
298;730.582397;398.578125;28.95409
299;730.915649;397.404449;29.160496
300;731.044128;396.328003;28.545073
301;731.09021;394.777069;28.09761
302;;;
303;;;
304;;;
305;;;
306;;;
307;731.12738;386.130219;28.268919
308;730.77771;384.615692;28.032696
309;730.324036;382.80896;28.240669
310;;;
311;;;
312;;;
313;730.517395;376.085571;27.022314
