Circle41;;;;;;;;;;;;;;;
Date:;2025/04/22;;;;;;;;;;;;;;
Time:;16:51:28;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;827.464722;-17.577131;26.775175;;;;;;;;;;;;
2;827.462097;-17.547983;26.811056;;;;;;;;;;;;
3;827.471558;-17.455494;26.788706;;;;;;;;;;;;
4;827.474854;-17.433382;26.772066;;;;;;;;;;;;
5;827.476196;-17.440229;26.770287;;;;;;;;;;;;
6;827.452454;-17.414568;26.834604;;;;;;;;;;;;
7;827.434814;-17.533684;26.821028;;;;;;;;;;;;
8;827.470337;-17.473589;26.783737;;;;;;;;;;;;
9;827.457092;-17.410393;26.828970;;;;;;;;;;;;
10;827.463318;-17.430449;26.794128;;;;;;;;;;;;
11;827.451782;-17.414831;26.833273;;;;;;;;;;;;
12;827.422791;-17.414371;26.865137;;;;;;;;;;;;
13;827.432251;-17.408003;26.862785;;;;;;;;;;;;
14;827.441223;-17.407360;26.853519;;;;;;;;;;;;
15;827.443481;-17.408264;26.850075;;;;;;;;;;;;
16;827.663635;-17.271610;26.785275;;;;;;;;;;;;
17;827.510193;-17.379839;26.804726;;;;;;;;;;;;
18;827.431946;-17.417532;26.851126;;;;;;;;;;;;
19;827.567871;-17.368038;26.836987;;;;;;;;;;;;
20;827.624329;-17.357023;26.803692;;;;;;;;;;;;
21;827.599426;-17.306725;26.884130;;;;;;;;;;;;
22;827.613770;-17.217384;26.864208;;;;;;;;;;;;
23;827.699341;-17.112442;26.780455;;;;;;;;;;;;
24;827.767273;-17.102394;26.833719;;;;;;;;;;;;
25;827.844238;-17.033161;26.817350;;;;;;;;;;;;
26;827.929138;-16.936548;26.846968;;;;;;;;;;;;
27;828.089478;-16.678154;26.781487;;;;;;;;;;;;
28;;;;;;;;;;;;;;;
29;;;;828.293945;-16.098856;26.710691;;;;;;;;;
30;;;;828.398743;-15.557994;26.719852;;;;;;;;;
31;;;;828.318787;-14.940837;26.954302;;;;;;;;;
32;;;;828.354126;-14.418594;27.131290;;;;;;;;;
33;;;;828.400940;-14.042062;27.118385;;;;;;;;;
34;;;;828.495789;-13.518798;27.128973;;;;;;;;;
35;;;;828.825806;-13.144900;27.475655;;;;;;;;;
36;;;;828.878540;-12.644428;27.678911;;;;;;;;;
37;;;;828.909607;-11.567527;27.713045;;;;;;;;;
38;;;;828.884338;-10.600461;27.717278;;;;;;;;;
39;;;;828.767090;-9.841451;27.658895;;;;;;;;;
40;;;;828.636658;-9.031109;27.674969;;;;;;;;;
41;;;;828.533386;-8.072730;27.526831;;;;;;;;;
42;;;;828.498657;-6.846278;27.325953;;;;;;;;;
43;;;;828.480591;-5.550591;27.720726;;;;;;;;;
44;;;;828.301758;-4.309374;27.990080;;;;;;;;;
45;;;;828.085938;-2.771770;27.921621;;;;;;;;;
46;;;;827.801392;-1.239527;27.834869;;;;;;;;;
47;;;;827.438843;0.138751;27.644896;;;;;;;;;
48;;;;827.207825;1.937333;27.295536;;;;;;;;;
49;;;;826.769409;3.696982;27.348560;;;;;;;;;
50;;;;826.131653;5.506608;27.839008;;;;;;;;;
51;;;;825.655945;7.388470;27.817247;;;;;;;;;
52;;;;825.154297;9.024692;27.693081;;;;;;;;;
53;;;;824.702820;11.144701;27.639402;;;;;;;;;
54;;;;824.362122;12.847157;27.942932;;;;;;;;;
55;;;;823.969482;14.807788;27.980682;;;;;;;;;
56;;;;823.557617;16.664614;28.000456;;;;;;;;;
57;;;;822.945862;18.601923;27.679138;;;;;;;;;
58;;;;822.179443;20.663824;27.301666;;;;;;;;;
59;;;;821.605408;22.432188;27.610352;;;;;;;;;
60;;;;821.043640;24.482180;28.002552;;;;;;;;;
61;;;;820.358948;26.275789;28.320368;;;;;;;;;
62;;;;819.726624;28.392643;28.135960;;;;;;;;;
63;;;;818.835266;30.267553;27.906696;;;;;;;;;
64;;;;818.225281;32.036438;27.699055;;;;;;;;;
65;;;;817.440979;33.874096;27.601547;;;;;;;;;
66;;;;816.769836;35.398624;27.754259;;;;;;;;;
67;;;;816.188660;37.201504;28.167322;;;;;;;;;
68;;;;815.457581;38.790287;28.370497;;;;;;;;;
69;;;;814.319702;40.260258;28.156048;;;;;;;;;
70;;;;813.347168;42.075695;28.144608;;;;;;;;;
71;;;;812.261475;43.858299;27.611794;;;;;;;;;
72;;;;811.528687;45.297474;27.738400;;;;;;;;;
73;;;;810.438171;47.227222;27.618204;;;;;;;;;
74;;;;809.163452;48.994717;27.597692;;;;;;;;;
75;;;;807.739319;50.617851;27.720015;;;;;;;;;
76;;;;806.724731;52.535942;27.920839;;;;;;;;;
77;;;;805.248413;54.152065;27.434488;;;;;;;;;
78;;;;803.985413;55.916706;27.457666;;;;;;;;;
79;;;;802.695129;57.868053;27.745987;;;;;;;;;
80;;;;800.950012;59.472504;28.282915;;;;;;;;;
81;;;;799.132324;61.485336;27.846319;;;;;;;;;
82;;;;797.918518;63.325775;27.543789;;;;;;;;;
83;;;;796.226379;64.845474;27.501040;;;;;;;;;
84;;;;794.522400;66.741226;27.335217;;;;;;;;;
85;;;;793.222534;68.428375;27.487310;;;;;;;;;
86;;;;791.145935;69.780739;27.928276;;;;;;;;;
87;;;;789.407227;71.403114;27.141066;;;;;;;;;
88;;;;787.765686;73.316246;27.421535;;;;;;;;;
89;;;;785.798523;74.599152;27.064598;;;;;;;;;
90;;;;784.195129;75.723961;27.337383;;;;;;;;;
91;;;;782.391602;77.160332;27.307165;;;;;;;;;
92;;;;780.549988;78.915176;27.109770;;;;;;;;;
93;;;;778.602051;80.259872;27.522417;;;;;;;;;
94;;;;776.728210;81.361290;27.328777;;;;;;;;;
95;;;;774.742920;82.823967;27.151346;;;;;;;;;
96;;;;772.771912;84.544861;26.929853;;;;;;;;;
97;;;;770.719299;86.088142;26.814941;;;;;;;;;
98;;;;768.546936;87.384094;27.301041;;;;;;;;;
99;;;;766.463196;88.915482;27.165022;;;;;;;;;
100;;;;764.492493;90.557243;26.866079;;;;;;;;;
101;;;;762.103088;91.982964;26.633667;;;;;;;;;
102;;;;760.113831;93.207268;27.043497;;;;;;;;;
103;;;;757.852234;94.658745;26.814093;;;;;;;;;
104;;;;755.733215;96.300865;26.589342;;;;;;;;;
105;;;;753.849365;97.660095;26.730427;;;;;;;;;
106;;;;751.268616;98.685371;27.220926;;;;;;;;;
107;;;;749.133484;99.863037;26.814709;;;;;;;;;
108;;;;747.100464;101.217751;26.192030;;;;;;;;;
109;;;;744.972717;102.642250;26.444414;;;;;;;;;
110;;;;742.725464;103.916794;26.279064;;;;;;;;;
111;;;;740.619934;104.677322;26.556810;;;;;;;;;
112;;;;738.345703;105.595612;26.838552;;;;;;;;;
113;;;;736.060608;106.393814;26.875027;;;;;;;;;
114;;;;733.808594;107.412086;26.496861;;;;;;;;;
115;;;;732.051331;108.063148;26.370340;;;;;;;;;
116;;;;729.865845;108.728371;26.194592;;;;;;;;;
117;;;;727.828186;109.242401;26.082199;;;;;;;;;
118;;;;725.944641;109.466660;26.211212;;;;;;;;;
119;;;;723.532715;110.032478;26.184155;;;;;;;;;
120;;;;721.513245;110.109009;25.827343;;;;;;;;;
121;;;;719.449951;110.321083;25.692038;;;;;;;;;
122;;;;717.227966;110.469696;25.671614;;;;;;;;;
123;;;;715.249329;110.540649;25.693144;;;;;;;;;
124;;;;712.996704;110.730614;25.980703;;;;;;;;;
125;;;;711.046021;110.952049;25.925743;;;;;;;;;
126;;;;708.908508;111.133430;25.608131;;;;;;;;;
127;;;;707.085754;111.167709;25.796198;;;;;;;;;
128;;;;704.744324;111.211288;25.116024;;;;;;;;;
129;;;;702.679504;111.301208;25.089230;;;;;;;;;
130;;;;700.370972;111.426674;25.303808;;;;;;;;;
131;;;;698.220215;111.339767;25.335127;;;;;;;;;
132;;;;696.136597;111.335480;25.586493;;;;;;;;;
133;;;;693.846497;111.309448;25.405163;;;;;;;;;
