Circle13;;;
Date:;2025/04/16;;
Time:;10:29:13;;
Type:;test;;
Description:;"";;
Notes:;"";;
TRAJECTORIES;;;
200.000000;Hz;;
;*1;;
Field #;X;Y;Z
1;837.829163;-4.247972;25.522331
2;837.781799;-4.247000;25.484783
3;837.788574;-4.201719;25.462835
4;837.794739;-4.190560;25.458067
5;837.842896;-4.192855;25.450714
6;837.889343;-4.266118;25.537834
7;837.739502;-4.292696;25.433968
8;837.859375;-4.277689;25.532705
9;837.919434;-4.273065;25.524464
10;837.780457;-4.272570;25.494936
11;837.793213;-4.279016;25.460094
12;837.785889;-4.250187;25.477295
13;837.807800;-4.263896;25.484686
14;837.813599;-4.271137;25.484894
15;837.785217;-4.261175;25.459665
16;837.852844;-4.294844;25.551304
17;837.758667;-4.357500;25.548574
18;837.761475;-4.298631;25.421082
19;837.784180;-4.240348;25.458982
20;837.783264;-4.249308;25.458683
21;837.834290;-4.249886;25.467113
22;837.743774;-4.258966;25.466530
23;837.795105;-4.268474;25.484978
24;837.739807;-4.253054;25.497225
25;837.808289;-4.222187;25.471603
26;837.770630;-4.260336;25.485380
27;837.795166;-4.261887;25.562492
28;837.754883;-4.243933;25.480799
29;837.725952;-4.205491;25.471594
30;837.724182;-4.237258;25.491714
31;837.774902;-4.250366;25.490444
32;837.711060;-4.230850;25.496069
33;837.748413;-4.111662;25.551794
34;837.677612;-4.062754;25.571144
35;837.677185;-4.076362;25.602043
36;837.726624;-3.948606;25.545940
37;837.681702;-3.868032;25.517017
38;837.589783;-3.745466;25.686172
39;837.537170;-3.640322;25.547916
40;837.454102;-3.460674;25.588789
41;837.425232;-3.376730;25.522850
42;837.416077;-3.167596;25.554895
43;837.326904;-2.965224;25.595959
44;837.308716;-2.678097;25.542051
45;837.244629;-2.400105;25.556000
46;837.121765;-2.126119;25.464748
47;837.005188;-1.836644;25.443184
48;836.899170;-1.552883;25.473989
49;836.795044;-1.270919;25.478842
50;836.756348;-0.870987;25.408234
51;836.597656;-0.430027;25.351664
52;836.372375;0.006049;25.527679
53;836.227112;0.562698;25.502954
54;835.987305;1.130252;25.471672
55;835.718384;1.902256;25.539349
56;835.409241;2.623537;25.663372
57;835.093994;3.330404;25.677069
58;834.715027;4.212584;25.691774
59;834.181030;5.089046;25.456705
60;833.666016;6.198807;25.648890
61;833.167358;7.148376;25.560642
62;832.717896;8.119001;25.563978
63;832.282959;9.163024;25.441990
64;831.811829;10.323938;25.328829
65;831.210144;11.567408;25.406176
66;830.748596;12.777646;25.659487
67;829.943970;14.187290;25.597107
68;829.239197;15.520823;25.538292
69;828.675659;16.775133;25.350834
70;828.152588;18.085590;25.275566
71;827.433960;19.560055;25.266809
72;826.298645;20.870760;25.691242
73;825.892273;22.539948;25.518965
74;825.128296;24.360161;25.396708
75;824.464844;25.865574;25.304356
76;823.839905;27.626638;25.359695
77;823.038086;29.369198;25.401749
78;822.069153;31.073671;25.758591
79;821.036926;32.952145;25.308750
80;820.365845;34.837204;25.207630
81;819.699890;36.646244;25.133381
82;818.787720;38.626358;25.483677
83;817.979370;40.622494;25.755707
84;816.731567;42.778168;25.183767
85;815.870850;44.808792;25.358864
86;815.036926;46.917477;25.420147
87;814.187988;48.892982;25.487215
88;812.876953;51.180897;25.174107
89;811.770264;53.255009;25.295607
90;810.718445;55.377228;25.238268
91;809.680176;57.431767;25.314762
92;808.292480;59.690498;25.344749
93;806.989624;61.929283;25.380749
94;805.780640;64.001450;25.261425
95;804.337280;66.071304;25.055595
96;802.821899;68.227882;25.328087
97;801.581787;70.613281;25.396202
98;800.431580;72.445915;25.316305
99;798.451050;74.793030;25.091913
100;796.996704;76.781265;25.381327
101;795.337769;78.703300;25.234943
102;793.669067;80.803673;24.779198
103;792.049194;82.596085;24.991381
104;790.264343;84.951508;25.208544
105;788.645569;86.694740;25.157104
106;787.043274;88.380882;25.126455
107;785.036133;90.576248;24.958757
108;783.446228;92.120171;24.958267
109;781.245422;93.758659;25.443056
110;779.491882;95.428772;25.102381
111;777.821228;96.905037;24.992001
112;775.898071;98.410149;24.859201
113;774.259644;100.102470;24.781523
114;772.278992;101.611549;24.795851
115;770.187012;102.743332;24.650412
116;768.443359;103.982826;24.839508
117;766.508850;105.334114;24.764080
118;764.706482;106.593689;24.622385
119;762.748962;107.804535;24.575651
120;760.468750;108.618553;24.433167
121;758.680542;109.592972;24.827921
122;756.722534;110.445442;24.639687
123;754.630676;111.265068;24.530144
124;752.664185;111.993492;24.275364
125;750.661316;112.966225;24.087887
126;748.607056;113.504982;24.336037
127;746.269348;114.072586;24.099260
128;744.542358;114.769485;24.381269
129;742.330627;115.341232;24.154190
130;740.231934;115.824425;24.242970
131;738.150085;116.233330;24.011997
132;735.989014;116.608704;23.923670
133;733.854065;116.934227;23.887104
134;731.413391;117.298744;23.775856
135;729.291321;117.296944;23.924419
136;726.976257;117.522255;23.664112
137;724.888733;117.580643;23.671167
138;722.588684;117.665047;24.121151
139;720.509155;117.894501;23.809647
140;718.133850;117.996193;23.620356
141;716.016296;118.238426;23.568380
142;713.777893;118.301514;23.381937
143;711.452576;118.297707;23.316092
144;709.017151;118.080498;23.397940
145;706.741028;117.760498;23.125628
146;704.446228;117.452744;23.568060
147;702.223267;117.289063;23.242430
148;700.187988;117.273987;23.103605
149;697.552917;116.967140;22.872812
150;695.414001;116.485352;23.026466
151;692.895020;115.832748;22.965471
152;690.883667;115.516930;22.924887
153;688.499512;115.280212;22.715887
154;686.205322;114.882729;22.592001
155;683.888672;114.049988;22.589954
156;681.698608;113.648094;22.539019
157;679.436035;113.257431;22.448559
158;677.051086;112.730515;22.419634
159;674.810364;111.559227;22.860258
160;672.503479;111.270248;22.483122
161;670.496826;110.560394;22.270971
162;668.131104;109.853577;22.306280
163;665.842285;108.907288;22.126469
164;663.824768;108.420723;22.094227
165;661.432434;107.303543;21.914465
166;659.470886;106.431046;22.039045
167;657.020081;105.842926;21.679350
168;655.125244;104.631622;21.871346
169;653.016907;103.634438;21.851728
170;650.912598;103.019295;21.771669
171;648.758057;101.595230;21.751173
172;646.791687;100.879791;21.615765
173;644.737183;99.691711;21.730059
174;642.821533;98.474197;21.641048
175;640.976440;97.552032;21.521980
176;639.046692;96.184853;21.503668
177;637.013062;95.142754;21.170216
178;635.362244;93.797951;21.305313
179;633.558411;92.167160;21.094267
180;631.781738;91.217781;21.179827
181;630.027710;89.411591;21.237108
182;628.390869;88.235420;20.991175
183;626.586304;86.524025;20.977448
184;625.101990;85.387001;20.724588
185;623.358521;83.685555;20.900646
186;621.869812;82.538971;20.760916
187;620.224731;80.762856;21.009497
188;619.064697;79.347176;20.948765
189;617.484619;77.575172;20.551888
190;615.928467;76.073875;20.455875
191;614.662048;74.241318;20.436865
192;613.428345;72.732018;20.784153
193;611.882874;71.106964;20.613153
194;610.553955;69.622765;20.338743
195;609.331177;67.844215;20.362034
196;608.383911;66.072296;20.507866
197;607.031860;64.245667;20.533501
198;605.884399;62.579906;20.116920
199;604.721741;60.588039;20.156147
200;603.853271;58.988064;20.154711
201;602.771667;56.968849;20.279625
202;601.854187;55.394382;20.140310
203;600.841248;53.230919;20.093931
204;599.841675;51.517830;19.918322
205;598.894409;49.451385;19.980639
206;598.217651;47.634315;19.996803
207;597.557495;45.521423;20.063169
208;597.003418;43.630024;19.897331
209;596.367188;41.299728;19.861864
210;595.671753;39.348492;19.820744
211;595.164368;37.450832;19.719278
212;594.573364;35.114006;19.833694
213;594.271423;33.305840;19.783804
214;593.762024;30.790220;19.732634
215;593.347778;28.728369;19.409595
216;593.157837;26.651054;19.515211
217;592.857239;24.435289;19.521719
218;592.478638;22.237064;19.414526
219;592.353638;19.768309;19.488464
220;592.266785;17.842524;19.455212
221;591.855774;15.328946;19.547756
222;591.850403;13.214202;19.586491
223;592.011841;10.856831;19.455553
224;591.770813;8.692740;19.538235
225;591.882874;6.553047;19.475451
226;591.940674;4.099353;19.583576
227;592.198303;2.022150;19.483549
228;592.243164;-0.471141;19.376394
229;592.468872;-2.558844;19.422691
230;592.599243;-4.850371;19.414587
231;592.823730;-7.021856;19.130978
232;593.136963;-9.276368;19.040512
233;593.441833;-11.735091;19.347088
234;593.877808;-13.832402;19.485769
235;594.349243;-16.270805;19.281420
236;594.987000;-18.155190;19.304995
237;595.130981;-20.229439;19.653910
238;595.474243;-22.612478;18.980745
239;596.079834;-24.937330;18.826157
240;596.489258;-26.841381;18.554747
241;597.121948;-29.071953;18.916567
242;598.084106;-31.141340;18.734745
243;598.688477;-33.443108;18.440647
244;599.346802;-35.242256;18.427050
245;600.078003;-37.458878;18.707870
246;601.258545;-39.656513;18.821541
247;602.018738;-41.820427;18.626743
248;602.616577;-43.752583;18.565365
249;603.347595;-45.504826;18.717958
250;604.933411;-47.783447;18.736099
251;606.020935;-49.863548;18.602335
252;606.760437;-51.792522;18.588417
253;607.725281;-53.603275;18.770180
254;609.075439;-55.767982;18.876289
255;610.342346;-57.843964;18.456871
256;611.852905;-59.834473;18.503138
257;613.076904;-61.745625;18.884069
258;614.535706;-63.712334;18.842325
259;615.713074;-65.563034;18.743019
260;617.225952;-67.383476;19.107859
261;618.700500;-69.116280;19.242214
262;619.854187;-70.911209;19.101299
263;621.369019;-72.638985;19.404613
264;622.596191;-74.300278;19.551374
265;623.967468;-75.894241;19.393854
266;625.573242;-77.482620;19.470673
267;626.794006;-79.225662;19.390608
268;628.007568;-80.636169;19.533405
269;629.796448;-82.206177;19.447411
270;631.437378;-83.765114;19.186924
271;632.913574;-85.221268;19.191887
272;634.497009;-86.536736;19.451111
273;636.051880;-87.942368;19.581352
274;637.747559;-89.364746;19.593670
275;639.398010;-90.906235;19.680408
276;641.154175;-92.314186;19.519777
277;642.786804;-93.533859;19.581520
278;644.513794;-94.760490;19.821918
279;646.212280;-96.052742;19.545118
280;647.981750;-97.174866;19.573669
281;649.637634;-98.527580;19.664164
282;651.450195;-99.627815;19.727205
283;653.429688;-100.653175;19.802444
284;655.175049;-101.703262;19.648098
285;657.250183;-102.912193;19.753189
286;658.891479;-104.113129;19.882280
287;660.632324;-104.991051;19.852911
288;662.875854;-105.901939;20.122101
289;664.783752;-106.791397;20.081333
290;666.954529;-107.837082;19.934633
291;668.813477;-108.845978;19.808516
292;670.933105;-109.716454;19.918694
293;672.826172;-110.525391;20.008347
294;674.777100;-111.347809;20.132236
295;676.976929;-112.302971;20.074907
296;678.982849;-112.976555;20.261356
297;681.025635;-113.955109;20.498056
298;683.062195;-114.449554;20.434643
299;685.175415;-115.063614;20.578299
300;687.239807;-115.778877;20.491749
301;689.398499;-116.547188;20.399963
302;691.555420;-117.133591;20.442629
303;693.592651;-117.663490;20.420519
304;695.797363;-118.232353;20.741119
305;697.753662;-118.558502;20.645618
306;699.885315;-119.090744;20.800251
307;702.024902;-119.403130;20.812510
308;704.256042;-119.677147;20.845615
309;706.359070;-120.042961;20.966274
310;708.894836;-120.357071;21.157242
311;710.801086;-120.525345;21.059793
312;712.933594;-120.830894;21.034832
313;715.247559;-120.868294;21.227209
314;717.222046;-121.299835;21.275738
315;719.560181;-121.389160;21.276579
316;721.772217;-121.447433;21.402773
317;724.183716;-121.431625;21.511333
318;726.457764;-121.583778;21.675661
319;728.869690;-121.266914;21.885117
320;730.911438;-121.032799;21.507446
321;733.108948;-121.121552;21.531391
322;735.339233;-121.034454;21.683968
323;737.286621;-120.812492;21.844751
324;739.704041;-120.658295;21.811663
325;741.640320;-120.217506;21.853937
326;743.815308;-120.007607;21.838884
327;745.728821;-119.670959;21.922510
328;747.681458;-119.372955;22.078449
329;749.916870;-118.723343;22.121407
330;751.657104;-118.143234;22.084770
331;753.629761;-117.851265;22.037302
332;755.383301;-117.415932;22.364626
333;757.357483;-116.551285;22.280634
334;759.206787;-115.931213;22.278425
335;760.976624;-115.369804;22.196405
336;762.874939;-114.635330;22.250786
337;764.888245;-113.810852;22.595440
338;766.584351;-112.951439;22.614220
339;767.941956;-112.122597;22.557203
340;770.127258;-111.174538;22.627975
341;771.814270;-110.302780;22.776314
342;773.210205;-109.510628;22.627087
343;774.729187;-108.196999;22.692190
344;776.349365;-107.363678;22.711348
345;777.988647;-106.291725;22.783615
346;779.396301;-105.111725;22.936495
347;780.825195;-104.008141;22.994070
348;782.313843;-102.758446;23.105062
349;783.593994;-101.345718;23.295456
350;784.874817;-100.371750;23.288067
351;786.352051;-99.056740;23.132885
352;787.968201;-97.934738;22.955751
353;788.986694;-96.906631;23.170269
354;790.458618;-95.271088;23.253044
355;791.555420;-93.957527;23.323219
356;792.749573;-92.477402;23.390137
357;794.224365;-90.911598;23.513889
358;795.151611;-89.770470;23.516043
359;796.388062;-88.430305;23.451181
360;797.316528;-87.472824;23.408159
361;798.500244;-85.636955;23.641855
362;799.918701;-83.874916;23.903471
363;800.753845;-82.707161;23.725153
364;801.695801;-81.216576;23.409060
365;802.534729;-79.777184;23.718699
366;803.479004;-78.214249;23.906862
367;804.499573;-76.776741;23.888489
368;805.258911;-75.321625;23.941111
369;806.346924;-73.500404;23.894278
370;807.150024;-71.970894;23.915142
371;807.980469;-70.573624;23.740322
372;808.825867;-69.051796;24.176517
373;809.612854;-67.342926;24.249207
374;810.473938;-65.903000;24.321861
375;811.234131;-64.559402;24.006966
376;812.317871;-62.724205;24.134514
377;813.031067;-61.267731;24.277777
378;813.847717;-59.714050;24.323185
379;814.469910;-58.187950;24.264120
380;814.903137;-56.816723;24.298450
381;815.697021;-55.250416;24.302244
382;816.238953;-53.832928;24.127207
383;816.898804;-52.268940;23.935698
384;817.653320;-50.819996;24.012264
385;818.050842;-49.111660;24.145609
386;818.460876;-47.412697;24.203850
387;818.878845;-46.090919;24.063276
388;819.471008;-44.820724;23.895546
389;819.994080;-43.288948;23.848137
390;820.096497;-41.829346;23.918514
391;820.717773;-40.409748;24.258709
392;821.383911;-38.978611;24.370586
393;821.851257;-37.844563;24.263582
394;822.207520;-36.598473;24.178755
395;822.725708;-35.384022;24.004150
396;823.184692;-34.079407;24.064789
397;823.507813;-32.585617;24.414356
398;823.784241;-31.348976;24.445219
