Trial33;;;;;;;;;;;;;;;;;;
Date:;2025/04/01;;;;;;;;;;;;;;;;;
Time:;14:13:17;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;316.552307;574.944458;105.803680;88.026848;887.002014;458.467041;91.184875;821.944580;220.567551;277.220520;691.409485;105.980606;373.631744;648.222351;101.408813;;;
2;316.679565;575.149353;105.963936;87.838966;886.791321;458.491821;90.653610;822.138916;220.102295;277.169891;691.411377;106.207863;373.722961;648.134766;101.671844;;;
3;316.600006;575.036011;105.999489;87.743790;886.569336;458.347900;89.958954;822.353333;219.908432;277.215820;691.400940;106.490234;373.666626;648.034729;101.855614;;;
4;316.495331;574.804077;106.083870;87.690651;886.335693;458.285248;89.048409;822.590942;220.148331;277.113983;691.324829;106.766174;373.610626;647.883301;102.142097;;;
5;316.307556;574.449829;106.322807;87.588158;886.057251;458.162018;88.238678;822.863464;220.400757;276.960571;691.139832;107.124420;373.429504;647.599976;102.537193;;;
6;315.956970;574.121521;106.416801;87.484184;885.660095;458.017090;87.593132;822.930359;220.712418;276.788330;690.886719;107.695930;372.971710;647.243713;103.502205;;;
7;315.648102;573.554504;106.418243;87.361160;885.085754;457.933136;87.085648;823.109131;220.666092;276.294556;690.638733;108.282822;372.716675;646.641052;104.428711;;;
8;315.099213;572.912598;106.149010;87.293961;884.650696;457.853455;;;;275.933472;690.156555;109.334259;372.219299;645.853149;105.554222;;;
9;314.637329;572.110840;105.772606;87.229431;883.959290;457.669678;;;;275.618073;689.467834;110.102821;371.526337;644.994141;106.575172;86.071144;823.396301;220.181503
10;313.963837;571.413696;106.300186;87.210518;883.005737;457.671051;;;;275.288116;688.659241;110.819145;370.979950;643.944336;107.806320;85.321198;823.482605;220.524445
11;313.261719;570.593201;106.971718;87.174355;882.119873;457.733612;;;;274.584045;687.856018;111.879288;370.701050;642.693176;108.805672;84.680077;823.385376;220.810410
12;311.909973;569.344849;107.542671;87.121773;881.188416;457.900909;;;;273.661377;687.118408;113.176491;369.541534;641.510742;111.029999;84.377838;823.312744;221.031067
13;310.559143;568.076538;108.458389;87.077560;880.004211;457.992737;;;;273.025269;685.969238;114.388405;368.386047;639.823608;113.461647;84.034073;823.265747;221.359238
14;309.325439;566.965576;109.481918;86.938637;878.904724;458.337402;;;;272.334656;684.856934;115.475098;367.214203;638.279053;115.411522;83.805954;823.045715;221.523666
15;307.912872;565.286072;111.102859;86.941238;877.576843;458.419708;;;;271.379639;683.525513;117.027496;366.002075;636.390442;117.553955;83.344765;822.625183;221.852341
16;306.537567;563.474365;112.602821;87.146271;876.313049;458.293701;;;;270.546692;681.958496;118.355492;365.223297;634.438660;119.980011;82.873337;822.044006;222.229950
17;305.177673;561.797302;114.393440;87.337692;874.827209;457.918579;;;;270.132874;680.498962;119.577316;364.308807;632.163757;122.497253;82.527977;821.326782;222.376984
18;303.910980;559.555542;116.737030;87.451508;873.443726;458.047241;;;;269.335663;678.411560;121.432022;363.287201;629.490601;124.783607;82.185822;820.643494;222.484497
19;302.446106;557.436584;119.181931;87.584740;871.847473;458.196503;;;;268.751801;676.580078;123.108330;361.900452;627.096924;127.581764;81.885338;819.890320;222.703903
20;300.885132;554.760742;121.880722;87.510025;870.408264;458.563751;;;;267.925842;674.034851;125.138466;360.824158;624.374023;130.534180;81.645752;818.710327;222.961258
21;300.022064;552.204468;124.298737;87.505394;868.707581;458.739899;;;;267.378998;671.702759;126.894073;360.118622;621.275208;132.679901;81.521606;817.657104;223.372818
22;298.861603;549.382568;126.440926;87.817337;867.375244;458.566589;;;;266.791290;668.809143;128.575943;359.491638;618.021240;134.861404;81.255600;816.327698;223.849472
23;297.466309;546.099060;129.139206;88.044861;865.827759;458.348969;;;;266.444092;665.961182;130.457031;358.332916;614.670776;137.242859;81.034462;814.755981;224.376099
24;296.355377;542.867371;132.130981;88.212669;864.376587;458.340607;;;;265.847870;662.879272;132.769119;357.853668;611.222900;140.638382;80.888382;812.987122;224.863968
25;295.435883;539.464783;134.945496;88.302292;862.876831;458.400940;;;;265.010468;659.338135;135.377075;357.457092;607.370300;143.613449;80.693512;811.177246;225.382156
26;294.392639;535.782043;137.932297;88.522629;861.307617;458.283081;;;;264.584412;655.777893;137.182465;355.804901;603.266418;145.921295;81.116493;809.307983;225.401871
27;293.274017;531.788147;140.957245;88.674232;859.827515;458.642487;;;;264.260193;652.096497;139.115479;355.382050;599.094177;148.546326;81.146347;807.167236;225.590088
28;292.214661;527.492554;143.862961;88.973228;858.273499;458.410248;;;;263.926666;648.168396;141.086273;354.491577;595.005981;151.732834;81.412102;804.853821;225.807144
29;291.322235;523.442139;146.908585;89.255608;856.963684;458.526886;;;;263.267029;644.141785;143.666870;353.937256;590.559387;154.465408;81.555206;802.310852;226.795380
30;290.613708;519.108398;149.724991;89.575203;855.410156;458.570648;;;;262.593750;639.677368;146.218918;353.330322;585.956116;157.298172;81.735580;799.649109;227.433807
31;289.894440;514.605530;152.657364;89.972443;854.144165;458.449036;;;;262.385834;635.284668;148.043610;352.539551;581.351746;160.783539;81.903336;796.911072;227.854706
32;288.990021;509.867249;155.488113;90.340050;852.516479;458.334747;;;;262.048126;630.536438;150.247467;352.283325;576.326965;163.522018;81.912552;793.848328;228.782974
33;288.020782;505.016541;158.432846;90.722351;851.093872;458.118988;;;;261.487122;625.890503;152.725357;351.388489;571.368103;165.647385;82.578438;790.819702;229.387543
34;287.262146;500.073761;160.932602;91.242699;849.446899;457.943451;;;;261.061981;621.002869;155.010025;351.032776;566.179626;169.010513;83.097397;787.665222;229.863510
35;286.592377;495.152679;163.626343;91.585968;847.890015;457.878784;;;;260.892334;616.038696;157.061996;350.147644;561.259521;171.990356;83.413383;784.305969;230.419464
36;285.902191;489.835175;166.421295;91.898277;846.378113;457.741669;;;;260.662018;610.871460;158.923752;349.563843;555.908264;174.708679;83.917145;780.769531;231.170685
37;285.079407;484.687408;168.731262;92.258553;844.586975;457.676300;;;;260.376648;605.709534;161.100311;348.962341;550.379211;177.128769;84.593758;777.260620;231.488785
