Grasp124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:06:09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;894.219727;904.822266;446.671204;838.326538;460.671021;92.352844;907.847717;570.775452;145.960815;858.170593;847.021912;241.022293;916.728699;504.135620;64.791290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;894.420471;906.114075;446.596436;839.383728;461.472229;96.771858;908.608398;572.317566;149.860229;858.266052;849.836670;241.336853;918.121094;504.214355;69.973923;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;894.417847;906.996582;446.900726;840.136353;462.471527;101.369949;908.933838;573.915771;154.243835;858.541321;852.281311;241.137650;918.018005;504.923462;74.833946;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;894.287720;907.998779;447.282837;841.105652;463.686340;106.087463;909.188110;575.490662;158.685577;859.072815;854.384399;240.904221;917.859009;505.861786;79.712852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;894.389526;909.054199;447.492676;841.736023;464.866180;110.595039;909.748230;577.416870;163.156677;858.137573;857.038635;241.667175;918.032349;506.692169;84.843437;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;894.532043;910.178833;447.387512;842.125244;466.394745;115.020554;909.962708;578.939331;167.395447;857.555725;859.626526;242.889709;919.167419;507.031738;90.673088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;894.505981;911.530029;447.474579;842.587341;467.725677;119.476456;909.779480;580.467590;171.344574;857.520569;861.656067;243.253296;920.356262;507.417358;96.342583;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;894.468628;912.714417;447.646240;843.407959;468.916382;123.711952;909.574524;582.683533;175.361893;857.903931;864.116699;243.194519;920.740662;508.619904;101.331566;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;894.606323;913.575867;448.122589;843.761597;470.572327;128.081161;909.811096;584.133301;179.739059;857.714539;866.902161;243.364426;920.350037;510.228973;105.354370;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;894.841125;914.889099;448.712463;844.016663;472.263367;132.539856;909.697998;586.297974;183.203491;857.434326;869.311523;244.312836;919.438171;511.486237;109.196434;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;895.306702;916.104065;448.803833;843.889282;474.086273;136.601471;909.444397;588.042542;187.208496;857.251892;871.614136;244.689362;918.593506;513.105042;112.903046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;895.502136;917.088318;448.944672;844.048828;475.893219;139.916901;909.194641;590.302002;190.174057;857.253296;874.217041;244.802979;918.358887;515.438354;116.426453;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;895.412842;918.231079;449.177765;843.761292;477.654205;143.347260;909.095825;592.181213;193.601013;857.418945;876.532715;245.345688;918.931702;516.491455;121.076637;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;895.654236;919.392029;448.995575;843.440735;479.733398;147.115143;908.581482;594.321228;196.799454;857.220825;879.057129;246.189163;917.764709;518.486328;124.557678;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;895.587646;920.366638;449.634308;843.188721;481.526337;150.218948;908.143066;596.341797;199.911972;856.934753;881.556274;246.777496;917.141724;520.577087;127.449432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;895.477966;921.580505;450.586639;842.344482;483.794769;153.488174;907.566040;598.517212;202.891434;856.652222;883.646912;247.435287;917.249451;522.001465;130.506577;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;895.621094;922.767578;450.931000;841.939819;485.840179;155.844620;906.772461;600.354858;205.409286;856.413574;886.134766;248.303711;916.251648;523.586426;133.704422;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;896.067322;923.756775;450.994385;840.923035;488.158691;158.083664;906.271790;602.716125;207.650909;856.389893;888.685364;248.831085;914.828857;526.086365;135.902649;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;896.650330;924.796448;450.878693;839.915161;490.475006;160.451111;905.215576;604.714417;210.777893;856.763306;890.855408;249.110168;914.855774;527.640747;139.142548;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;896.804138;925.909302;451.205566;839.039673;492.660614;162.062439;903.994141;606.587646;212.959747;856.410950;893.358093;249.660309;912.873779;530.207825;141.116760;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;896.601501;926.926147;451.766754;838.031006;495.021698;164.213547;903.119751;608.832458;214.967438;856.037598;895.899353;250.076324;912.535217;531.937683;143.341339;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;896.325562;927.882019;452.347778;836.918213;497.322815;165.301788;902.026184;610.882141;217.085251;856.355591;897.950378;250.255142;910.451050;534.794128;144.839417;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;896.239929;929.083008;453.066284;835.506348;500.054138;167.053406;900.750488;612.779663;219.376007;856.553772;900.523132;251.321640;910.066406;536.220337;146.844666;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;896.747253;930.036743;453.553986;834.035461;502.274170;167.854950;899.544128;614.696411;221.154816;856.296143;902.813782;251.844894;908.119629;539.208069;148.502838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;897.205383;930.992493;453.660400;832.418091;505.082458;168.766418;898.033997;616.524109;222.738586;855.653870;904.885742;252.486801;906.953857;540.683960;150.198090;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;897.706116;932.094299;453.606689;830.706665;507.408417;169.699310;896.735718;618.683899;224.446243;855.625305;907.212219;253.505890;905.564575;543.348999;151.558533;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;897.943420;933.039246;453.656250;829.418030;509.920197;169.913513;895.010864;620.681335;225.839966;855.267639;909.398071;254.436157;903.395630;546.156799;152.006287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;897.974792;933.819153;453.814606;827.194763;512.727905;170.380127;893.771179;622.755737;227.162582;855.302795;911.474426;254.804398;901.905579;548.528748;152.791367;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;898.044373;934.897461;454.461456;825.545593;515.034485;170.712860;891.912720;624.604858;228.333389;855.012878;913.924377;255.271057;899.751953;551.121704;153.100906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;897.835876;936.039001;455.125183;823.665344;517.910583;171.124222;890.510864;626.618774;229.208847;854.922119;916.100220;256.099701;899.096130;552.530029;155.026810;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;897.659424;936.962524;455.646851;821.451294;520.495850;171.252838;888.665222;628.683350;230.328720;854.691650;918.299622;256.684082;897.806213;555.185974;155.635513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;898.012329;937.922180;455.878937;819.744324;522.756592;170.844711;887.285339;630.451782;230.977203;854.592896;920.297180;256.890442;895.465820;557.261780;155.491074;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;898.528320;938.968262;455.959778;817.416504;525.719116;170.754517;885.124329;632.402100;231.912323;854.217529;922.472229;256.953857;894.133545;559.821960;156.061310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;898.768738;939.961060;456.195587;815.266663;528.144775;170.795578;883.678955;634.185669;232.096069;854.289673;924.872375;257.699646;891.991394;563.311157;155.504745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;898.811157;940.898682;456.562469;813.378723;530.502930;169.956467;882.079163;636.309998;232.259033;854.108215;927.044312;258.164490;890.697449;564.873840;155.968674;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;898.599487;941.854248;457.027191;811.453308;533.348267;169.419022;880.467896;638.310669;232.906387;854.237915;928.923157;258.472717;889.203857;567.352051;155.915802;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;898.652710;942.859497;457.580719;809.465637;535.776794;168.933624;879.068298;639.889587;233.159882;853.854309;930.662354;258.871277;886.623535;570.268372;154.398636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;898.726013;943.675537;458.045898;807.321350;538.105530;168.352783;877.744507;641.609985;233.076462;852.790588;932.812500;259.962769;885.172363;572.446777;154.225113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;899.059448;944.417603;458.375977;805.366760;540.684448;167.616211;875.922729;643.370605;233.218018;852.441956;934.598877;260.967224;882.910767;575.640686;153.194229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;899.334351;945.483887;458.503662;803.650879;542.837402;166.752640;874.304810;644.978821;233.051590;852.713562;936.182556;261.422607;880.750854;578.378235;152.463364;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
