Grasp119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;16:09:19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;804.869873;821.052979;33.879639;943.298645;829.846252;66.112976;1102.540527;905.101807;268.102631;1166.128296;876.297485;448.278839;874.638672;763.435242;32.509777;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;804.815735;821.062500;33.914581;943.228455;829.766907;66.072227;1102.444580;905.130371;268.133514;1166.125488;876.292847;448.295471;874.638672;763.435242;32.509777;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;804.826660;821.045166;33.915920;943.262817;829.746399;66.118637;1102.726807;905.053467;268.073334;1166.007935;876.257935;448.283875;874.638672;763.435242;32.509777;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;804.875427;820.944092;33.949478;943.276794;829.793823;66.226891;1102.629761;905.098816;268.108582;1165.947632;876.181396;448.387695;874.638672;763.435242;32.509777;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;804.881470;820.937927;33.877380;943.255859;829.718445;66.260941;1102.604370;905.096924;268.148193;1165.950562;876.174316;448.405365;874.638672;763.435242;32.509777;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;804.876465;820.837708;34.196991;943.247009;829.692383;66.262505;1102.583374;905.182007;268.177765;1165.821655;876.185730;448.302979;874.638672;763.435242;32.509777;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;804.784363;820.896179;34.062031;943.242065;829.705627;66.294411;1102.524414;905.221558;268.196014;1165.770264;876.174438;448.334869;874.637024;763.346191;32.522945;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;804.795105;820.848145;34.257526;943.230347;829.697449;66.333618;1102.480225;905.313416;268.230438;1165.618896;876.197937;448.318481;874.616394;763.413635;32.566502;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;804.851013;820.816284;34.350662;943.186462;829.704407;66.360168;1102.484009;905.429321;268.287170;1165.529907;876.126831;448.370300;874.564087;763.341125;32.611149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
