Grasp123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;17:42:53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;937.697632;521.179871;76.495804;891.600037;438.435516;33.137043;809.748413;481.744751;37.852383;1090.588867;741.843872;458.070648;1033.498657;707.605591;250.580505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;938.016602;522.366638;78.031944;891.770447;439.265411;35.112343;809.649841;483.427216;40.581364;1091.186035;742.208435;458.160828;1035.479736;709.172302;250.414093;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;938.286804;523.920227;79.294868;891.842163;440.223480;37.042912;809.836731;484.565796;43.169014;1092.106445;742.523560;458.474182;1036.984985;710.465881;250.574356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;938.603760;525.605164;80.965057;891.869019;441.372986;39.735931;810.173584;486.092072;45.586926;1093.732056;743.030762;458.572418;1038.631348;711.598694;250.526154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;939.214905;527.510803;81.997833;892.066895;442.498810;42.230534;810.650757;487.998962;47.928036;1095.598633;743.626709;458.712708;1040.324463;713.211243;250.514221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;939.743225;529.137512;84.687599;892.215332;443.990234;45.303734;811.387268;489.719788;50.839233;1096.865845;744.230530;458.563263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;940.124634;530.835205;86.551735;892.210815;445.402893;48.309864;811.803406;491.853210;53.410542;1098.027100;744.860596;458.832489;;;;1043.968628;716.505188;251.376129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;941.001587;532.774048;88.718987;892.448486;446.974182;51.754551;812.632385;494.227142;55.606377;1099.788452;745.534729;459.071686;;;;1046.692017;718.189636;250.986084;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;941.711670;535.066406;90.428200;892.703369;448.529480;55.381504;813.234009;496.805817;58.745094;1101.733521;745.986389;459.251404;;;;1049.035522;719.775635;250.982788;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;942.646973;537.002319;92.943962;892.702209;450.377350;58.853848;813.672791;499.947174;61.707565;1103.055786;746.998718;459.252045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;943.681213;539.153259;94.798744;892.912354;452.159271;62.798176;814.208252;503.456635;64.419655;1104.910889;747.649841;459.892822;;;;;;;1053.811768;723.534912;251.900986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;945.062195;541.421692;97.101631;893.327637;454.177521;66.208725;815.306213;506.877167;67.394691;1107.191162;748.456116;459.947235;;;;;;;1055.975708;725.182190;252.117615;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;946.315186;543.719666;98.994255;893.874878;456.269073;69.254875;816.497864;510.603088;70.107040;1109.132324;749.050354;460.301758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;947.892456;546.203674;101.293602;894.598999;458.722504;72.767082;817.500671;514.280457;72.788300;1111.286377;749.907715;461.273743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;949.651672;548.404968;103.408005;895.072021;461.305389;76.325294;818.424805;518.376709;75.519012;1112.997314;750.916321;461.265869;;;;;;;;;;1063.937256;731.264771;253.869370;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;951.110413;551.016235;105.550888;895.803467;463.929382;79.926399;819.470947;522.432190;78.732826;1115.309937;751.669617;461.781799;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;952.669800;553.271484;107.653763;896.619019;466.611145;83.025017;820.801086;526.518799;81.502373;1117.131592;752.425049;462.536224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;954.677002;555.992493;109.706512;897.429932;469.413269;86.147575;822.521301;530.695618;84.550194;1119.206421;753.393677;463.267181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;956.321777;558.546143;111.653786;898.676697;472.274811;89.258858;824.065430;534.855347;86.924210;1121.638794;754.366516;463.685516;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;958.136719;561.592834;113.669563;899.589355;475.136353;91.774063;825.798218;539.036499;89.429451;1123.380615;755.110718;464.240082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;960.077332;564.454102;115.182755;900.816895;478.407806;94.129326;827.826172;543.121155;92.458305;1125.504028;756.015198;465.229279;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;962.026733;567.246216;117.498909;901.561707;481.757996;97.031303;829.598511;547.232239;95.272575;1127.937378;757.103699;465.600098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;964.146912;570.272766;119.062981;902.812561;485.060669;99.660492;830.908020;551.634949;98.074318;1130.481812;757.782410;466.388184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;965.875977;573.325928;120.600761;904.136475;488.493469;101.561630;832.683533;555.790100;99.993759;1132.380005;758.600647;467.099274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;967.939697;576.688232;122.200333;905.402039;492.055908;103.704758;834.756287;560.405579;102.525078;1134.748291;759.572327;467.864105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;969.441406;579.896179;123.689438;906.401489;495.345490;105.423874;836.201599;565.366882;104.532661;1137.144165;760.447266;468.180786;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;971.297302;583.124756;124.895790;907.584167;498.976837;107.184814;837.826477;570.054077;106.269875;1139.358521;761.047546;469.465515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;973.179932;586.622986;126.362091;908.567200;502.907501;108.858849;839.950867;575.190247;108.069107;1141.918457;761.822083;469.843353;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;974.624756;589.764038;127.286865;909.663757;506.693604;110.184753;841.891602;580.522827;109.418495;1144.199219;762.603821;470.521423;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;976.431946;593.271790;128.386444;910.721191;510.453674;111.344711;842.833191;585.729065;110.033524;1146.055054;763.353210;471.215576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;978.096619;596.866516;129.464767;911.561157;514.558655;112.729507;844.191528;591.392395;111.217072;1148.561523;763.799561;472.363342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;979.348877;600.280701;130.103561;912.453857;518.689026;113.146370;845.744141;596.806274;112.894821;1150.669556;764.556152;472.776367;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;980.873535;603.998230;130.933868;913.227783;522.813354;114.336784;847.336182;602.389709;113.186333;1152.749268;765.327271;473.549133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;982.277222;607.460449;131.202667;913.637268;526.577454;115.096054;848.046082;607.987000;113.378754;1154.552124;765.806335;474.286438;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;983.838501;611.166199;131.586639;913.968384;530.657288;116.134987;849.661926;613.925842;113.567764;1156.301025;766.293518;475.194336;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;984.540100;614.763062;132.148651;914.620300;534.648010;116.236015;851.199280;619.268921;113.329353;1157.790039;766.801819;475.733704;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;985.226379;618.468018;132.064819;915.230957;538.718506;116.967667;852.035339;625.129089;113.189194;1159.845093;767.357117;476.220215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;985.820618;622.230835;132.418854;915.138794;542.909119;116.852455;853.027954;630.445801;112.968262;1161.630737;767.914185;477.049866;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;987.042358;626.023743;132.118973;915.386169;547.104980;117.022797;853.546753;636.269470;113.505524;1162.337402;768.395447;477.511078;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;987.619446;629.520203;131.938980;915.600403;551.170471;117.403259;854.494446;641.461731;113.605263;1163.494873;768.728638;478.346832;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;987.941406;633.373779;131.937546;915.496155;555.271667;117.554298;855.231812;647.343079;113.613457;1164.904297;769.131287;478.775238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;988.219055;637.041504;131.961105;915.727539;559.112061;117.329277;;;;1166.000732;769.581970;478.995087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
