Grasp125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/05/06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:07:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;818.327393;448.763367;100.775993;935.756775;523.422363;114.428329;901.664978;430.138580;89.179092;1047.161621;751.216064;219.707687;1101.412842;767.090027;404.365784;;;;;;;;;;;;;;;;;;
2;818.931641;449.334259;107.713409;935.697205;524.410217;119.063713;901.870850;430.860962;95.024269;;;;1102.506714;768.729248;404.496155;;;;;;;;;;;;;;;;;;
3;819.200378;449.595093;115.175667;935.850830;525.421875;123.700058;902.128540;431.689209;100.725876;;;;1103.888184;769.847229;404.947052;;;;;;;;;;;;;;;;;;
4;819.528015;450.269226;122.467712;936.147522;526.856506;128.418533;902.202637;432.607269;105.990524;;;;1105.093018;771.159851;405.744049;;;;;;;;;;;;;;;;;;
5;819.868774;451.413788;129.273880;936.053833;528.522827;132.547333;901.883850;433.616486;110.978577;;;;1106.444946;772.525452;406.229156;;;;;;;;;;;;;;;;;;
6;820.064331;452.918182;135.892258;936.091980;530.034790;137.185730;901.524231;434.968292;116.505669;;;;1107.882568;773.502563;406.705505;;;;;;;;;;;;;;;;;;
7;820.262268;454.302521;142.186020;936.356812;532.120300;141.395218;900.531189;436.265472;122.104523;;;;1109.845093;774.793335;407.213379;;;;;;;;;;;;;;;;;;
8;820.301086;456.291656;148.447037;936.472107;533.709900;145.480194;900.321045;437.797852;127.018776;;;;1111.196899;775.948608;407.595886;;;;;;;;;;;;;;;;;;
9;819.957886;458.310516;154.354736;936.195190;535.453613;149.591919;899.605347;439.565796;131.404755;;;;1112.760498;776.824890;408.256287;1055.365356;769.023560;224.105423;;;;;;;;;;;;;;;
10;819.455444;460.704468;160.497513;935.718445;537.198059;153.626297;898.477478;441.627808;135.871353;;;;1114.279541;777.911316;408.932373;1057.009155;770.940247;224.238556;;;;;;;;;;;;;;;
11;818.754883;462.936859;166.198029;935.514893;539.428528;158.420639;897.275146;443.532898;140.063980;;;;1115.773560;779.261414;409.492584;1058.228394;773.296021;224.441833;;;;;;;;;;;;;;;
12;818.128235;465.677765;171.805862;934.686523;541.251648;162.855133;895.834839;445.829895;144.129059;;;;1116.750000;780.490295;410.236145;1059.316650;775.314209;225.061996;;;;;;;;;;;;;;;
13;817.114624;468.670013;176.957489;934.080322;543.565613;166.440369;894.265320;447.913513;147.761734;;;;1117.944458;781.540344;411.459778;1060.278687;777.335388;225.985535;;;;;;;;;;;;;;;
14;815.875305;471.587128;181.552841;933.164307;545.633972;170.568909;892.238220;450.584686;151.725891;;;;1118.659912;782.283142;412.149963;1060.835693;779.206848;226.772217;;;;;;;;;;;;;;;
15;814.711609;474.684814;185.763458;932.608887;547.853943;174.079025;890.250488;453.327911;154.931259;;;;1120.010742;782.899780;412.564362;1061.906494;781.253113;227.562180;;;;;;;;;;;;;;;
16;813.262085;477.940308;189.748550;931.512390;550.625671;177.457504;888.066895;456.222809;157.829437;;;;1121.862671;784.467834;413.016846;1062.857544;783.097595;228.369705;;;;;;;;;;;;;;;
17;811.494629;481.421875;193.125244;930.499023;552.999451;180.948196;885.834900;459.084259;160.967712;;;;1122.917725;785.471619;413.420898;1063.590454;784.895874;229.220718;;;;;;;;;;;;;;;
18;809.914429;485.066437;196.421997;929.604126;555.320251;183.406631;883.179688;462.152191;164.151215;;;;1123.681030;786.173584;413.991302;1064.520264;786.744568;229.782883;;;;;;;;;;;;;;;
