Grasp119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/05/06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:14:58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;903.062927;728.721436;57.073399;962.678162;806.219849;78.631355;1197.828491;859.349609;229.463226;1217.249878;795.455627;394.944946;824.101563;816.355286;67.923500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;902.264404;725.836609;59.960331;962.758057;804.470093;79.708580;1198.074951;859.083435;229.420456;1217.297241;795.501160;394.776154;824.171753;814.474243;70.699165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;903.387573;722.594971;62.309093;962.134583;801.774902;81.466942;1198.081787;858.764954;229.085693;1217.275879;795.652649;394.733551;823.809448;812.614685;73.515320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;903.136963;719.899353;63.982792;961.645874;799.494812;82.706337;1198.157227;858.442688;228.181885;1217.299438;795.926331;394.519806;822.749207;810.511292;76.602852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;902.951294;716.789185;66.369881;961.282166;796.683472;84.141762;1198.543213;858.083679;227.382690;1217.080566;796.266846;393.949615;822.528625;807.854736;79.287621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;903.250977;713.287476;68.113358;960.748779;793.844238;85.540535;1198.749268;857.610291;226.468735;1217.070679;796.495972;393.591858;822.571777;805.317627;81.525887;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;902.716675;709.854736;71.394852;960.227112;791.161682;87.036331;1198.816162;856.836304;225.614761;1217.006470;796.680481;393.169708;821.878052;802.713074;84.540535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;902.326782;706.297363;73.784355;959.330627;787.973938;89.042747;1198.729370;856.164673;224.999420;1216.772461;796.818359;392.609161;820.874451;800.031799;87.141312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;902.037231;702.815308;76.166397;957.934143;785.031372;90.209641;1198.596313;855.544189;224.295822;1216.474854;796.987305;391.863037;820.461304;797.231018;89.035324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;901.725891;699.214172;78.378296;957.752258;781.755005;90.951759;1198.278442;854.737427;223.300674;1216.238892;797.155457;391.153748;819.822632;793.891663;90.747253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;901.459656;695.324768;81.131798;957.113647;778.494629;92.074081;1198.142090;853.844055;222.151932;1216.180420;797.101318;390.583496;819.134460;790.583374;93.655235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;900.474915;691.676086;83.151146;955.632996;775.438843;94.130318;1197.937744;852.697388;220.775818;1216.095093;797.064758;390.012115;817.764099;787.625183;95.974640;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;899.426086;688.210693;85.419472;953.994202;772.255493;95.439957;1197.530273;851.893188;219.423233;1215.829468;797.034546;389.287415;817.154419;784.360840;97.725883;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;899.021851;684.214966;86.930496;953.166382;768.630493;96.866043;1196.696655;850.721130;218.217728;1214.988647;797.115356;388.187378;816.139343;780.902832;100.396362;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;898.311035;680.463989;89.051048;952.691467;764.971680;97.823853;1195.770142;849.503662;216.941254;1214.252930;797.107605;387.349182;814.822815;777.565491;103.305191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;897.105347;676.984070;91.500084;951.730713;761.619751;98.758278;1195.194336;848.512207;215.897919;1213.668945;797.130005;386.865051;813.398560;774.194824;105.498451;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;895.522278;673.301208;93.943985;949.740967;758.345093;100.327293;1193.964355;847.086365;214.569260;1213.479492;796.960205;385.942200;812.263428;770.633606;107.805542;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;894.541504;669.553833;95.390297;947.949768;755.158936;101.518745;1192.806519;845.891174;212.976563;1212.474609;796.887451;384.744934;811.385498;767.210632;110.112602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;892.992249;665.789917;97.241806;946.381775;751.852722;102.714165;1192.247192;844.217407;211.323334;1211.695923;796.774780;383.629089;809.994202;764.280884;112.217155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;891.677979;662.482361;99.038155;944.679138;748.501709;103.688431;1190.838013;842.941772;209.846298;1210.953979;796.670227;382.788422;808.363831;761.523132;114.626816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;889.979126;659.600220;100.596054;942.921814;745.120911;104.803726;1189.791748;841.488770;208.575073;1209.702881;796.668701;381.458557;806.420410;758.677246;116.464417;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;887.899475;657.621948;102.314423;941.013245;742.229492;105.769012;1188.103394;839.537231;206.438004;1208.906982;796.631775;380.458374;804.670166;756.107544;118.548439;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;885.925842;654.281128;104.578941;939.131226;739.160706;106.782829;1186.514526;838.061340;205.199524;1207.671753;796.642822;379.062958;802.998291;753.804993;120.223671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;884.273071;650.185852;105.881187;937.254089;736.082275;107.586662;1184.836670;836.575378;203.481598;1206.523926;796.507019;378.019043;801.190002;750.984680;121.504456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;881.649109;647.098389;108.512161;935.496460;732.930603;108.135811;1183.104248;834.885376;202.261383;1205.375000;796.195374;376.992859;799.473633;748.738342;122.719894;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;879.176086;644.014709;110.243790;933.133484;729.907471;108.956146;1180.638672;832.075928;200.690445;1204.166870;795.950623;375.770569;797.731323;746.687134;123.895660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;876.783325;641.401917;111.482643;930.833069;726.944763;109.730278;1178.909912;830.800537;199.093826;1202.897827;795.720276;374.786316;795.610352;744.309509;125.336586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;874.880798;638.698975;112.882515;928.518066;724.657776;110.156029;1177.064575;828.521179;197.725845;1201.230713;795.354614;373.574493;793.309448;742.506714;125.867889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;872.290222;635.981628;114.149857;926.208191;721.722046;110.300804;1174.898193;827.405762;196.073486;1199.821167;794.969971;372.535400;790.819824;740.341858;126.290390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;869.734192;633.216919;115.693642;923.653076;718.850281;111.119316;1172.435059;825.224304;194.600708;1198.550171;794.835999;371.349487;788.929199;738.503174;127.129189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;866.662842;631.215332;116.808281;921.504639;716.459656;111.667824;1170.388428;823.109741;192.968018;1197.164429;794.647888;370.145386;786.577759;736.236267;127.643547;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;864.207764;628.998108;117.090599;919.328918;714.121826;111.852585;1168.649292;821.431458;191.717697;1195.475708;794.322449;369.215576;784.129395;734.211487;128.051163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;861.667175;626.237976;117.684830;916.617371;711.342712;111.781891;1166.315796;819.501343;190.267441;1193.864502;794.036194;368.211914;782.051453;732.114746;128.436768;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;858.939331;623.762634;118.020935;914.463013;709.053589;111.805489;1163.989746;817.925293;189.416199;1192.535034;793.770386;367.170502;779.682495;729.982239;128.077164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;856.256348;621.611145;118.249817;912.485718;706.823730;111.556229;1161.471069;816.035278;187.864716;1190.268066;793.365662;366.182678;777.562988;728.086731;128.024307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;852.659729;619.653320;118.200188;909.765198;704.419006;111.781174;1159.543701;814.330017;186.394714;1188.797241;793.028870;365.517487;775.008850;725.915588;127.995972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;849.723755;617.609192;117.358528;907.271545;702.230286;111.489037;1157.322388;812.375488;185.398956;1187.174438;792.742432;364.460663;772.316956;724.292175;127.868156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;846.716858;615.503479;116.349419;904.809814;700.074219;111.341385;1154.995239;810.639160;184.271500;1185.391602;792.541565;363.836548;770.184082;722.308105;127.476944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;842.454651;614.511963;115.154320;902.464600;697.924561;111.089241;1152.707886;809.024231;183.330643;1183.420776;792.272766;362.818756;767.691467;720.577332;126.869400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;838.818542;612.668945;113.577103;900.521240;695.635559;110.691986;1150.204102;807.137268;181.642456;1181.561890;791.747070;362.113770;765.591797;718.445923;126.600212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;834.729980;611.724487;111.433640;897.960999;693.633362;110.283691;1148.421753;805.814636;180.651215;1179.777710;791.357117;361.454285;763.672241;716.770874;125.402534;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;830.282227;610.745178;109.680931;895.171814;691.735352;110.089409;1145.565674;804.260437;179.902008;1177.908813;791.174927;360.473236;761.267944;715.094177;124.119606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;825.691223;609.748901;107.733673;892.702332;689.855896;110.070656;1143.268921;802.909363;179.437851;1176.120728;790.628113;359.725922;759.145996;713.440735;122.886017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;822.635437;608.446289;106.004990;890.231506;688.080627;110.081863;1140.880127;801.240906;178.435471;1174.349243;790.212952;358.768738;756.676270;711.683716;121.834084;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;820.181274;606.968079;105.092545;888.337097;685.659729;109.276749;1139.289063;799.355286;177.902176;1172.809082;789.978821;357.973114;754.938538;709.368286;120.845825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;816.675598;605.950439;103.822258;886.456238;684.009277;108.650291;1136.640137;798.283142;176.768539;1170.655518;790.032654;357.409027;752.826782;706.350342;119.552170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;813.216919;605.638306;102.067497;884.476135;682.076111;108.753906;1134.506470;796.786133;175.801163;1168.720947;789.544556;357.200623;750.622742;703.143250;118.635658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;810.042480;605.377502;100.745468;882.398254;680.702881;108.781036;1132.810913;795.469116;174.838577;1166.853027;789.307800;356.181488;748.971741;699.691406;117.965012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;806.816467;605.089233;100.289917;880.072571;678.785950;108.684563;1131.300781;794.356812;174.052689;1164.988892;788.522339;355.132355;747.654602;696.457825;117.626053;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;804.185425;604.455505;100.225876;878.534302;677.526550;108.952568;1129.253418;793.036072;173.349930;1163.566162;787.669922;354.770874;747.473694;693.782837;116.942924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;802.088257;603.329651;100.886742;876.566711;676.148193;109.325874;1127.178711;792.057861;172.758377;1161.114136;787.434753;353.798309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;800.135315;602.172241;101.219200;874.603638;674.741089;110.291428;1125.302856;791.125854;172.544800;1159.483398;787.234009;353.451569;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;797.617432;601.183044;101.498444;873.267944;673.177551;110.786446;1123.949097;789.719543;171.391876;1157.728149;786.895691;352.818939;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;795.359375;600.605164;101.845787;872.067383;671.496033;111.052933;1122.755005;788.572876;170.104340;1155.706299;786.853638;351.872711;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;793.253296;599.833740;102.345200;870.003845;670.080383;111.793274;1120.663818;788.014648;169.884186;1154.316772;786.758850;351.259552;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;791.127563;599.105164;102.826736;868.361145;668.772156;112.609581;1118.721924;787.097778;169.461548;1152.387939;786.427612;350.745850;;;;740.746338;679.529358;117.605270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;788.667664;598.323669;103.868507;866.428833;667.559204;113.477341;1117.018311;785.890198;168.987595;1150.465820;786.399597;350.341370;;;;739.639099;678.816406;117.407997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;786.958008;597.786011;104.555779;864.793335;666.244263;114.336365;1115.724243;785.010437;168.368271;1148.805664;786.283142;349.660431;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;784.710327;597.379761;105.569824;863.547302;665.017944;114.955193;1114.153198;784.134338;167.866928;1146.763672;785.988403;349.369141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;782.481201;596.965454;106.980118;861.950195;663.689331;115.475739;1112.306885;783.248657;167.705521;1145.155273;786.045105;348.498901;;;;;;;735.525269;677.166626;119.516457;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;780.075256;596.458069;108.820488;860.057251;662.976501;116.873276;1110.595703;782.308411;166.876251;1143.691650;785.949890;347.557861;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;777.880127;596.039124;110.831207;858.175964;662.023682;117.760597;1108.849365;781.083557;166.249817;1141.967651;785.415222;347.579498;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;775.690552;595.968872;112.773293;855.943542;660.986389;118.264954;1107.530884;780.365356;165.906937;1139.867920;785.480408;346.961731;;;;;;;;;;730.866394;677.633728;124.005791;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;772.980103;595.856812;114.917961;854.238464;660.256226;118.746468;1105.069824;779.527283;164.918060;1138.146606;785.223328;346.012177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;770.587036;595.885376;116.522255;852.838684;659.360535;119.900208;1103.058594;778.545898;164.443832;1136.462646;784.760437;345.901276;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;767.756226;596.031860;118.450104;850.628052;658.584045;121.016830;1100.847168;777.682983;164.025864;1134.421631;784.781372;344.876190;;;;;;;;;;;;;725.531189;679.215698;130.653671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;764.536926;596.185669;120.601768;848.313232;657.453796;121.866920;1099.483887;776.642334;163.251984;1132.848022;784.257263;344.624878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;761.643372;596.202271;122.240891;845.909119;656.696106;123.281837;1096.643555;775.685120;162.826767;1130.412598;783.945496;344.083099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;758.105896;596.376465;123.104874;842.792969;655.872925;124.494713;1094.012817;774.491089;162.473816;1128.451660;783.819946;343.392761;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;754.615295;596.687134;124.923515;840.277954;654.807312;125.790512;1091.585693;773.390686;162.222641;1126.510864;783.325562;342.481934;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;750.565979;597.089966;126.705635;837.630737;653.729919;126.575523;1088.932495;772.498535;161.376923;1124.688599;782.966187;341.622314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;747.122620;597.410156;128.427155;834.465149;653.169617;128.085785;1086.314087;771.337708;160.615204;1121.983643;782.740784;341.078308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
