PTP-1128;;;
Date:;2025/04/16;;
Time:;11:03:04;;
Type:;test;;
Description:;"";;
Notes:;"";;
TRAJECTORIES;;;
200.000000;Hz;;
;*1;;
Field #;X;Y;Z
1;888.581177;641.698364;108.118378
2;888.650635;641.758911;108.183090
3;888.626831;641.775391;108.276894
4;888.524658;641.930664;108.309845
5;888.511108;641.907715;108.518623
6;888.435608;642.006897;108.641609
7;888.373474;642.079163;108.673607
8;888.286011;642.205322;108.790871
9;888.184753;642.318176;108.832260
10;888.188660;642.467163;108.731178
11;888.199158;642.656128;108.689507
12;888.127502;642.789734;108.736748
13;888.030396;642.886047;108.935471
14;887.919800;643.181763;109.072891
15;887.758972;643.454712;109.359436
16;887.418396;643.818665;109.755959
17;887.062683;644.193909;110.127052
18;886.753052;644.538940;110.393166
19;886.425598;644.936096;110.583008
20;886.101318;645.372803;111.285660
21;885.649658;645.655029;112.050560
22;885.170471;646.002197;112.609985
23;884.794189;646.287781;112.849548
24;884.261230;646.566772;113.056465
25;883.443237;646.931091;113.446198
26;882.616455;647.378357;113.779541
27;881.929688;647.668945;115.360481
28;880.983643;648.075928;116.350693
29;879.944641;649.127380;116.804863
30;879.093262;649.971619;117.700134
31;878.197327;650.351074;118.518967
32;876.914917;650.331421;119.452438
33;875.242371;650.641663;120.437103
34;873.876770;651.312744;121.454826
35;872.811035;651.875427;122.211884
36;871.247192;652.255981;123.243195
37;869.623535;652.627869;123.948517
38;868.259888;653.250061;124.734726
39;866.723633;653.839783;125.571236
40;864.765686;654.358887;126.235130
41;862.634705;654.805115;126.785660
42;861.036072;655.398193;127.894638
43;859.014343;655.645935;128.466736
44;856.697327;656.068481;129.389267
45;854.665344;656.397644;129.937973
46;852.251709;656.858826;130.690948
47;849.989258;657.447815;131.183975
48;847.766113;657.866577;131.950668
49;845.207153;658.423584;132.123062
50;842.835999;658.960083;132.471161
51;839.941895;659.676636;133.237762
52;837.344788;660.196167;134.009262
53;834.172729;660.614807;134.827515
54;831.445557;660.995789;135.902817
55;828.437500;661.351257;136.686996
56;825.925659;661.832458;137.641647
57;822.438965;662.476868;137.805435
58;819.847778;662.950745;139.529602
59;816.512756;663.775757;140.048904
60;813.812622;664.157104;140.998367
61;810.553589;664.921631;141.144409
62;807.809998;665.320557;142.439072
63;804.252319;665.901855;142.871521
64;802.025330;666.395081;142.774536
65;798.965088;666.445984;143.256226
66;796.458069;666.666504;143.571808
67;793.192322;666.817444;143.520035
68;790.606384;667.162109;143.700607
69;787.782715;667.256287;143.958878
70;784.775024;667.967651;143.428574
71;781.856628;667.875244;143.633789
72;778.861633;668.379089;143.251190
73;776.040466;668.327881;143.903549
74;773.135254;668.639160;143.539185
75;769.808716;668.849976;143.481308
76;766.377625;669.481689;143.401978
77;763.526245;669.588867;142.633621
78;760.699219;669.720642;143.076492
79;757.677124;670.013733;142.727356
80;754.692932;669.801575;142.785385
81;751.486572;670.213501;141.644379
82;748.999939;670.160217;141.454559
83;745.846191;670.075500;141.112061
84;742.992065;670.299438;139.711578
85;740.619141;670.141663;138.800430
86;737.762024;669.966125;138.088303
87;735.088562;669.510620;137.813232
88;732.578674;669.271912;136.580597
89;730.005371;669.228149;135.614594
90;727.544556;669.098816;135.156464
91;725.405762;668.701782;135.016891
92;722.797302;668.776123;133.676941
93;720.601990;668.791504;132.569214
94;718.725830;668.323975;132.415054
95;716.323364;668.281738;130.952286
96;714.493103;667.719360;130.785309
97;712.189026;667.843506;129.848557
98;710.132874;667.602295;129.354935
99;708.365723;667.009277;128.705688
100;706.319519;666.986389;127.750420
101;704.171509;666.752930;126.860779
102;702.844177;666.520691;125.743561
103;700.888916;666.255798;124.782204
104;699.380615;665.400085;124.953606
105;697.628296;665.250305;123.873085
106;696.142151;665.089783;122.899719
107;694.176819;664.679565;122.366219
108;692.790100;664.440735;121.955040
109;691.584717;664.322449;121.219643
110;690.234741;663.518921;120.550011
111;688.702026;663.115601;119.472038
112;687.405518;662.976624;118.612434
113;686.409973;662.640564;118.200363
114;685.028320;662.358887;117.643616
115;683.349609;661.922607;116.955215
116;682.318665;661.775696;116.645668
117;681.354980;661.612610;115.930298
118;680.261963;661.346130;115.223320
119;679.356384;660.787842;114.262184
120;678.245544;660.390930;113.480560
121;677.122620;660.263550;112.937218
122;676.424744;659.917480;112.788750
123;675.734253;659.526917;113.108398
124;674.658813;659.468262;112.270294
125;673.588867;659.244934;111.190254
126;672.836487;659.235413;110.841774
127;672.123352;659.237732;110.660919
128;671.343994;659.091309;110.015472
129;670.588623;658.940491;109.433113
130;670.062744;658.728394;109.169693
131;669.497803;658.464722;108.936455
132;668.736511;658.245300;108.462311
133;668.097107;658.004517;107.878471
134;667.351135;657.954224;107.452881
