PTP204;;;
Date:;2025/04/08;;
Time:;13:36:01;;
Type:;test;;
Description:;"";;
Notes:;"";;
TRAJECTORIES;;;
200.000000;Hz;;
;*1;;
Field #;X;Y;Z
1;235.825623;657.072693;120.040916
2;235.646149;655.007935;120.352226
3;235.438202;653.286560;120.400131
4;235.477875;651.673706;121.347252
5;235.561203;649.652710;122.141762
6;236.037247;648.336731;122.922852
7;236.401260;646.792786;123.473785
8;236.833725;645.375610;124.159096
9;237.370285;644.286255;124.784386
10;237.956802;642.477295;125.201035
11;238.130447;640.825500;125.863098
12;238.209076;638.789368;126.524010
13;238.467651;636.390991;127.364578
14;238.808090;634.274170;128.176682
15;238.778458;631.520630;129.098526
16;238.525986;628.756714;129.483032
17;238.763885;625.668518;130.120667
18;238.984940;622.531189;130.513504
19;239.048462;619.638184;131.359253
20;239.211929;616.566467;132.305145
21;238.961227;613.560059;133.112381
22;238.756165;610.531433;134.144852
23;238.987473;607.303772;135.423965
24;239.186569;604.362305;136.223480
25;239.333466;601.561584;136.632080
26;239.663330;598.391907;137.482407
27;239.964340;595.690369;138.637970
28;240.330978;592.774536;139.568665
29;240.588745;589.704041;140.408829
30;240.880493;586.872681;141.552612
31;241.300980;583.798035;142.614380
32;241.259140;580.784485;143.745926
33;241.896423;577.884583;144.740585
34;242.220520;574.906433;145.394196
35;242.288315;571.993530;146.019775
36;243.027924;568.884766;146.660721
37;243.520538;565.593628;147.272705
38;243.811493;562.435913;147.743607
39;244.002014;559.518188;148.386475
40;244.779831;556.127747;148.990402
41;245.093658;552.888794;148.999969
42;245.234222;549.723877;149.349030
43;245.736450;546.499390;149.846741
44;246.248672;543.231201;150.169022
45;246.631058;540.110535;150.129669
46;246.847382;536.898499;150.308243
47;247.212387;533.539368;150.281128
48;247.280258;530.615417;150.381882
49;247.918594;527.384399;150.436295
50;248.282074;524.149536;150.356201
51;248.634720;520.942017;149.899521
52;249.070145;517.840271;149.400497
53;249.152771;514.837158;149.167175
54;249.682632;511.598053;148.505920
55;250.062592;508.359406;148.207291
56;250.244720;505.216339;148.131180
57;250.606506;502.608978;147.910873
58;251.233841;499.649780;147.447357
59;251.432297;496.746094;146.763931
60;251.634964;494.259003;146.083344
61;252.098846;491.139343;145.318237
62;252.363708;488.364899;144.583893
63;252.379547;485.872894;144.372299
64;252.743530;483.298950;143.535858
65;252.978485;481.030487;142.682129
66;253.282120;478.603668;141.844910
67;253.865402;476.112488;140.666168
68;254.032028;474.130035;140.063171
69;254.037247;471.718719;139.386383
70;254.235184;469.757660;138.650360
71;254.723557;467.701080;137.470947
72;255.117905;465.940033;136.507156
73;255.343948;463.943359;135.457214
74;255.449066;461.816650;134.875031
75;255.594193;460.312500;134.362549
76;255.820892;458.515717;133.304840
77;256.106323;457.071625;132.142715
78;256.361633;455.276672;131.282639
79;256.520508;453.660400;130.766373
80;256.667999;452.131622;129.972153
81;256.784851;450.793335;129.087433
82;256.783386;449.795074;128.369598
83;256.968750;448.350647;127.652184
84;257.135315;447.106537;126.608803
85;257.226990;446.267578;125.620544
86;257.083466;444.948425;124.792458
87;257.156830;443.887756;124.261696
88;257.349335;443.260651;123.656166
89;257.426666;442.326385;122.767860
90;257.682770;441.173981;121.748001
91;257.999115;440.113159;120.849449
92;258.027740;439.266235;120.404770
93;257.859253;438.124664;120.100906
94;257.629547;437.025421;119.354179
95;257.370392;436.401978;118.778740
96;257.011627;435.589447;118.461601
97;256.311035;434.631195;118.189697
98;256.026215;433.914429;118.089828
99;256.028442;433.474335;117.998962
100;256.074921;433.173889;117.886719
101;256.125763;432.993805;117.849007
102;256.243042;432.753021;117.937637
103;256.470306;432.543304;117.994583
104;256.651611;432.373871;118.232109
105;256.788605;431.975281;118.418839
106;256.954407;431.695129;118.537437
107;257.262939;431.364166;118.563042
108;257.497955;431.146973;118.820724
109;257.541595;430.927521;118.936478
110;257.774628;430.698669;119.130409
111;257.901978;430.490295;119.206017
112;257.932892;430.254547;119.280617
113;257.987244;430.113647;119.375519
114;258.072754;429.933258;119.445366
115;258.106232;429.808929;119.540398
116;258.085999;429.723206;119.603889
117;258.174469;429.638123;119.606430
118;258.288055;429.673584;119.600464
119;258.320831;429.636536;119.591599
120;258.347412;429.626434;119.609070
121;258.365631;429.581024;119.660912
122;258.460510;429.584106;119.709625
123;258.425415;429.702148;119.675491
124;258.503998;429.720428;119.718147
125;258.531799;429.722687;119.718117
126;258.551544;429.746521;119.700783
127;258.562134;429.817535;119.681488
128;258.562347;429.825317;119.678642
129;258.592682;429.823425;119.631676
130;258.561066;429.876038;119.581238
131;258.528870;430.005066;119.561562
132;258.525696;430.018494;119.562561
133;258.566833;430.034088;119.562294
134;258.541870;430.102875;119.543869
135;258.645813;430.103455;119.523224
136;258.689789;430.189453;119.511734
137;258.717773;430.225555;119.520691
138;258.787476;430.292664;119.449989
139;258.835236;430.319061;119.477036
140;258.877045;430.363892;119.422417
141;258.919098;430.414551;119.400215
142;258.927002;430.521606;119.383003
143;258.951569;430.533661;119.338783
144;258.956268;430.528320;119.330704
145;258.969788;430.560638;119.321129
146;258.980011;430.630951;119.305099
147;258.974213;430.633331;119.315178
148;258.973938;430.627991;119.302574
149;258.955139;430.558380;119.325638
150;258.969391;430.618896;119.323616
151;258.963623;430.627655;119.314484
152;258.953583;430.559296;119.327538
153;258.952179;430.549347;119.332268
154;258.962799;430.531677;119.339973
155;258.955109;430.525970;119.336609
156;258.995697;430.482544;119.345039
157;258.895508;430.467621;119.309303
158;258.818054;430.401611;119.304504
159;258.809082;430.313843;119.367012
160;258.791809;430.313263;119.389595
161;258.715973;430.287842;119.344383
162;258.724274;430.227448;119.339302
163;258.621429;430.175262;119.275238
164;258.579987;430.109283;119.306587
165;258.545380;430.114441;119.287643
166;258.419708;429.995728;119.505966
167;258.467438;429.998688;119.374039
168;258.440521;429.988647;119.333961
169;258.471222;429.976624;119.338318
170;258.500000;429.852112;119.488884
171;258.520294;429.921631;119.487343
172;258.566895;429.854431;119.527710
173;258.627136;429.849945;119.554855
174;258.689331;429.853973;119.620865
175;258.755707;429.804565;119.629822
176;258.819733;429.785278;119.665215
177;258.921051;429.817474;119.763527
178;258.915619;429.817474;119.774300
179;258.899994;429.748871;119.783226
180;258.914276;429.687225;119.794846
181;258.917450;429.683472;119.795647
182;258.904938;429.682892;119.791733
183;258.903015;429.683197;119.791397
