PTP239;;;;;;
Date:;2025/04/22;;;;;
Time:;17:12:44;;;;;
Type:;test;;;;;
Description:;"";;;;;
Notes:;"";;;;;
TRAJECTORIES;;;;;;
200.000000;Hz;;;;;
;*1;;;*2;;
Field #;X;Y;Z;X;Y;Z
1;939.505615;659.503845;80.960762;;;
2;939.505615;659.503845;80.960762;;;
3;939.505615;659.503845;80.960762;;;
4;939.483215;659.591553;80.911476;;;
5;939.427612;659.554443;80.842827;;;
6;939.408875;659.521667;80.781296;;;
7;939.444031;659.515930;80.871078;;;
8;939.507996;659.517029;80.936317;;;
9;939.530212;659.605225;80.914391;;;
10;939.520630;659.532654;80.940842;;;
11;939.531311;659.510010;80.947708;;;
12;939.504089;659.537292;80.873520;;;
13;939.575439;659.630127;80.842072;;;
14;939.651733;659.553955;80.847473;;;
15;939.646729;659.518677;80.836365;;;
16;939.568665;659.524170;80.801964;;;
17;939.588745;659.540283;80.869385;;;
18;939.564697;659.538025;80.772682;;;
19;939.563416;659.553955;80.806068;;;
20;939.560120;659.531555;80.669533;;;
21;939.558838;659.527161;80.718544;;;
22;939.500549;659.536499;80.707008;;;
23;939.509216;659.525940;80.668701;;;
24;939.504028;659.538208;80.684525;;;
25;939.541321;659.514404;80.709427;;;
26;939.442322;659.532349;80.669518;;;
27;939.451904;659.529541;80.709930;;;
28;939.421814;659.535400;80.680382;;;
29;939.497620;659.514587;80.765984;;;
30;939.445923;659.515930;80.764679;;;
31;939.421021;659.516846;80.825325;;;
32;939.426880;659.516296;80.748825;;;
33;939.403992;659.544434;80.874146;;;
34;939.396423;659.631714;80.927094;;;
35;939.434875;659.641418;80.994736;;;
36;939.405457;659.715149;81.135025;;;
37;939.106140;659.738586;81.403557;;;
38;939.142639;659.953552;81.798126;;;
39;939.135254;660.241882;82.058601;;;
40;939.149231;660.612793;82.439827;;;
41;939.238953;661.184448;82.799553;;;
42;939.365479;661.796448;83.206367;;;
43;939.418884;662.529663;83.960800;;;
44;939.307129;663.168640;84.555260;;;
45;939.222290;663.898621;85.130463;;;
46;939.318115;664.953430;85.545563;;;
47;939.231873;666.254333;85.975769;;;
48;938.853760;667.430420;87.362389;;;
49;938.322021;668.935608;88.432968;;;
50;938.287048;670.556213;89.496246;;;
51;938.254150;671.757141;90.502548;;;
52;937.832642;673.539673;91.463470;;;
53;937.354126;675.109192;92.199280;;;
54;937.120789;676.899658;93.280159;;;
55;936.488281;678.903687;94.438034;;;
56;935.952026;680.629089;94.979111;;;
57;935.552429;682.519287;95.807343;;;
58;934.944153;684.575073;96.600983;;;
59;934.126648;686.604553;97.016304;;;
60;933.208008;688.308655;97.037163;;;
61;931.714294;690.383057;97.478500;;;
62;930.400269;692.496094;98.665810;;;
63;928.728760;694.762085;98.946045;;;
64;926.711121;696.802551;98.710579;;;
65;925.530334;698.876099;98.120430;;;
66;924.410400;701.110657;97.964020;;;
67;922.758667;703.367126;97.183159;;;
68;920.408875;705.658752;97.436501;;;
69;917.520325;707.562866;97.573463;;;
70;914.777710;709.833435;97.501312;;;
71;912.659058;711.946899;96.884651;;;
72;910.280701;714.194397;97.138115;;;
73;906.955383;716.133423;97.035103;;;
74;904.246277;718.616821;96.312752;;;
75;901.334778;720.566589;96.561859;;;
76;898.553467;723.021057;96.051819;;;
77;895.621094;724.895630;95.695671;;;
78;892.214417;726.855591;95.256157;;;
79;889.324646;728.863525;94.588440;;;
80;885.476807;731.124695;94.476723;;;
81;;;;;;
82;;;;878.003174;735.471191;94.556778
83;;;;875.078796;737.306030;93.387764
84;;;;871.065247;739.481506;93.251167
85;;;;867.307983;741.539124;92.726791
86;;;;863.433777;743.496521;92.370895
87;;;;859.728149;745.684448;91.967972
88;;;;855.470886;747.379700;92.184700
89;;;;850.980042;749.313416;92.614510
90;;;;846.439148;751.187622;92.654442
91;;;;842.567200;753.353882;92.140282
92;;;;838.389221;754.698425;91.783363
93;;;;834.300049;756.531372;91.053070
94;;;;829.966125;758.417969;90.299835
95;;;;825.155396;759.957031;89.825424
96;;;;821.047241;761.793152;89.839035
97;;;;816.504517;763.464355;89.964493
98;;;;812.072815;765.172485;89.564713
99;;;;807.308289;766.758667;89.659119
100;;;;802.959839;768.315796;89.526161
101;;;;798.528992;769.785950;88.742584
102;;;;793.981323;771.110291;88.237366
103;;;;789.815918;772.375305;87.887329
104;;;;785.469910;773.973328;87.667831
105;;;;780.567322;776.195801;87.748299
106;;;;775.128174;777.620117;88.658058
107;;;;770.198242;778.709656;88.494614
108;;;;766.907837;779.874146;87.127907
109;;;;762.637207;781.399048;86.825104
110;;;;757.735779;782.350891;87.264000
111;;;;754.064758;783.382324;86.635521
