PTP251;;;;;;;;;;;;;;;
Date:;2025/04/23;;;;;;;;;;;;;;
Time:;12:52:35;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;876.372009;621.660461;111.216682;;;;;;;;;;;;
2;876.401062;621.649841;111.332817;;;;;;;;;;;;
3;876.440979;621.631775;111.405632;;;;;;;;;;;;
4;876.508118;621.713684;111.494095;;;;;;;;;;;;
5;876.467773;621.755310;111.562141;;;;;;;;;;;;
6;876.487244;621.841248;111.638428;;;;;;;;;;;;
7;876.507874;621.853760;111.655869;;;;;;;;;;;;
8;876.525330;621.956421;111.796661;;;;;;;;;;;;
9;876.510315;622.067932;111.785851;;;;;;;;;;;;
10;876.503113;622.107300;111.989243;;;;;;;;;;;;
11;876.493530;622.180969;112.041420;;;;;;;;;;;;
12;876.470520;622.211853;112.184616;;;;;;;;;;;;
13;876.399292;622.236389;112.432472;;;;;;;;;;;;
14;876.367554;622.382507;112.559212;;;;;;;;;;;;
15;876.294189;622.450562;112.943573;;;;;;;;;;;;
16;876.120300;622.733887;113.568214;;;;;;;;;;;;
17;876.061218;622.855713;114.060524;;;;;;;;;;;;
18;876.003906;623.032715;114.635818;;;;;;;;;;;;
19;875.903625;623.244995;115.257889;;;;;;;;;;;;
20;875.869812;623.374512;115.922333;;;;;;;;;;;;
21;875.816406;623.576477;116.556946;;;;;;;;;;;;
22;875.761719;623.673889;117.028816;;;;;;;;;;;;
23;875.880920;623.721130;117.472748;;;;;;;;;;;;
24;875.942505;623.708374;117.767365;;;;;;;;;;;;
25;875.966980;623.816101;118.269539;;;;;;;;;;;;
26;875.694458;623.818420;119.369995;;;;;;;;;;;;
27;875.463745;623.866272;120.434631;;;;;;;;;;;;
28;875.558533;624.069336;121.065620;;;;;;;;;;;;
29;875.693115;624.258118;121.707420;;;;;;;;;;;;
30;875.807922;624.344543;122.538353;;;;;;;;;;;;
31;875.979004;624.497375;123.583725;;;;;;;;;;;;
32;875.747925;624.747253;124.812439;;;;;;;;;;;;
33;875.545837;624.942017;125.784645;;;;;;;;;;;;
