PTP255;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/28;;;;;;;;;;;;;;;;;;;;
Time:;11:42:04;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;884.920837;641.920776;106.042030;;;;;;;;;;;;;;;;;;
2;884.750488;642.268738;106.499985;;;;;;;;;;;;;;;;;;
3;884.597717;642.512634;107.112549;;;;;;;;;;;;;;;;;;
4;884.173889;642.899414;108.251572;;;;;;;;;;;;;;;;;;
5;883.634033;643.260254;109.329445;;;;;;;;;;;;;;;;;;
6;883.103638;643.654785;110.327644;;;;;;;;;;;;;;;;;;
7;882.331116;644.135620;111.212280;;;;;;;;;;;;;;;;;;
8;881.479492;644.443970;112.612968;;;;;;;;;;;;;;;;;;
9;880.567444;645.048523;114.243813;;;;;;;;;;;;;;;;;;
10;879.737305;645.858582;115.317383;;;;;;;;;;;;;;;;;;
11;878.984863;646.620239;115.961113;;;;;;;;;;;;;;;;;;
12;878.116394;647.329895;117.053345;;;;;;;;;;;;;;;;;;
13;876.912354;648.104675;118.849342;;;;;;;;;;;;;;;;;;
14;875.220276;648.708069;120.675201;;;;;;;;;;;;;;;;;;
15;873.560364;649.500061;122.614487;;;;;;;;;;;;;;;;;;
16;872.179565;650.705627;124.216637;;;;;;;;;;;;;;;;;;
17;870.541077;651.551819;125.655090;;;;;;;;;;;;;;;;;;
18;868.710999;652.622131;127.211067;;;;;;;;;;;;;;;;;;
19;866.462280;653.799988;130.186203;;;;;;;;;;;;;;;;;;
20;864.424622;655.025818;131.867508;;;;;;;;;;;;;;;;;;
21;862.064819;656.205994;134.272110;;;;;;;;;;;;;;;;;;
22;859.606567;657.672852;135.944855;;;;;;;;;;;;;;;;;;
23;857.023987;658.869324;138.387253;;;;;;;;;;;;;;;;;;
24;854.775146;660.653137;139.956573;;;;;;;;;;;;;;;;;;
25;852.389709;662.541443;141.851166;;;;;;;;;;;;;;;;;;
26;849.556641;663.896423;144.543274;;;;;;;;;;;;;;;;;;
27;846.291626;665.453247;147.076736;;;;;;;;;;;;;;;;;;
