PTP253;;;;;;;;;;;;
Date:;2025/04/28;;;;;;;;;;;
Time:;13:54:02;;;;;;;;;;;
Type:;test;;;;;;;;;;;
Description:;"";;;;;;;;;;;
Notes:;"";;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;767.592651;655.228638;76.903564;;;;;;;;;
2;767.659058;655.094177;77.104744;;;;;;;;;
3;767.545288;655.098511;76.997658;;;;;;;;;
4;767.534119;655.116699;76.933533;;;;;;;;;
5;767.610168;655.121338;76.964935;;;;;;;;;
6;767.626038;655.112305;76.975685;;;;;;;;;
7;767.734375;655.092163;77.027130;;;;;;;;;
8;767.791809;655.115295;76.937607;;;;;;;;;
9;767.746338;655.190735;76.917061;;;;;;;;;
10;767.742004;655.127930;76.920464;;;;;;;;;
11;767.807983;655.075989;77.076508;;;;;;;;;
12;767.702942;655.082153;77.112381;;;;;;;;;
13;767.778748;655.175171;77.094025;;;;;;;;;
14;767.782532;655.200073;77.120430;;;;;;;;;
15;767.864258;655.193665;77.189659;;;;;;;;;
16;767.796448;655.182983;77.184174;;;;;;;;;
17;767.784912;655.198181;77.133636;;;;;;;;;
18;767.803650;655.203735;77.107208;;;;;;;;;
19;767.868286;655.292969;77.106560;;;;;;;;;
20;767.727234;655.208130;77.192505;;;;;;;;;
21;767.799866;655.184387;77.216583;;;;;;;;;
22;767.925720;655.177429;77.252853;;;;;;;;;
23;767.887207;655.191223;77.169296;;;;;;;;;
24;767.870422;655.195862;77.145065;;;;;;;;;
25;767.867615;655.195190;77.152435;;;;;;;;;
26;767.834290;655.194397;77.136124;;;;;;;;;
27;767.899780;655.181641;77.132019;;;;;;;;;
28;767.930115;655.179016;77.116478;;;;;;;;;
29;767.932129;655.180054;77.110893;;;;;;;;;
30;767.926636;655.180542;77.114647;;;;;;;;;
31;767.911987;655.169678;77.154968;;;;;;;;;
32;767.825256;655.179565;77.177841;;;;;;;;;
33;767.897705;655.174805;77.186424;;;;;;;;;
34;767.871155;655.185852;77.085899;;;;;;;;;
35;767.922424;655.182800;77.097168;;;;;;;;;
36;767.933838;655.180481;77.111153;;;;;;;;;
37;767.831787;655.199707;77.098579;;;;;;;;;
38;767.757568;655.193787;77.136292;;;;;;;;;
39;767.781677;655.155884;77.294106;;;;;;;;;
40;767.664612;655.197571;77.108322;;;;;;;;;
41;767.600586;655.226257;77.017113;;;;;;;;;
42;767.627502;655.228638;77.044121;;;;;;;;;
43;767.591553;655.338318;76.946602;;;;;;;;;
44;767.597961;655.270020;76.942589;;;;;;;;;
45;767.530884;655.254456;76.880043;;;;;;;;;
46;767.424072;655.287170;76.774292;;;;;;;;;
47;767.373230;655.293640;76.660240;;;;;;;;;
