PTP358;;;
Date:;2025/04/30;;
Time:;17:36:56;;
Type:;test;;
Description:;"";;
Notes:;"";;
TRAJECTORIES;;;
200.000000;Hz;;
;*1;;
Field #;X;Y;Z
1;865.684082;667.894897;121.595421
2;864.755127;667.593262;122.977829
3;863.712646;667.089478;124.928307
4;862.552490;666.752625;126.492569
5;861.094116;666.349976;128.233047
6;859.414490;665.744995;130.549469
7;857.719177;665.134583;132.171677
8;855.781494;664.276367;133.979721
9;853.641357;663.456360;136.380722
10;851.169006;662.654724;138.854919
11;848.864685;661.829407;141.217819
12;846.024719;660.888611;143.597061
13;843.338074;659.827271;145.643280
14;840.251526;658.904724;148.484528
15;837.075623;657.850464;150.836090
16;833.462280;656.726135;153.020416
17;829.911133;655.463745;155.365143
18;826.239014;654.408142;158.023163
19;822.294495;653.444397;160.113358
20;818.573792;652.399719;162.050949
21;814.961365;650.961792;164.126114
22;810.549866;649.782532;166.415329
23;806.278015;648.516479;168.688751
24;801.884644;647.238586;170.338181
25;797.693665;645.946411;171.995773
26;793.195496;644.383179;173.743790
27;788.552429;642.898315;175.754898
28;783.803772;641.466797;177.299545
29;779.327332;639.968750;178.467560
30;775.019287;638.228638;179.755569
31;769.976318;636.718689;180.960144
32;765.040222;635.089600;182.091965
33;760.360352;633.350647;182.951859
34;755.753906;631.257385;183.720734
35;750.994751;629.321777;184.352386
36;746.062622;627.512512;184.949722
37;741.090515;625.636658;185.463867
38;736.076904;623.636780;186.101532
39;731.157959;621.636230;186.599075
40;726.539001;619.605957;186.462067
41;721.767456;617.663696;186.237717
42;716.890625;615.417664;186.245010
43;712.029663;613.321960;185.977371
44;707.378113;611.158508;185.671616
45;702.670898;609.088684;185.556107
46;697.808228;606.817383;185.407303
47;693.089294;604.603027;184.919785
48;688.569519;602.130859;183.894547
49;683.935425;600.021423;183.419586
50;679.313660;597.684509;182.704239
51;674.363831;595.506775;182.257309
52;669.522644;593.057739;181.407867
53;664.975708;590.578064;180.558868
54;660.405579;588.304993;180.077362
55;655.913147;586.088013;178.733414
56;651.264832;583.986267;177.941788
57;646.782898;581.669312;177.187439
58;642.327942;579.138367;176.302963
59;637.770508;576.984192;175.456482
60;633.303223;575.027405;174.455276
61;628.920837;572.769348;173.102005
62;624.632813;570.501465;172.269089
63;620.286133;568.278076;171.329483
64;616.255188;566.205322;169.869415
65;612.264465;564.013794;168.396851
66;608.334900;561.681396;167.539734
67;604.558838;559.411316;166.030991
68;600.837952;557.562683;164.339767
69;597.180115;555.278748;163.218811
70;593.445435;552.910400;161.240173
71;590.147522;550.904907;160.049194
72;586.693726;548.844238;158.451401
73;583.323242;546.509216;156.868103
74;579.996704;544.751709;155.599442
75;576.827820;542.705200;153.974533
76;573.795166;540.667908;152.324509
77;570.920288;538.756714;151.030640
78;567.846375;536.976196;149.179825
79;565.272461;535.229736;147.612045
80;562.409363;533.507324;145.945267
81;559.697815;531.645508;144.646149
82;557.202881;530.317993;142.906357
83;554.570251;528.527161;141.641296
84;552.320557;527.053955;140.269867
85;549.997131;525.597351;138.177170
86;547.889709;524.422119;136.696030
87;545.799561;522.816956;135.123138
88;543.836060;521.689148;134.057022
89;541.963989;520.432922;132.038391
90;540.213745;519.234558;130.670670
91;538.704712;518.131165;129.263153
92;537.121277;516.951233;127.458649
93;535.754028;515.949036;125.896469
94;534.187622;515.087830;124.924683
95;532.780273;513.789978;123.432961
96;531.903137;512.835876;122.035950
97;531.079773;512.139099;120.327774
98;529.922852;511.279388;119.066032
99;528.794373;510.405151;117.508675
100;528.013184;509.652313;116.622597
101;527.117188;509.300690;115.292618
102;526.474976;508.603271;113.551781
103;525.885986;507.960602;112.415421
104;525.092651;507.339905;111.154167
105;524.512390;506.868683;109.880104
106;524.057678;506.506836;108.878304
107;523.617981;506.066559;107.669304
108;523.340698;505.710846;106.552505
109;523.052429;505.320129;105.942184
110;522.557922;505.052368;105.080833
111;522.193115;504.809113;103.691071
112;522.017578;504.514130;102.607704
113;521.808838;504.197937;101.957039
114;521.554504;503.880157;101.597168
115;521.368713;503.506104;101.272194
116;521.109741;503.081299;100.812744
117;520.822327;502.791321;100.509865
118;520.523743;502.476074;100.344284
119;520.100525;502.429810;100.097282
120;519.786560;502.255615;100.093864
121;519.486450;501.852814;100.125908
122;519.087585;501.426819;100.288963
123;518.695190;501.097900;100.366707
124;518.373413;500.825165;100.315315
125;518.083862;500.524353;100.413429
126;517.915588;500.260437;100.429001
127;517.864746;500.036621;100.264854
128;517.762146;499.810791;100.117775
129;517.827148;499.602203;99.758698
130;517.788452;499.379303;99.474808
131;517.730896;499.264557;99.188194
132;517.743835;499.008789;98.728668
133;517.866089;498.845276;98.311615
134;517.936035;498.572174;97.770164
135;518.038757;498.458374;97.457504
136;518.074219;498.394714;97.268250
137;518.049988;498.231445;97.019112
138;518.007385;498.328949;96.803589
139;517.932617;498.374237;96.604095
140;517.874207;498.443909;96.513985
141;517.826660;498.393158;96.484764
142;517.760193;498.293152;96.445183
143;517.685059;498.275818;96.448677
144;517.737183;498.239868;96.426857
145;517.501892;498.005157;96.681816
146;517.415161;497.884369;96.605629
147;517.418884;497.776703;96.514801
148;517.278076;497.603149;96.497215
149;517.096619;497.515717;96.713730
150;516.958618;497.381256;96.720299
151;516.842957;497.290710;96.733757
152;516.739319;497.205658;96.729286
153;516.741882;497.122803;96.657852
154;516.747131;497.008575;96.575211
155;516.706665;496.916504;96.558174
156;516.709167;496.903839;96.539589
157;516.664978;496.774780;96.521797
158;516.662048;496.755585;96.369949
159;516.678955;496.767944;96.327972
160;516.643311;496.779541;96.265755
161;516.665588;496.777130;96.272095
162;516.683838;496.662140;96.263847
163;516.702271;496.644714;96.170395
164;516.717834;496.639618;96.182564
165;516.715698;496.662781;96.112808
166;516.712280;496.653534;96.081802
167;516.723083;496.586792;96.005066
168;516.768005;496.513184;95.947670
169;516.752319;496.484375;95.787727
170;516.814758;496.439606;95.885750
171;516.800049;496.373749;95.756676
172;516.864563;496.374817;95.610886
173;516.900574;496.277557;95.601990
174;516.946594;496.235046;95.558807
175;516.918335;496.255280;95.502907
176;516.938293;496.239502;95.397591
177;516.949951;496.237885;95.377144
178;517.009644;496.184784;95.341110
179;517.012146;496.195770;95.289192
180;516.995544;496.175232;95.229668
181;517.026978;496.066559;95.227478
182;516.971497;496.085236;95.193169
183;516.977844;496.023834;95.196144
184;516.918274;496.002411;95.111763
185;516.934265;495.956909;95.196358
186;516.888794;495.882202;95.090370
187;516.935974;495.837463;95.074249
188;516.933533;495.755219;95.100174
189;516.930908;495.732819;95.073128
190;517.005615;495.698517;95.002762
191;517.005493;495.639954;94.911583
192;516.970825;495.627686;94.961418
193;516.997070;495.602386;94.935158
194;517.023315;495.582550;94.863548
195;517.006897;495.510010;94.897209
196;516.996338;495.495697;94.918831
197;517.010742;495.518890;94.841080
198;517.056763;495.513367;94.802765
199;517.078369;495.479797;94.814278
200;517.083801;495.476318;94.818039
201;517.084839;495.482605;94.710564
202;517.143555;495.475891;94.704002
203;517.206299;495.521637;94.573769
204;517.252930;495.471466;94.566315
205;517.273376;495.442657;94.520897
206;517.205505;495.435089;94.409966
207;517.196106;495.463898;94.340569
208;517.210205;495.447510;94.265366
209;517.223938;495.446747;94.250320
210;517.198914;495.434143;94.119911
211;517.169434;495.386871;94.102463
212;517.136902;495.320648;94.118706
213;517.166382;495.255676;94.143280
214;517.190002;495.182434;93.971527
215;517.149353;495.194336;94.031288
216;517.107605;495.118103;93.938705
217;517.097534;495.088837;93.907349
218;517.079407;495.006378;93.935799
219;517.086670;494.982758;93.913078
220;517.083252;494.988403;93.916359
221;517.043152;495.019531;93.788795
