Präzision28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;10:59:39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;816.878113;685.349548;41.973354;839.330383;789.602966;83.737183;855.214111;1027.111938;276.534454;845.183960;697.068481;48.007019;793.572937;1044.047974;152.266281;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;816.851013;685.338501;41.968807;839.370361;789.697693;83.733665;855.244568;1027.110718;276.549927;845.155151;697.082275;48.076763;793.259766;1044.044312;152.393463;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;816.869629;685.345154;41.975986;839.348022;789.732971;83.758766;855.176514;1027.120361;276.526215;845.156372;697.069580;48.055450;793.425293;1044.060669;152.355164;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;816.879150;685.349609;41.974525;839.358337;789.708740;83.746544;855.185669;1027.097412;276.619476;845.158264;697.078186;48.066574;793.570801;1044.051392;152.276535;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;816.879883;685.350525;41.972431;839.387512;789.717957;83.750229;855.265625;1027.116089;276.580292;845.217957;697.049133;48.069901;793.611816;1044.047485;152.232422;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;816.837158;685.404541;42.201515;839.390198;789.693726;83.847191;855.248596;1027.096558;276.587433;845.198425;697.081726;48.085167;793.617371;1043.957031;152.208221;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;816.839966;685.341858;42.061436;839.356995;789.666260;83.868927;855.180664;1027.095581;276.598175;845.177368;697.075012;48.029831;793.640625;1044.015991;152.298050;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;816.862732;685.347839;41.991997;839.412964;789.683777;83.866913;855.160156;1027.094238;276.601318;845.160706;697.084045;48.050148;793.539185;1043.968506;152.205460;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;816.888000;685.402954;41.962280;839.413391;789.739136;83.792854;855.165588;1027.097778;276.643219;845.182739;697.058960;47.983974;793.512878;1043.953247;152.181641;;;;;;;;;;;;;;;;;;;;;;;;;;;
