Präzision20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:09:13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;792.055664;681.447937;74.273148;820.295471;1033.675049;440.826691;788.742493;999.072815;161.320938;815.913086;692.324646;79.486374;808.261780;792.777893;95.689423;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;792.073486;681.453857;74.257240;820.362305;1033.695313;440.790741;788.762207;999.071838;161.339417;816.320984;692.163025;79.891731;808.270264;792.821960;95.787094;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;791.792847;681.334167;74.750519;820.391785;1033.774048;440.847137;788.801086;999.136597;161.470276;816.743103;691.109619;80.514297;808.262939;792.831116;95.842354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;791.606567;681.370728;75.076302;820.425232;1033.888184;440.865143;788.802734;999.169861;161.459320;816.915894;690.850281;80.736786;808.264832;792.897400;95.872063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;791.632080;681.405212;75.121971;820.404053;1033.923218;440.853760;788.769958;999.257935;161.434937;816.868774;691.026184;80.806633;808.301086;793.043945;95.918159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;791.631958;681.539490;75.157753;820.519104;1034.021729;440.905731;788.766052;999.361145;161.473572;816.947266;691.174011;80.871193;808.292175;793.109192;95.912201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;791.540649;681.615784;75.262451;820.599060;1034.137817;440.901245;788.682800;999.473694;161.525513;816.938232;691.310730;81.024010;808.338501;793.208008;95.989059;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;791.733643;681.655701;75.478188;820.689026;1034.242676;440.945221;788.680054;999.595825;161.543839;816.978394;691.390686;81.193176;808.339111;793.344360;96.081566;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;791.629150;681.770264;75.676712;820.714294;1034.337036;440.962494;788.702820;999.774597;161.581421;816.922180;691.529419;81.250710;808.361145;793.620483;96.131424;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;791.712097;681.852356;75.710724;820.736328;1034.467651;440.938293;788.660828;999.909485;161.575348;817.029968;691.713684;81.362793;808.187744;793.885010;96.298714;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;791.517395;681.918579;76.244843;820.807007;1034.562134;441.002716;788.685486;1000.116272;161.584671;817.037048;692.001587;81.523247;808.031128;794.159302;96.469574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;791.391418;682.012268;76.647675;820.848267;1034.591919;440.995270;788.675781;1000.366577;161.545654;817.441345;692.028015;81.984184;807.824646;794.371033;96.815018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;791.417175;682.117615;76.934921;820.949646;1034.699829;440.937286;788.658081;1000.705933;161.575562;817.205933;692.194824;82.240646;807.792053;794.603149;96.915878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;791.046265;682.485840;77.493263;820.939148;1034.958008;440.722382;788.628906;1000.954895;161.565353;817.122253;692.414856;82.606911;807.895081;794.878906;96.997833;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;791.216797;682.733154;77.703445;820.970398;1035.182373;440.683350;788.725220;1001.181091;161.470535;817.036377;692.572998;83.151604;808.276367;795.182068;97.442070;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;791.317566;683.030029;78.008537;821.081116;1035.301514;440.775238;788.849915;1001.618835;161.043503;817.157898;692.644104;83.716293;808.314880;795.419861;97.542435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;791.444092;683.386169;78.313622;821.188171;1035.514893;440.782501;788.959656;1001.913696;161.189835;817.096313;692.830994;84.731277;808.192749;795.710632;97.619827;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;791.589783;683.849426;78.697861;821.242065;1035.722168;440.787323;788.929443;1002.518005;161.025589;816.812805;693.151550;85.764206;807.892517;796.082642;97.736870;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;791.704346;684.291809;79.346474;821.246399;1035.910522;440.764374;788.936523;1003.224243;160.975296;816.576233;693.813110;86.474594;807.814148;796.588379;98.156517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;791.445190;684.792603;80.629333;821.177795;1036.144287;440.730408;788.958679;1004.060730;161.093246;816.489319;694.456787;86.919258;807.916016;797.226013;98.789833;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;790.950195;685.430115;82.463387;821.252808;1036.325317;440.724823;789.006958;1004.762756;161.037796;816.347473;695.270386;87.575386;807.829346;797.871643;99.603035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;791.280640;685.597412;83.293602;821.343750;1036.492554;440.921906;788.984741;1005.279114;160.978714;816.103149;696.171326;89.268799;807.449158;798.608093;100.552498;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;791.176086;685.955872;83.513260;821.368774;1036.903809;440.763824;789.088806;1005.754761;161.016068;815.735596;696.356445;90.452682;807.335754;798.968079;101.741684;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;791.207520;686.693420;84.541283;821.439392;1037.260132;440.736206;788.896729;1006.712158;161.169083;815.622009;696.641418;91.647285;807.593445;799.362976;102.431915;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;790.279297;687.588745;86.984657;821.518250;1037.656372;440.836975;788.694397;1007.640686;161.680084;815.861938;697.179749;92.986534;807.548401;799.840393;103.099731;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;790.354370;688.127136;88.391342;821.538330;1037.925659;440.904205;788.366211;1008.489868;162.165833;815.883545;697.631042;94.510941;807.237915;800.674011;103.864189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;790.690491;688.547607;89.459244;821.609863;1038.332520;441.000580;788.229736;1009.024719;162.171509;815.903015;698.234314;96.349457;806.877014;801.671143;105.198112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;790.088867;689.392334;91.213844;821.517639;1038.821899;441.020782;788.315308;1010.008728;162.226959;816.149414;699.075806;97.741005;806.350647;802.473877;106.505203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;790.099121;689.760437;92.284676;821.445435;1039.270264;440.979065;788.346863;1011.200562;162.486938;815.623840;700.034485;98.924248;806.486084;803.045898;107.027939;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;789.995300;690.755737;93.806335;821.611877;1039.559814;440.797729;788.482361;1011.950073;163.007675;814.974792;700.526794;100.604698;806.671509;803.722168;107.749969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;790.184387;691.613831;95.325081;821.570435;1040.027222;440.788849;788.533020;1012.671448;163.015167;814.467468;701.435364;102.499252;806.534485;804.739380;109.517418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;789.916077;692.265808;97.307114;821.288452;1040.577393;441.109955;788.240173;1013.898499;162.874252;814.895813;702.315186;104.016258;806.200012;805.677246;111.265785;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;789.378784;693.009155;99.123474;821.208679;1041.188232;441.106110;788.187256;1015.402649;163.143723;813.968506;703.214722;106.017929;805.909851;806.439880;112.181091;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;789.306641;693.941467;100.571960;821.279114;1041.776001;441.058441;788.335083;1016.339417;163.147736;814.182373;704.131653;107.919724;805.402893;807.424438;113.406212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;789.356812;695.152710;102.836723;821.370850;1042.346802;441.052002;788.262939;1017.611877;162.883713;814.371521;704.612671;109.619621;804.950378;808.491760;114.820099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;789.253662;695.860168;104.408798;821.544373;1042.901245;441.014801;788.161377;1019.172180;162.943436;814.003845;705.825500;112.036957;804.678955;809.333374;116.243347;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;788.572021;696.922791;106.237045;821.526978;1043.494629;441.190002;787.984009;1020.201904;163.432709;813.533752;707.065002;113.158264;804.632019;810.662842;117.879173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;787.502136;698.097656;109.175827;821.561584;1044.313965;441.374115;787.622864;1021.438965;163.945389;812.518311;708.418457;115.583870;804.271545;811.761902;119.586937;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;787.119568;699.315552;111.875336;821.697998;1044.931274;441.584778;787.372253;1022.869324;164.400467;812.319458;709.396301;117.766083;803.533630;812.592957;121.554909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;787.163025;700.190613;113.293228;821.669800;1045.516113;441.700439;787.011902;1024.010254;164.825363;812.293457;710.519958;120.196350;802.992126;814.147888;122.736290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;786.458435;702.096130;115.813660;821.787170;1046.278564;441.707428;786.744751;1025.566772;165.214127;811.899292;711.762390;121.890762;802.413635;815.340698;124.205528;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;786.053040;702.840271;117.719620;821.801208;1046.983521;441.718384;786.680664;1026.955322;165.654907;810.878906;713.022888;124.370964;802.066345;816.474670;125.878769;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;783.656738;703.693115;121.875069;821.775757;1047.821289;441.776367;786.594055;1028.555664;165.871445;810.206970;714.362732;126.330666;801.943665;818.134216;127.814293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;784.069580;705.321655;122.843285;821.789612;1048.581177;441.891541;786.523499;1030.349976;166.295456;809.775879;715.991638;128.999268;801.343628;819.375122;129.903900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;783.888855;707.256470;124.819855;821.452637;1049.257446;442.091553;786.204651;1031.909302;166.386780;809.244995;717.139221;131.020905;800.597046;820.831421;131.377167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;783.467163;708.760498;126.641571;821.622375;1049.918213;442.258759;785.974731;1033.664185;166.652206;808.025085;718.890747;133.416351;799.557556;822.604980;133.334244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;782.337036;710.399597;129.654419;821.808411;1050.742554;442.343048;785.686157;1035.209961;166.890305;807.780334;720.645874;135.538406;799.250610;823.926086;134.839478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;781.872192;711.575317;131.497925;821.889343;1051.545410;442.413300;785.241455;1037.159424;167.183075;807.108521;721.516724;138.181305;798.778931;825.693909;136.698792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;781.656250;713.304199;133.216217;822.033875;1052.428711;442.374329;784.923767;1038.667847;167.965714;806.411865;723.709167;139.955246;798.483215;827.156494;138.633438;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;781.692627;715.278320;135.214401;822.056396;1053.289185;442.413544;784.527832;1040.565674;168.613144;805.200928;725.414551;142.653244;797.539063;828.875244;140.675095;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;780.389526;716.999695;138.217667;822.099487;1054.299561;442.654633;784.168579;1042.309082;169.136093;804.879700;727.253723;144.769211;796.481018;830.703552;142.343369;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;778.879333;718.747925;141.377441;822.110657;1055.456543;442.871338;783.955322;1044.348755;169.727295;804.078735;729.064514;147.367783;795.586304;832.620178;143.914581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;777.913086;720.537537;143.591415;822.260437;1056.504028;442.827087;783.649780;1046.288940;169.926041;803.354248;730.665649;149.673599;794.802673;834.361267;145.687881;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;777.127014;722.527039;145.859924;821.957581;1057.284546;443.168701;783.383667;1048.358032;170.530777;802.737854;732.712402;151.993561;794.262878;836.263611;147.561264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;776.397949;724.366699;148.348022;821.884583;1058.427979;443.242371;783.094116;1050.138184;170.800964;801.212952;734.565002;154.258347;793.523987;838.246399;149.802765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;775.755737;726.611938;150.699219;821.948730;1059.414917;443.524323;782.511841;1052.182983;171.284088;801.149719;737.288879;156.603271;792.874939;840.113464;151.762192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
