Präzision34;;;;;;;;;;;;;;;;;;
Date:;2025/04/16;;;;;;;;;;;;;;;;;
Time:;14:19:42;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;802.369080;753.184021;113.112122;828.651489;1035.673828;424.900452;796.564941;1008.766724;288.011200;808.884094;674.283508;51.511402;778.840149;658.770386;50.412464;;;
2;802.274414;753.159485;113.156693;828.629944;1035.659912;424.899048;796.553406;1008.774109;288.047943;808.979492;674.263428;51.756927;778.864868;658.895264;50.437225;;;
3;802.242310;753.148132;113.164352;828.621643;1035.659790;424.887146;796.587463;1008.758118;288.008484;809.048218;674.241028;51.847027;778.968872;658.942017;50.406311;;;
4;802.156555;753.155701;113.149498;828.514343;1035.814453;425.088867;796.619629;1008.784485;287.978058;809.051270;674.238220;51.835648;779.048523;658.764954;50.161842;;;
5;802.172424;753.162109;113.117256;828.628235;1035.786743;424.937653;796.662598;1008.750244;287.996185;809.013794;674.250793;51.790771;778.994873;658.875244;50.319523;;;
6;802.124084;753.166809;113.130508;828.683899;1035.780762;424.865509;796.676270;1008.782410;287.985931;808.976746;674.264160;51.753117;778.900146;658.926453;50.560120;;;
7;802.155945;753.160461;113.121208;828.515320;1035.844116;425.023712;796.644165;1008.883850;288.002869;808.948303;674.272217;51.778297;778.855042;658.884338;50.558601;;;
8;802.145508;753.119019;113.165573;828.664673;1035.772095;424.961670;796.668152;1008.797729;287.985931;808.901306;674.161865;51.741203;778.892090;658.913147;50.468048;;;
9;802.124390;753.148193;113.177277;828.792786;1035.860474;424.892487;796.703918;1008.767151;288.005585;808.934387;674.140503;51.737942;778.877136;658.917725;50.458576;;;
10;802.131592;753.095398;113.205994;828.768005;1035.874023;424.903564;796.687866;1008.759277;287.989868;808.912720;674.135193;51.737213;779.013977;658.764771;50.131115;;;
11;802.175110;753.090576;113.210327;828.769775;1035.870483;424.895111;796.666138;1008.762268;287.972382;808.982178;674.146057;51.773251;778.984436;658.838745;50.336376;;;
