Präzision38;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/16;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:29:41;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;786.383240;810.326111;106.214325;802.030457;711.834290;89.574387;772.973694;695.747681;89.260933;691.907288;1034.558960;204.435165;684.463623;1122.766357;362.455048;;;;;;;;;
2;785.960999;811.086121;107.435677;802.694702;712.275452;90.997894;772.481201;696.559998;91.473892;691.674377;1035.876953;204.329880;684.524109;1123.529419;362.561005;;;;;;;;;
3;786.034546;811.618591;109.809372;802.215942;712.975037;93.902985;772.530579;697.141968;93.194099;691.345215;1037.039429;204.102768;684.535278;1124.416626;362.778351;;;;;;;;;
4;786.398621;812.420715;111.360313;801.864563;713.514954;95.709732;772.495178;697.604858;95.417480;690.956604;1038.233398;203.739426;684.646851;1125.287109;363.003662;;;;;;;;;
5;785.804382;813.092957;112.630913;802.288757;714.150452;98.187035;772.293274;698.258911;97.588692;690.726685;1039.583984;203.961929;684.499634;1126.170898;363.122070;;;;;;;;;
6;785.616638;813.720398;114.827560;802.168274;714.407349;100.779556;772.262512;698.677185;100.780357;690.347168;1040.750977;204.387344;684.287231;1127.250854;363.207855;;;;;;;;;
7;785.450195;814.197998;116.722343;802.104004;715.162109;102.703117;772.233276;699.534302;102.944412;690.021729;1042.088379;204.604782;684.287231;1128.316162;363.201324;;;;;;;;;
8;785.434753;815.366699;118.903206;801.804016;715.901245;106.002457;772.739197;700.178528;105.691719;689.673767;1043.565186;204.689941;684.153870;1129.427612;363.112457;;;;;;;;;
9;785.315857;816.115295;120.849197;802.396790;716.950378;108.609352;772.873108;701.066467;108.353073;689.187317;1044.769531;204.703491;684.059265;1130.553467;363.464813;;;;;;;;;
10;785.411133;816.874817;123.571075;802.214478;717.601563;111.801125;773.036621;701.310852;111.937988;688.712769;1046.303833;205.190964;683.885620;1131.777100;363.919098;;;;;;;;;
11;784.957764;817.575623;125.549988;802.611511;718.220093;114.947609;772.850403;702.225891;115.038986;688.595764;1047.858887;205.244370;683.728455;1133.037842;364.400085;;;;;;;;;
12;785.315308;818.811829;128.906784;802.429871;719.156006;118.292931;772.931274;703.462402;118.807991;688.343506;1049.445068;205.141266;683.491638;1134.335083;364.730927;;;;;;;;;
13;784.924927;819.737610;131.220657;802.947632;720.387878;121.718033;773.675476;703.998657;121.733566;688.031372;1050.972290;205.147568;683.519714;1135.809448;365.088837;;;;;;;;;
14;784.902222;820.644836;134.130829;803.246765;721.245422;125.208832;773.790894;704.815674;125.107635;687.515747;1052.455200;205.338486;683.652588;1137.216431;365.214783;;;;;;;;;
15;784.775635;821.629089;137.144226;803.374939;721.981995;129.393188;774.267761;706.239868;129.058929;687.049622;1054.120972;205.611923;683.780151;1138.550903;365.232880;;;;;;;;;
16;784.685730;822.915283;140.160446;803.832153;723.090332;132.586563;774.727051;707.209656;132.980392;686.611267;1055.511841;206.314026;683.801331;1139.914551;365.217743;;;;;;;;;
17;784.698181;823.997437;143.026718;803.839355;724.289551;136.789764;774.669983;708.246155;136.972626;685.750122;1057.335815;207.123520;683.922607;1141.474487;365.566162;;;;;;;;;
18;784.565491;825.365906;146.227493;804.021790;725.637390;141.137253;775.017029;709.640442;140.677383;685.126343;1058.836426;207.191223;683.557739;1142.915039;366.143860;;;;;;;;;
19;784.442383;826.701355;149.585938;804.719177;726.794067;144.444824;775.317566;710.541199;145.525131;684.777100;1060.798462;207.414230;683.385559;1144.317139;366.993378;;;;;;;;;
20;784.161987;828.024048;152.857834;804.749207;728.105835;148.346222;775.379761;711.869690;149.500458;684.353516;1062.433960;207.558670;683.182068;1145.699707;367.605469;;;;;;;;;
21;784.032532;829.393188;156.214828;804.767456;729.666016;152.557907;775.777100;713.052063;153.525436;683.544373;1064.628784;208.039307;683.042175;1147.053467;367.979950;;;;;;;;;
22;783.780212;830.979492;159.246201;805.256104;731.283264;156.175980;776.009094;714.568787;157.209305;682.598755;1066.278442;208.567764;683.016174;1148.502563;368.341125;;;;;;;;;
