Präzision54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;15:46:06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;830.881409;791.547668;118.526337;788.000488;1134.030884;394.934753;781.422852;1021.800720;262.300995;827.572754;703.739929;67.702736;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;830.232300;792.223145;120.544075;788.113647;1134.896729;395.057037;781.228821;1023.261292;261.961090;828.093018;703.612122;70.379761;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;829.722290;792.785767;121.661560;788.272095;1135.739868;395.141479;780.809570;1025.213501;261.191437;828.014404;703.644897;73.415726;796.330444;693.450684;66.775284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;828.949951;793.451355;123.503471;788.320923;1136.711182;395.102356;780.762268;1026.966187;261.177979;827.636536;703.767761;75.601532;795.590271;694.091309;68.924553;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;828.061340;794.761963;125.073547;788.328430;1137.688965;395.219849;780.575867;1028.937256;261.413116;826.640686;704.234985;77.715622;794.821594;694.912292;71.345932;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;827.080994;795.961182;126.670937;788.273621;1138.822144;395.239258;780.352478;1030.906738;260.994080;824.666016;705.879150;79.676918;794.557861;695.727722;73.790123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;826.286499;797.020142;128.774277;788.749512;1140.109985;395.462128;779.887085;1033.418457;259.975677;823.923645;706.470642;82.482780;793.628601;696.599548;76.546066;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;825.595886;798.110901;130.578644;788.899780;1141.530151;395.566742;779.312439;1035.655029;259.603149;823.793213;706.882446;86.060425;792.204468;697.456848;79.451546;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;824.668945;799.790955;132.737595;789.035767;1142.863525;396.008331;779.122681;1037.862793;259.623077;822.809814;708.088318;88.787476;790.874878;698.344788;82.224060;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
