Präzision01112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;16:09:22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;845.410645;980.558838;270.669830;827.390625;795.077209;102.698601;805.477661;683.280396;77.004700;831.951172;694.925598;78.716980;812.527527;1029.649292;450.664215;;;;;;;;;;;;;;;;;;
2;845.410645;980.558838;270.669830;826.838074;795.609741;103.309685;805.357483;683.211426;77.137886;832.025208;694.900024;78.769295;812.486145;1029.780518;450.601074;;;;;;;;;;;;;;;;;;
3;845.532288;980.616943;270.836731;826.810486;795.681030;103.343651;805.427979;683.171631;77.111382;832.387024;694.117798;79.050583;812.517944;1029.868774;450.615723;;;;;;;;;;;;;;;;;;
4;845.473938;980.689697;270.676697;826.915588;795.689575;103.236343;805.299072;683.113037;77.082146;832.587463;693.919556;79.235260;812.528381;1029.967529;450.647736;;;;;;;;;;;;;;;;;;
5;845.535522;980.637695;270.805298;827.004272;795.698364;103.315140;805.280396;683.105591;77.088799;832.671631;693.928223;79.258507;812.524841;1029.977295;450.652832;;;;;;;;;;;;;;;;;;
6;845.591125;980.602661;270.890198;827.035706;795.716370;103.342468;805.412537;683.070313;77.058510;832.642090;693.986145;79.276825;812.490173;1030.054810;450.703979;;;;;;;;;;;;;;;;;;
7;845.536072;980.665649;270.706696;827.070313;795.718384;103.335098;805.534485;683.026367;76.894287;832.660095;693.979553;79.167328;812.558228;1030.078003;450.746094;;;;;;;;;;;;;;;;;;
8;845.563599;980.618225;270.869019;827.041077;795.707703;103.340294;805.481873;683.063049;77.021454;832.622498;693.984619;79.151497;812.591736;1030.163940;450.742065;;;;;;;;;;;;;;;;;;
9;845.577759;980.584595;270.958160;827.095276;795.684692;103.337585;805.488220;683.166077;77.045479;832.755554;693.955017;79.251312;812.554504;1030.173462;450.751526;;;;;;;;;;;;;;;;;;
10;845.581970;980.615601;270.959473;827.107910;795.702393;103.300568;805.701599;683.018005;76.851067;833.046265;693.895691;79.081192;812.551758;1030.260132;450.771118;;;;;;;;;;;;;;;;;;
11;845.869141;980.772583;270.781097;827.145813;795.723083;103.284996;805.746277;683.094849;76.786209;832.787109;693.980164;79.211975;812.601624;1030.288086;450.756897;;;;;;;;;;;;;;;;;;
12;845.662109;980.661194;270.897003;827.164063;795.719971;103.298561;805.814819;683.011353;76.767815;832.676392;694.071350;79.184341;812.598145;1030.279297;450.736847;;;;;;;;;;;;;;;;;;
13;845.586792;980.625122;270.958160;827.170105;795.716736;103.320107;805.857971;683.043640;76.658745;832.794617;694.040161;79.251678;812.599792;1030.356323;450.775635;;;;;;;;;;;;;;;;;;
14;845.625610;980.603149;271.007477;827.167908;795.716248;103.279640;805.782654;683.034424;76.795105;832.842590;693.966492;79.284851;812.629028;1030.385498;450.801636;;;;;;;;;;;;;;;;;;
15;845.705017;980.589966;271.058472;827.230103;795.708496;103.339943;805.896851;683.012817;76.662994;833.013123;693.923340;79.184761;812.616638;1030.459717;450.805237;;;;;;;;;;;;;;;;;;
16;845.629211;980.594849;271.050568;827.222107;795.703186;103.326691;805.866638;683.095703;76.683525;832.851685;694.041077;79.236320;812.677612;1030.472778;450.863342;;;;;;;;;;;;;;;;;;
17;845.661377;980.612610;271.016144;827.228210;795.720947;103.325653;805.893616;683.016907;76.789558;832.875793;693.993530;79.282837;812.667542;1030.577759;450.856934;;;;;;;;;;;;;;;;;;
18;845.655090;980.608521;271.043427;827.239441;795.719849;103.325180;805.983032;682.983521;76.661743;832.896362;694.025818;79.274734;812.750793;1030.603882;450.848633;;;;;;;;;;;;;;;;;;
19;845.651917;980.601868;271.040649;827.241089;795.718079;103.325066;805.952576;683.093689;76.775940;832.811462;694.072571;79.274300;812.715271;1030.666870;450.859100;;;;;;;;;;;;;;;;;;
20;845.682861;980.613708;271.042938;827.270081;795.715942;103.352737;806.110596;683.020996;76.628403;833.064514;693.957397;79.155182;812.749695;1030.806519;450.761993;;;;;;;;;;;;;;;;;;
21;845.546570;980.648193;270.960663;827.298584;795.763794;103.339546;806.115234;683.026184;76.546234;832.944336;694.012573;79.244545;812.754639;1030.836670;450.772095;;;;;;;;;;;;;;;;;;
