Präzision01155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;10:10:21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;789.847717;789.194336;91.599510;677.236816;1101.655640;394.954437;713.492615;1071.203613;213.142166;780.157654;704.665161;29.015303;802.728943;687.907166;46.994381;;;;;;;;;;;;;;;;;;;;;;;;
2;789.853210;789.188171;91.579697;677.236938;1101.645874;394.944244;713.472168;1071.108887;213.111298;773.180298;688.638184;40.481560;801.444092;702.247375;40.694221;;;;;;;;;;;;;;;;;;;;;;;;
3;789.836975;789.133118;91.608192;677.264465;1101.637207;395.050476;713.445374;1070.993164;213.157913;770.946289;677.455078;47.630646;800.398254;704.240906;38.922623;;;;;;;;;;;;;;;;;;;;;;;;
4;789.653748;789.071106;91.743629;677.260925;1101.634888;395.070221;713.319336;1070.967163;213.175217;770.387756;671.306030;50.988659;800.577942;702.723572;39.670525;;;;;;;;;;;;;;;;;;;;;;;;
5;789.575317;789.045593;91.736252;677.268677;1101.632813;395.071716;713.173340;1070.873657;213.163330;770.923950;670.503662;51.121227;800.970886;701.888916;40.575947;;;;;;;;;;;;;;;;;;;;;;;;
6;789.483643;789.017334;91.899567;677.250305;1101.618774;395.115967;713.087158;1070.843872;213.217484;771.615051;674.775085;48.669342;801.020447;701.766968;40.735310;;;;;;;;;;;;;;;;;;;;;;;;
7;789.454041;788.965088;91.860443;677.215637;1101.703491;395.171173;713.001160;1070.743164;213.244965;772.157227;686.972168;42.082695;800.876648;701.753418;40.684811;;;;;;;;;;;;;;;;;;;;;;;;
8;789.294312;788.855408;91.939919;677.236877;1101.710938;395.224152;712.787781;1070.680786;213.367828;773.430786;690.310791;38.922825;800.745667;701.775940;40.557980;;;;;;;;;;;;;;;;;;;;;;;;
9;789.196228;788.808838;91.915390;677.238770;1101.782959;395.250427;712.616211;1070.661133;213.442200;773.553711;689.447144;39.229000;800.667847;701.727661;40.632618;;;;;;;;;;;;;;;;;;;;;;;;
10;789.066956;788.774170;91.997948;677.203369;1101.882324;395.292053;712.470703;1070.544922;213.516251;773.004150;688.558838;40.266262;800.607239;701.679260;40.607944;;;;;;;;;;;;;;;;;;;;;;;;
11;788.938171;788.667725;92.034317;677.134949;1101.969116;395.410156;712.239014;1070.583740;213.610992;772.935608;688.503052;40.483349;800.598389;701.552612;40.736671;;;;;;;;;;;;;;;;;;;;;;;;
12;788.788513;788.614746;92.120224;677.210815;1102.096924;395.617493;712.040649;1070.570190;213.745575;772.699768;688.489319;40.460678;800.547363;701.570740;40.739094;;;;;;;;;;;;;;;;;;;;;;;;
13;788.570374;788.540344;92.219460;677.142273;1102.173828;395.683838;711.850220;1070.540527;213.911987;772.625000;688.482422;40.463238;800.478882;701.602356;40.802273;;;;;;;;;;;;;;;;;;;;;;;;
14;788.365173;788.532471;92.392830;677.140808;1102.271729;395.864502;711.507080;1070.608643;213.999496;772.658875;688.501099;40.460388;800.422791;701.571655;40.896584;;;;;;;;;;;;;;;;;;;;;;;;
15;788.131958;788.474670;92.598640;677.070862;1102.473511;395.951508;711.329590;1070.698242;214.128265;772.657471;688.494080;40.546822;800.314819;701.662598;40.834396;;;;;;;;;;;;;;;;;;;;;;;;
16;787.854797;788.527771;92.858765;677.026489;1102.672119;396.083282;710.934937;1070.885254;214.261642;772.614136;688.572266;40.618717;800.193359;701.715454;40.857586;;;;;;;;;;;;;;;;;;;;;;;;
17;787.592712;788.669006;93.207199;676.996948;1102.954712;396.282379;710.594482;1071.011353;214.406204;772.611816;688.711182;40.772392;799.949036;701.864441;40.788937;;;;;;;;;;;;;;;;;;;;;;;;
18;787.224792;788.864380;93.500130;676.892944;1103.180542;396.376282;710.371643;1071.180420;214.492157;772.435242;688.666260;41.003418;799.750610;701.922668;40.954052;;;;;;;;;;;;;;;;;;;;;;;;
19;786.650391;788.989563;93.882362;676.832214;1103.462402;396.482147;710.200867;1071.452759;214.599213;772.213928;688.681030;41.451485;799.706787;701.969360;41.423336;;;;;;;;;;;;;;;;;;;;;;;;
20;786.299683;789.162903;94.185165;676.759399;1103.750610;396.691833;709.978577;1071.750000;214.730728;771.830139;688.580566;42.090714;799.635254;702.078125;41.952660;;;;;;;;;;;;;;;;;;;;;;;;
21;785.659180;789.423645;94.791016;676.582336;1104.180664;396.922852;709.821289;1072.018921;214.611298;771.500366;688.603760;42.923405;799.343018;702.380737;42.725475;;;;;;;;;;;;;;;;;;;;;;;;
