Präzision01164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;13:17:08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;806.397095;794.319946;110.022095;803.345032;692.075134;85.339836;826.427246;1132.284424;384.756226;781.041199;693.816406;66.598526;813.510437;1047.428589;177.223816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;806.317993;795.946777;112.524246;803.378357;693.713867;88.083374;826.747864;1133.457642;384.843201;777.583435;685.247925;75.586426;812.968445;1049.611938;177.139465;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;806.216125;797.820129;115.079163;802.888611;695.541077;91.736435;826.965332;1134.507080;384.846161;776.361023;685.075073;80.298843;812.660645;1052.069946;177.287735;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;805.707642;800.010681;117.147530;802.590271;697.438721;95.148491;827.147644;1135.704956;384.888885;776.658325;687.936707;82.790764;812.467346;1054.634399;177.171341;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;805.413879;802.471985;118.888306;802.583130;699.306763;98.157387;827.557983;1137.126099;385.057190;776.720825;690.290161;85.656441;812.484863;1057.134399;176.346207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;805.188599;804.548218;121.620064;802.478821;701.631348;101.821342;827.823853;1138.359497;385.026825;777.221680;692.429565;88.715775;812.467163;1060.101318;176.266022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;805.015381;807.227966;124.309624;801.960388;703.845032;105.490273;827.925171;1139.857544;384.884094;776.648621;694.139648;92.911369;812.026611;1062.788940;176.759644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;804.165833;809.530396;126.802956;802.320068;706.169861;109.219208;828.248596;1141.315063;385.224487;776.514465;696.523193;96.691544;811.668823;1065.623291;176.399399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;804.185913;812.237305;129.109024;802.268860;708.556030;113.413147;828.542114;1142.764771;385.475861;776.959106;698.802795;100.800461;811.627686;1068.618286;176.262283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;804.001892;815.039368;132.247131;801.789429;710.858276;117.503387;828.846252;1144.408569;385.646881;776.864868;701.054199;104.670891;811.443787;1071.568237;176.469086;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;803.325500;817.782043;135.023499;802.266052;713.474854;121.234238;828.946106;1145.756226;385.718964;776.375610;703.735413;108.629913;810.968384;1074.700073;176.698547;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;803.507568;820.622375;137.851196;801.647461;716.601563;124.599701;828.858093;1147.297363;386.240845;776.286987;706.229553;112.563942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;802.717712;824.030457;140.071747;801.301880;719.258667;128.908005;829.146912;1148.775146;386.528717;775.986816;708.836426;116.621216;;;;810.361938;1081.273438;176.687653;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;802.278198;826.973816;142.276382;800.551941;722.089172;132.813324;829.586853;1150.678955;386.805237;775.226135;711.571899;120.973419;;;;810.070618;1084.316650;176.713104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;801.466003;829.855713;145.824570;800.157715;725.276428;136.766113;829.903564;1152.322754;386.970581;774.536743;714.249207;124.810760;;;;809.631592;1087.572266;176.500153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;800.804443;833.024414;148.230835;799.939880;728.484985;139.846695;830.114624;1153.981934;387.001770;774.454041;717.585327;128.492264;;;;809.941467;1090.889893;177.006348;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;800.010193;836.381714;150.610703;799.549194;731.631531;143.553406;830.275696;1155.869385;386.819885;773.440430;720.835754;132.177505;;;;809.876526;1094.234009;177.488174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;799.594055;840.003906;153.004761;798.126831;734.728149;147.220047;830.677551;1157.620117;387.311829;772.854492;723.933044;135.922043;;;;809.280151;1097.716309;177.477249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;799.163635;843.464966;155.348633;797.680603;738.059204;150.542343;830.973511;1159.269531;387.615723;771.943115;727.254761;139.552307;;;;809.605347;1101.216064;177.647781;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;798.303040;846.779236;157.970642;796.899109;741.787476;153.312775;831.018127;1160.900879;388.071045;770.602966;730.560120;143.023117;;;;809.389099;1104.754761;178.031326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;797.528381;850.234558;160.093750;795.781311;745.173279;156.916306;831.259033;1162.508057;388.829468;769.263794;733.997742;146.590179;;;;808.700928;1108.130859;178.304810;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;796.218689;853.602722;162.600632;794.252991;748.565918;160.026840;831.606506;1164.266602;389.296631;767.733826;737.368958;150.620850;;;;808.697815;1111.705933;178.292664;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;795.570862;857.080078;164.724808;793.363953;752.089844;162.687225;832.054016;1166.078857;389.817047;765.953247;740.625732;153.714890;;;;808.864197;1115.147827;178.672867;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;794.365356;860.563660;167.077667;792.532471;755.572083;165.101089;831.919373;1167.799316;390.787720;765.074890;744.252686;155.455490;;;;808.257935;1118.379272;179.289642;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;793.828674;864.292480;169.016418;790.837585;759.148560;167.717911;831.948669;1169.463257;391.365448;764.619995;748.038757;157.688248;;;;808.133301;1121.869141;179.160568;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;792.814026;867.843445;170.715988;789.355286;762.753723;170.105911;832.324707;1171.124390;391.513794;763.509827;751.645203;160.175812;;;;808.607788;1125.445679;179.611420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;791.803284;871.480469;172.519257;788.203857;766.302063;172.556839;832.646545;1172.932861;391.610565;761.749268;755.073364;162.752457;;;;808.036621;1128.560547;180.325684;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;790.628479;874.923706;174.037308;786.402771;769.934326;175.105484;;;;759.835388;758.487549;165.934219;;;;807.639587;1131.776123;181.242798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;789.356750;878.519409;175.683456;784.766479;773.347961;177.637527;;;;757.837524;762.112610;168.887466;;;;807.995667;1135.308594;181.475800;832.645081;1176.180664;393.383881;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;788.152527;881.754456;176.987411;783.454529;776.849731;179.182831;;;;755.667297;765.810120;170.892685;;;;807.833618;1138.832642;181.573151;833.400391;1177.846558;393.757690;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;786.712036;885.421143;178.372772;780.905945;780.270508;181.133301;;;;754.226624;769.615723;171.416840;;;;;;;834.150269;1179.665894;394.014893;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;785.160889;888.843079;179.780426;778.783569;783.689880;182.228989;;;;753.361145;773.461182;172.122314;;;;;;;834.510620;1181.120361;394.267120;807.476440;1145.357788;183.411591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;783.963806;892.355042;180.791840;777.789795;787.144836;183.754242;;;;751.172668;776.736206;174.249084;;;;;;;834.656799;1182.721191;395.013733;807.343689;1148.358398;183.938095;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;782.533569;895.576294;182.352814;775.340942;790.584534;185.253799;;;;748.589661;780.230042;176.472443;;;;;;;834.822083;1184.042114;395.662689;807.109558;1151.362061;184.367813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;781.176575;898.840210;183.424957;773.356873;794.072449;186.509537;;;;745.912537;783.589661;178.260635;;;;;;;835.228577;1185.912842;396.095917;807.331116;1154.509644;184.615265;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;779.600586;902.146118;184.243225;770.809265;797.245605;187.502426;;;;744.324097;786.973328;179.137589;;;;;;;835.576660;1187.408936;396.577118;807.551575;1157.519043;185.096909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;778.195740;905.335144;184.802490;768.517944;800.290161;188.488754;;;;742.379089;790.362549;180.139313;;;;;;;835.723389;1188.753296;397.318481;807.070190;1160.316895;186.029984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;776.596802;908.524414;185.562927;766.898254;803.477417;189.916245;;;;739.677673;793.632690;180.915146;;;;;;;836.206299;1190.109131;398.338043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;775.230652;911.413696;186.456665;764.505981;807.039795;189.982178;;;;737.486145;797.198547;181.514481;;;;;;;836.768799;1191.531372;398.516693;;;;807.183777;1165.988647;187.353455;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;773.617615;914.457092;187.074173;762.396912;810.123352;190.595215;;;;735.510315;800.579102;182.053818;;;;;;;837.253296;1193.090210;398.841003;;;;807.188660;1168.579712;187.667618;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;771.914917;917.650208;187.621246;760.299133;812.822388;191.243195;;;;732.929993;803.596619;183.243332;;;;;;;837.198914;1194.162231;399.495270;;;;806.585693;1171.741943;188.140030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;770.638733;920.629333;188.125534;758.177673;816.057373;191.643295;;;;730.188354;806.736389;183.879120;;;;;;;837.052551;1195.426636;400.705963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;769.029846;923.526672;188.829529;755.969666;819.151672;191.967636;;;;727.769348;810.211914;184.566986;;;;;;;837.590393;1196.741211;401.374023;;;;;;;806.921631;1176.760010;189.652115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;767.244812;926.277100;189.102036;753.564575;821.595520;192.596756;;;;726.031799;813.515503;184.020096;;;;;;;838.247192;1197.953735;401.637177;;;;;;;806.725342;1179.213867;190.555786;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;765.834473;929.068481;189.396057;751.395081;824.819397;192.363297;;;;723.208069;816.662415;184.826935;;;;;;;838.898865;1199.172729;401.718170;;;;;;;806.528320;1181.788818;191.468506;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;764.384399;931.855591;189.610214;749.166809;827.699402;193.180191;;;;720.926514;819.323120;185.331497;;;;;;;838.938904;1200.220093;402.588257;;;;;;;806.518066;1184.201782;191.852600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;762.626160;934.713745;190.269958;747.341064;830.278320;192.918625;;;;718.304321;822.391418;186.506332;;;;;;;;;;;;;;;;806.581177;1186.838257;192.287445;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;761.159424;937.272583;190.414703;745.065063;833.174805;193.164963;;;;716.009766;825.232300;186.811218;;;;;;;;;;;;;;;;806.432434;1189.224487;192.811707;839.785645;1202.335938;403.549469;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;759.881714;939.797729;190.568466;742.494568;836.185730;193.457794;;;;713.867371;828.304077;186.496521;;;;;;;;;;;;;;;;806.410034;1191.279541;193.358368;840.325134;1203.614502;403.703674;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;758.157715;942.582031;190.435150;740.562317;838.609985;193.193741;;;;712.123352;831.295166;186.010269;;;;;;;;;;;;;;;;806.426392;1193.656616;193.831589;840.850586;1204.514404;403.992249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;756.677246;945.053589;190.629578;738.402527;841.329773;193.336746;;;;710.138733;834.180298;185.995926;;;;;;;;;;;;;;;;806.571228;1195.767456;194.212692;841.009155;1205.449585;404.580475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;755.596863;947.366150;190.716476;736.107178;843.806763;193.166321;;;;708.067261;836.748535;186.321274;;;;;;;;;;;;;;;;806.506531;1197.741333;194.667831;841.375793;1206.511597;405.186310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;753.661560;949.855042;190.704117;734.329346;846.533691;192.657288;;;;705.744995;839.320374;186.792892;;;;;;;;;;;;;;;;806.306152;1199.744019;195.629227;842.019409;1207.422485;405.587769;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;752.518188;952.318176;190.608841;732.472595;849.064819;192.382568;;;;703.568237;841.785461;186.631104;;;;;;;;;;;;;;;;806.502563;1201.575562;196.421982;842.710144;1208.274414;405.550140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;751.390442;954.600708;190.601074;730.468506;851.344604;192.764328;;;;701.485657;844.517395;186.201187;;;;;;;;;;;;;;;;806.891907;1203.864990;196.660309;843.074585;1209.572632;405.991547;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;749.873230;956.920776;190.331100;728.669617;853.684875;192.336563;;;;699.545776;847.229980;186.030823;;;;;;;;;;;;;;;;806.918518;1205.705322;197.062271;843.084534;1210.539307;406.448364;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;748.628357;959.108093;190.250046;727.339600;856.172546;191.621841;;;;697.525635;849.580872;185.901779;;;;;;;;;;;;;;;;806.828979;1207.723877;197.473068;843.474976;1211.315186;406.902832;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;747.559937;961.217896;190.146576;725.113159;858.712769;190.710999;;;;695.842896;851.983337;185.523758;;;;;;;;;;;;;;;;807.095032;1209.298828;197.856842;844.163818;1212.286865;407.243591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;746.184998;963.434448;189.786469;723.254639;860.643555;190.626465;;;;694.037354;854.579102;184.873047;;;;;;;;;;;;;;;;807.449707;1211.216675;198.010864;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;745.148071;965.485229;189.428589;720.871826;862.928589;189.964935;;;;692.439636;857.044006;184.275696;;;;;;;;;;;;;;;;807.640991;1212.833252;198.566925;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;744.183167;967.475342;189.176865;719.872314;864.820923;189.714249;;;;690.755066;859.355774;183.488632;;;;;;;;;;;;;;;;807.527588;1214.512085;198.976440;;;;845.417969;1214.853149;408.537262;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
