Präzision01162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:50:42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;758.815735;944.545654;285.404205;748.406799;1056.038452;445.128204;791.677368;656.645081;46.730976;807.062378;757.277161;105.104477;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;758.835144;944.484558;285.392914;748.445007;1056.017090;445.103882;802.469666;682.076904;35.179005;807.064636;757.326660;105.098503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;758.869385;944.497314;285.405182;748.459473;1056.048828;444.995392;811.327942;703.745422;25.139114;807.063721;757.346985;105.096054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;758.881592;944.466980;285.403137;748.482666;1056.080200;445.154724;;;;807.103333;757.409363;105.107124;797.877686;681.849487;32.736031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;758.949524;944.407898;285.371033;748.562500;1056.187866;444.963867;;;;807.135986;757.478210;105.106735;791.674927;656.659363;46.839561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;758.901489;944.348511;285.309509;748.539185;1056.068970;445.211731;;;;807.138916;757.486328;105.104233;788.377563;637.111450;58.452953;814.869812;682.283386;46.822765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;758.968872;944.385315;285.434235;748.619629;1056.163696;444.972137;;;;807.135437;757.480896;105.103859;;;;797.857239;681.844299;32.735596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;759.061646;944.415466;285.437012;748.558777;1056.150879;445.238190;;;;807.134155;757.478943;105.104263;;;;;;;791.700806;656.680847;46.821152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;759.078796;944.404541;285.459839;748.427795;1056.231201;445.159882;;;;807.134277;757.479065;105.104439;;;;;;;791.700806;656.680847;46.821152;814.948242;682.273865;46.836349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;759.235901;944.457275;285.434082;748.524780;1056.159058;445.325256;;;;806.986816;757.434631;105.137222;;;;;;;791.720337;656.676147;46.899921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;759.102905;944.395447;285.418335;748.689819;1056.244873;445.083466;;;;807.093384;757.471191;105.112335;;;;;;;791.718140;656.664429;46.932560;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;759.113037;944.386414;285.503113;748.671387;1056.206299;445.133667;;;;807.142273;757.423096;105.107826;;;;;;;791.714111;656.577881;46.910229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;759.137634;944.386475;285.501190;748.632996;1056.336304;445.100708;;;;807.143677;757.421997;105.106560;;;;;;;791.713257;656.548279;46.904732;;;;815.045410;682.271484;46.785397;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;759.156311;944.335754;285.493286;748.795837;1056.403931;444.936646;;;;807.155640;757.413696;105.112938;;;;;;;791.748413;656.525330;46.851921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;759.123474;944.278137;285.506073;748.664612;1056.386597;445.032501;;;;807.137695;757.307373;105.119751;;;;;;;791.731201;656.558533;46.880650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;759.152466;944.309143;285.578613;748.617310;1056.368652;445.235779;;;;807.132507;757.285767;105.122887;;;;;;;791.586182;656.475342;46.984921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;759.151794;944.393616;285.643921;748.582947;1056.366699;445.330231;;;;807.098022;757.289978;105.186378;;;;;;;791.678162;656.506470;46.879524;;;;;;;814.948242;682.273865;46.836349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;759.089417;944.387329;285.660706;748.776367;1056.490601;445.012482;;;;807.026672;757.215576;105.198090;;;;;;;791.735291;656.598145;46.827419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;759.111572;944.280090;285.622467;748.748840;1056.579834;445.020172;;;;807.037354;757.108521;105.209702;;;;;;;791.732544;656.564636;46.836548;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;759.108582;944.360840;285.687164;748.749329;1056.573853;445.112640;;;;807.022644;757.020508;105.207581;;;;;;;791.664856;656.469971;46.846569;;;;;;;;;;814.906433;682.144531;46.836082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;759.090698;944.413147;285.701721;748.883911;1056.695190;445.022919;;;;807.015259;756.908264;105.210815;;;;;;;791.589294;656.331909;46.910175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;759.100952;944.423218;285.826202;748.800781;1056.775635;445.103394;;;;806.936646;756.841125;105.267639;;;;;;;791.561584;656.187256;46.888493;;;;;;;;;;;;;814.729919;682.157898;46.701962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;759.093689;944.469482;285.791992;748.895020;1056.911011;445.015930;;;;806.903992;756.779541;105.297890;;;;;;;791.549866;656.157349;46.927269;;;;;;;;;;;;;814.666077;682.159485;46.782188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;759.084045;944.556396;285.778259;748.894836;1056.824951;445.233154;;;;806.827637;756.712402;105.366585;;;;;;;791.535889;656.099792;46.964813;;;;;;;;;;;;;814.777710;681.939148;46.572239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;759.052185;944.635376;285.918152;748.986938;1057.007935;445.013977;;;;806.820862;756.579834;105.443085;;;;;;;791.428040;655.990356;46.937405;;;;;;;;;;;;;814.799988;681.875061;46.570999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;759.135254;944.722107;286.013885;748.909058;1057.120361;445.097076;;;;806.807190;756.516907;105.424416;;;;;;;791.293701;655.905151;46.944496;;;;;;;;;;;;;814.718689;681.878540;46.576290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;759.255859;944.899414;285.984619;749.065125;1057.252441;444.964630;;;;806.810608;756.279602;105.566475;;;;;;;791.203186;655.776855;47.018215;;;;;;;;;;;;;814.557190;681.889099;46.607513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;759.125549;944.955017;286.018890;749.118652;1057.347656;444.871429;;;;806.825500;756.233643;105.635124;;;;;;;790.672180;655.792847;46.617851;;;;;;;;;;;;;814.446838;681.882751;46.534832;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;759.075684;945.111267;286.046173;749.127625;1057.481567;444.898560;;;;806.793152;756.021912;105.761719;;;;;;;790.402039;655.755615;46.465042;;;;;;;;;;;;;814.348999;681.786987;46.479763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;759.013855;945.238647;286.039978;749.136780;1057.589478;444.902924;;;;806.679382;755.864807;105.863533;;;;;;;790.355957;655.708191;46.513931;;;;;;;;;;;;;814.244324;681.735229;46.436871;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;759.006409;945.392761;286.059113;749.029907;1057.682007;444.832001;;;;806.625000;755.776794;106.001625;;;;;;;790.210571;655.602356;46.548275;;;;;;;;;;;;;814.123657;681.644287;46.431190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;758.950562;945.519348;286.053802;749.114746;1057.888916;444.900787;;;;806.527588;755.696655;106.233391;;;;;;;790.046631;655.519714;46.527126;;;;;;;;;;;;;813.860474;681.530884;46.659950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;758.847290;945.743469;286.001617;749.058044;1058.177002;445.181610;;;;806.523926;755.636108;106.286003;;;;;;;790.033508;655.589111;46.518726;;;;;;;;;;;;;813.599854;681.355103;46.569805;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;758.737305;946.075256;286.063965;749.022217;1058.354980;445.205841;;;;806.507202;755.563354;106.403740;;;;;;;789.968079;655.562256;46.499516;;;;;;;;;;;;;813.324890;681.137390;46.690887;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;758.575928;946.359985;286.079224;749.156433;1058.505249;445.211456;;;;806.466309;755.462402;106.503883;;;;;;;789.906555;655.552856;46.518169;;;;;;;;;;;;;813.272095;680.980103;46.848961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
