Präzision01165;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:51:01;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;752.934082;1044.223511;448.754242;764.102356;936.457031;284.349701;786.473755;661.060120;39.765072;809.084534;766.245972;90.325958;807.009338;681.441772;36.966324;;;;;;;;;;;;
2;752.829163;1044.296631;448.831573;764.084167;936.455444;284.282928;786.473755;661.060120;39.765072;809.269287;766.400208;90.379852;803.602600;681.995911;33.406902;;;;;;;;;;;;
3;752.902954;1044.316528;448.818237;764.132324;936.564270;284.252747;786.542786;661.040894;39.826523;809.187988;766.203369;90.290558;802.345520;682.460693;32.284889;;;;;;;;;;;;
4;752.957520;1044.336548;448.759155;764.132263;936.531494;284.260345;786.488525;661.064331;39.816189;809.248230;766.316528;90.358643;802.428040;682.310913;32.500317;;;;;;;;;;;;
5;752.999268;1044.337158;448.727753;764.151001;936.557312;284.263336;786.437195;660.968079;39.770279;809.297546;766.292603;90.386536;803.279480;682.047241;33.161499;;;;;;;;;;;;
6;753.038574;1044.434937;448.719269;764.142273;936.590881;284.255859;786.368408;660.898804;39.776760;809.279907;766.227112;90.369728;804.208862;681.898010;34.105419;;;;;;;;;;;;
7;752.999390;1044.457642;448.707611;764.238770;936.549683;284.245270;786.303772;660.835571;39.798183;809.265259;766.220703;90.378441;804.646179;681.616577;34.588634;;;;;;;;;;;;
8;753.092224;1044.558716;448.692719;764.200806;936.543396;284.292938;786.308411;660.820129;39.714127;809.263245;766.167175;90.389351;804.538330;681.599915;34.804874;;;;;;;;;;;;
9;752.995972;1044.595337;448.574310;764.137634;936.593384;284.283417;786.218689;660.754395;39.685135;809.292236;766.071411;90.264931;803.313721;681.668884;33.855724;;;;;;;;;;;;
10;752.905151;1044.652710;448.699615;764.189087;936.548462;284.297028;786.130371;660.749329;39.602818;809.297546;766.053772;90.204659;802.768555;681.828857;33.335587;;;;;;;;;;;;
11;752.972961;1044.701782;448.565857;764.114563;936.590881;284.348602;786.119690;660.787354;39.613052;809.243225;766.014832;90.161072;801.759033;681.737976;32.608456;;;;;;;;;;;;
12;753.119629;1044.804932;448.508545;764.115723;936.611816;284.359924;786.043945;660.783142;39.618225;809.180237;766.003418;90.155556;800.830750;681.710876;31.908907;;;;;;;;;;;;
13;753.101074;1044.938354;448.414063;763.970581;936.658508;284.366638;785.955994;660.665649;39.642128;809.122131;765.901978;90.068657;800.315857;681.579773;31.576180;;;;;;;;;;;;
14;753.023865;1044.946411;448.413208;763.826477;936.591919;284.464600;785.853821;660.659180;39.673603;809.115051;765.885498;90.047089;800.154724;681.586426;31.544950;;;;;;;;;;;;
15;752.854309;1045.040161;448.435791;763.755859;936.620972;284.492920;785.759155;660.695740;39.469639;809.142456;765.808044;90.060951;799.625183;681.430481;31.146400;;;;;;;;;;;;
16;752.994690;1045.218140;448.280823;763.745178;936.642639;284.476440;785.681702;660.712708;39.529499;809.056885;765.772217;90.006927;799.538513;681.422302;31.277922;;;;;;;;;;;;
17;753.204651;1045.369141;448.063507;763.640015;936.720581;284.482758;785.630920;660.717712;39.589363;808.956238;765.768982;90.013641;799.444336;681.340942;31.394543;;;;;;;;;;;;
18;753.302612;1045.403931;447.949219;763.587402;936.779724;284.493866;785.605957;660.767578;39.622101;809.153809;765.722351;90.170555;799.318115;681.310364;31.426529;;;;;;;;;;;;
19;753.180542;1045.659912;447.711761;763.422363;936.881287;284.543457;785.519775;660.796753;39.572155;809.217041;765.710999;90.240898;798.921387;681.295898;31.207500;;;;;;;;;;;;
20;753.148987;1045.725464;447.636200;763.301941;937.012207;284.523590;785.560791;660.854309;39.636932;809.072876;765.680237;90.153786;798.813538;681.315552;31.078516;;;;;;;;;;;;
21;753.299194;1045.910400;447.569366;763.180237;937.126526;284.548676;785.585327;660.873779;39.700878;809.200562;765.616211;90.307793;798.903381;681.348206;31.154911;;;;;;;;;;;;
22;753.342102;1046.038452;447.504059;763.084106;937.229675;284.601746;785.547058;660.859009;39.782059;808.937317;765.739014;90.195831;798.956970;681.341675;31.341797;;;;;;;;;;;;
23;753.345642;1046.142822;447.480286;762.998535;937.389221;284.590759;785.530151;660.868103;39.798065;809.130737;765.733582;90.400101;;;;;;;;;;;;;;;
24;753.281677;1046.247559;447.459686;762.861816;937.502930;284.624512;785.537659;660.880554;39.838058;809.178284;765.653503;90.467796;;;;809.537537;679.526917;41.492146;;;;;;;;;
25;753.007629;1046.439575;447.452271;762.725830;937.660278;284.613739;785.542969;660.963623;39.903687;809.106812;765.795349;90.526009;;;;809.499634;679.639160;41.451412;;;;;;;;;
26;753.081055;1046.553223;447.401459;762.659424;937.801636;284.627075;785.520508;661.060242;39.961704;809.096008;765.884827;90.595131;;;;;;;;;;;;;;;
27;752.955933;1046.745972;447.405243;762.448853;937.986023;284.612000;785.482910;661.179016;40.083920;809.042297;765.999268;90.688599;;;;;;;;;;;;;;;
28;753.000061;1046.944946;447.435852;762.270996;938.132019;284.717560;785.485718;661.313110;40.081322;808.925964;766.063110;90.802765;;;;;;;;;;;;;;;
29;753.137451;1047.113281;447.178009;762.073303;938.370239;284.633789;785.404968;661.439087;40.156288;808.724670;766.251404;90.834641;;;;;;;;;;;;;;;
30;753.217712;1047.346802;447.074768;761.927002;938.554077;284.591156;785.318604;661.590088;40.134281;808.376892;766.384644;90.847137;;;;;;;;;;;;;;;
31;753.101135;1047.589722;446.952972;761.722473;938.761292;284.582336;785.233032;661.735535;40.142056;808.100403;766.529724;90.738129;;;;;;;;;;;;;;;
32;753.193604;1047.894531;446.676239;761.517883;939.052551;284.507111;785.175964;661.823608;40.361912;807.886841;766.678589;90.809212;;;;;;;809.623352;680.277283;42.388161;;;;;;
33;753.256165;1048.226440;446.472961;761.298340;939.542297;284.351532;785.064453;662.020813;40.599426;807.724731;766.850952;91.000092;;;;;;;809.542175;680.390015;42.656116;;;;;;
34;753.161560;1048.358521;446.446808;760.990234;939.908386;284.192383;784.927856;662.180725;40.790123;807.376709;766.939758;91.520630;;;;;;;809.281860;680.514282;43.157322;;;;;;
35;752.906860;1048.554565;446.452087;760.923889;940.419800;284.090088;784.639954;662.250732;41.043354;807.203979;766.956909;91.853333;;;;;;;808.887024;680.625061;43.657185;;;;;;
36;752.686340;1048.587158;446.666565;760.708252;940.998535;284.003357;784.403809;662.310303;41.953663;806.946533;767.088928;92.303215;;;;;;;808.567322;680.671387;44.134613;;;;;;
