Präzision01161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;15:40:54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;787.642639;780.682739;95.922920;773.654114;675.859680;48.492023;839.439514;1090.667847;432.010620;793.141296;1001.467529;264.191864;801.694336;694.247559;45.778057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;787.575684;780.664185;95.928635;773.569092;675.824219;48.464664;839.434937;1090.655762;432.126434;793.473083;1001.803406;263.597412;801.771545;694.122559;45.896770;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;787.585083;780.630859;96.010315;773.482117;675.824951;48.311523;839.539429;1090.664307;432.135773;793.261536;1001.632690;264.003540;803.083313;692.751343;47.368565;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;787.585693;780.525696;96.045288;773.486938;675.862122;48.171879;839.589417;1090.644897;432.139435;793.181519;1001.872864;263.830994;803.566162;692.215393;47.914047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;787.451599;780.462280;95.917786;773.436951;675.839417;48.151844;839.647949;1090.630737;432.196594;793.232361;1001.956970;263.724060;803.394897;692.221680;47.975906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;787.406128;780.369568;95.939194;773.461548;675.793335;48.049248;839.666443;1090.695435;432.343811;793.202026;1002.046326;263.641235;803.283508;692.146606;47.972675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;787.309082;780.193604;95.943253;773.541443;675.823914;47.824814;839.744263;1090.707886;432.410736;792.801636;1001.955322;264.128540;803.148926;692.128418;47.966351;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;787.083191;780.211975;96.166267;773.576904;675.739380;47.833389;839.746887;1090.773804;432.539642;792.371094;1002.140564;264.403656;803.094238;692.080750;47.990543;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;786.977783;780.097412;96.343536;773.521057;675.715698;47.844093;839.814941;1090.842041;432.515106;792.322937;1002.249878;264.449158;803.185303;691.746765;48.283306;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
