Präzision01167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;15:57:19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;737.740906;950.875122;177.093018;790.337219;768.755005;72.362892;736.544250;1040.063110;302.681274;804.101868;682.734436;43.435593;784.872742;682.167847;25.614481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;737.743896;950.915894;177.023453;790.398010;768.686890;72.505470;736.555054;1039.966919;302.661713;803.888000;682.687927;43.579163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;737.606567;950.881409;176.860764;790.370728;768.691589;72.431465;736.628113;1039.947632;302.711273;803.846436;682.610107;43.570061;;;;781.830505;661.737244;36.018826;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;737.692688;950.905701;177.037933;790.666016;768.712708;72.345215;736.629456;1039.961670;302.730927;803.846252;682.595398;43.433151;;;;781.736145;661.715332;36.071255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;737.622009;950.808228;177.134491;790.463440;768.612610;72.534401;736.611816;1040.052734;302.750183;803.796326;682.645935;43.380550;;;;781.562134;661.651794;36.134876;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;737.573547;950.809326;177.102203;790.668457;768.623779;72.497330;736.634766;1040.057251;302.811798;803.462463;682.688843;43.614433;;;;780.987915;661.726990;36.189114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;737.539856;950.794739;177.094452;790.750427;768.651428;72.419846;736.674500;1040.047485;302.803589;803.274109;682.518799;43.655506;;;;780.787842;661.728027;36.216942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;737.593689;950.772156;177.093933;790.702454;768.562439;72.482750;736.734436;1040.062012;302.757233;803.051758;682.498413;43.740295;;;;780.404785;661.694214;36.501476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;737.487366;950.664673;176.909760;790.705444;768.561584;72.602112;736.919373;1040.258545;302.866241;802.877136;682.468445;43.830479;;;;780.537231;661.551880;36.934963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;737.424561;950.738953;176.841629;790.425476;768.670349;73.047859;736.889099;1040.182373;302.882629;802.545227;682.521423;44.089020;;;;780.413452;661.444031;37.349018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;737.522644;950.810669;176.801910;790.277222;768.674255;73.400192;736.820984;1040.164063;303.001831;802.272522;682.439758;44.474922;;;;780.320190;661.589111;37.893646;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;737.608948;950.932678;176.855057;790.110901;768.676270;73.552933;736.994629;1040.226685;303.064087;802.031372;682.332520;45.565155;;;;780.237549;661.779297;38.829109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;737.550903;951.146362;176.897980;789.959778;768.674255;73.831337;737.065186;1040.370239;303.020264;801.572327;682.242920;47.248398;;;;779.867798;661.928589;39.786331;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;737.464294;951.398315;176.774216;789.755066;768.715637;74.199333;737.126770;1040.504028;302.970490;800.818909;682.698364;48.033081;;;;779.515625;661.820251;40.534748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;737.426575;951.739929;176.467499;789.549133;768.789612;74.451111;737.072693;1040.492188;303.019012;800.530884;682.297180;48.992027;;;;779.117004;661.590881;41.251617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;737.354675;952.242004;176.186844;789.301453;768.949768;74.996147;737.047180;1040.589355;302.971375;800.224792;682.053650;50.027901;;;;778.707092;661.654846;42.044418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;737.360291;952.880493;175.742844;789.225281;769.183105;75.629150;737.004578;1040.758301;302.832855;799.857422;682.078613;51.195705;;;;778.360291;661.878113;43.137791;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;737.264221;953.468506;175.526535;789.035706;769.410034;76.338493;736.955933;1040.976440;302.771484;799.321228;682.191833;52.373966;;;;777.823792;662.023743;44.381191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;737.121643;953.892090;175.372787;789.363708;769.513245;77.521751;736.857727;1041.325439;302.664673;798.902344;682.329407;53.478458;;;;776.881714;662.101685;46.068375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;737.032288;954.397583;175.253708;789.391235;769.704163;78.410416;736.765808;1041.866455;302.724487;798.918884;682.394226;54.822041;;;;776.503235;662.217163;47.203671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;737.069031;954.918396;175.013962;789.159790;770.006287;79.348465;736.635315;1042.385010;302.708466;798.617432;682.567505;56.634457;;;;776.234436;662.312378;47.799019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;736.794861;955.721313;174.801163;788.819580;770.462097;80.370842;736.574341;1043.001709;302.590149;798.324158;682.368958;59.219742;;;;775.389160;662.898132;50.355194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;736.638245;956.816956;174.525101;788.641357;770.965942;81.490707;736.457031;1043.740356;302.411957;798.124939;682.654663;60.507835;;;;775.044739;663.290833;52.374092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;736.610962;957.939148;174.239105;788.462769;771.578430;82.688385;736.312866;1044.523682;302.104889;797.501892;683.209778;62.462555;;;;775.386475;663.660583;53.655106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;736.697754;959.158813;173.643021;788.382324;771.912598;84.502853;736.171143;1045.616821;301.678284;797.217224;684.165039;63.714558;;;;775.440247;663.920715;55.209606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;736.799377;960.561157;173.432373;788.452942;772.486328;86.041359;736.059998;1046.734375;301.438721;797.419373;684.494934;66.938278;;;;775.371826;664.448181;57.753719;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;736.583130;962.042664;173.298553;788.202820;773.460022;87.857574;735.920105;1047.845947;301.403992;797.561218;685.122437;69.212502;;;;775.097351;664.777893;60.192616;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;736.501038;963.750916;173.438660;787.954773;774.034973;89.586800;735.795593;1049.034546;301.496155;797.809265;685.605713;72.287834;;;;775.605957;665.516846;62.894295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;736.296997;965.571594;173.553818;788.224731;775.134155;92.207886;735.576477;1050.536865;301.636902;797.764587;686.403809;74.734276;;;;775.355042;666.295837;65.816963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;735.726746;967.028259;173.236069;787.778992;776.291687;94.258583;735.397217;1052.037109;301.312622;798.126404;687.089111;78.042038;;;;775.648376;667.316528;69.457008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;735.572571;969.043518;173.351410;787.636292;777.191711;96.510986;735.196716;1053.680664;300.543701;798.007751;688.558289;81.351746;;;;776.545105;668.387146;71.759323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;735.217468;971.035706;173.832825;787.674133;778.568176;99.293396;734.906921;1055.125488;300.357300;798.152405;689.842102;84.987671;;;;776.964233;669.381104;74.882324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;734.695984;973.055908;173.860931;787.566589;780.038940;101.397369;734.391357;1056.659424;300.428650;798.729248;691.039368;88.380257;;;;777.074158;670.664856;78.889778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;734.006409;975.468750;174.047943;787.827271;781.544922;104.474754;733.943359;1058.294434;300.843658;798.840332;692.535645;92.003212;;;;777.479309;672.150513;82.636940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;733.844604;978.106262;173.519989;788.116516;783.511597;107.420662;733.709656;1060.202271;300.728973;799.494507;693.926514;95.828148;;;;778.099548;673.339905;86.471626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;733.493530;980.721008;173.403793;788.320496;785.408447;110.472099;733.574829;1062.248901;300.696228;799.679626;695.324036;99.488281;;;;778.405212;674.777832;90.186615;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;732.929504;983.455750;173.770493;788.325500;787.552551;113.657974;733.277161;1064.266357;300.587250;800.513489;697.480408;103.001884;;;;778.556763;676.906555;94.372925;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;732.689087;986.342834;174.382843;788.403442;789.475220;116.655838;732.906677;1066.243164;300.686676;800.645935;699.757813;107.068123;;;;778.383179;678.847961;99.181229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;731.575195;988.929749;174.600983;788.171875;791.610168;120.058044;732.583801;1068.380859;300.936218;800.930786;701.798218;111.563980;;;;779.487488;680.853088;103.084312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;730.732849;991.794556;174.977249;788.286072;794.127502;123.768532;732.084412;1070.548950;300.786316;801.936035;703.843811;116.016136;;;;780.299500;683.058105;107.106995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;730.144592;995.031494;175.680206;788.476196;796.831177;127.091454;731.438721;1072.684570;300.487579;802.048767;706.318237;119.507835;;;;781.066162;684.992310;110.997063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;729.442932;998.548462;175.533142;788.757568;799.612793;130.229202;730.930603;1074.961426;300.740723;801.955017;709.218323;124.177094;;;;781.554749;687.666870;115.263847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;728.797852;1002.006348;175.773636;788.304077;802.569214;133.876556;730.309692;1077.016235;301.280853;802.550537;711.826965;127.982430;;;;782.111206;690.335449;119.669067;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;728.200562;1005.185608;175.982681;787.874207;805.254578;137.598740;729.667236;1079.483765;301.495636;803.238586;714.630188;132.705597;;;;782.671326;693.180603;123.867180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
