Präzision01166;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/28;;;;;;;;;;;;;;;;;;;;
Time:;11:54:48;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;832.619995;762.177185;72.194115;835.435547;976.985535;197.932449;792.900757;653.173401;39.170685;849.731934;1053.919312;414.083313;809.146240;676.834412;34.352760;;;;;;
2;832.584778;762.210510;72.162636;834.708679;976.963867;198.085052;792.876831;653.159424;39.184063;849.821899;1053.940308;414.047882;809.656311;676.764709;34.912029;;;;;;
3;832.575073;762.230103;72.204468;835.177856;977.004150;198.034103;793.055725;653.206238;39.338043;849.828796;1053.924438;414.072693;809.430359;676.688721;34.816353;;;;;;
4;832.606262;762.207886;72.285980;834.777405;976.962036;198.079330;793.143005;653.268372;39.520016;849.817627;1054.012695;414.098969;808.874573;676.834717;34.080055;;;;;;
5;832.570435;762.231140;72.328308;834.574768;976.950256;198.080688;793.099365;653.265503;39.543396;849.909058;1054.050537;414.080261;808.691345;676.997131;33.956314;;;;;;
6;832.564514;762.283386;72.390411;834.360352;977.044373;198.126953;793.088318;653.320496;39.644554;850.045898;1054.050537;414.019257;808.687744;677.131409;33.939835;;;;;;
7;832.510315;762.317566;72.475220;834.237305;977.287842;198.046768;793.257629;653.292236;39.945530;849.760254;1054.041382;414.323303;808.998901;677.109131;34.231525;;;;;;
8;832.469238;762.418579;72.624313;834.048828;977.453186;197.948654;793.424683;653.434143;40.136570;850.109436;1054.006226;413.960999;809.360352;677.156311;34.570610;;;;;;
9;832.512146;762.521790;72.947136;833.833984;977.662659;197.798386;793.638184;653.534546;40.337711;850.489075;1054.031860;413.645538;809.817017;677.347595;34.974945;;;;;;
10;832.453308;762.691101;73.221725;833.519287;978.033081;197.690460;793.869263;653.714966;40.465187;850.320557;1053.967896;413.696106;809.782654;677.436035;34.901482;;;;;;
11;832.497070;762.875366;73.453148;833.463684;978.227173;197.671082;794.118835;653.930908;40.682529;850.440369;1053.898071;413.624573;809.645386;677.522217;34.805565;;;;;;
