Präzision01158;;;;;;;;;;;;;;;
Date:;2025/04/28;;;;;;;;;;;;;;
Time:;14:05:10;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;780.212585;748.134338;126.768196;772.898193;646.898926;75.348007;777.316650;982.103577;246.797256;840.462402;1086.842041;410.662994;790.513123;665.187256;66.919319
2;780.075928;748.197388;126.811646;772.798279;646.909851;75.427963;777.377563;982.104553;246.808105;840.546326;1086.850830;410.700775;791.071655;665.120972;67.432022
3;780.167480;748.138611;126.782150;772.791260;646.933960;75.378540;777.456238;982.074341;246.944824;840.604065;1086.822632;410.769012;796.893616;663.096619;72.382202
4;780.189209;748.122803;126.787956;772.697144;646.926636;75.288849;777.479919;982.064026;246.982300;840.578491;1086.893311;410.870758;799.890686;661.936157;75.303490
5;780.088989;748.189514;126.809128;772.695129;646.915222;75.316498;777.562134;982.071472;246.928085;840.424622;1086.991333;411.020569;800.098389;662.131592;76.065407
6;780.085083;748.086487;127.044052;772.577759;646.955017;75.312874;777.694641;981.998596;246.897461;840.425659;1086.996948;411.114410;799.085083;662.234314;74.849617
7;780.092957;748.114746;126.841667;772.486877;646.945129;75.258942;777.781067;982.017395;247.071564;840.820007;1087.077148;411.009033;798.530151;662.438171;74.181519
8;780.110107;748.134521;126.819481;772.447144;647.064209;75.265480;777.761475;982.026062;247.126328;840.718628;1087.127319;411.038605;798.572021;662.413330;74.218605
9;780.121582;748.233215;126.837463;772.422302;647.095398;75.298027;777.856873;982.044617;247.157166;840.681030;1087.239746;411.064880;798.639832;662.497498;74.323349
10;780.154541;748.154541;127.099770;772.338135;647.089294;75.236725;777.903320;982.039490;247.152740;840.832092;1087.244385;411.184845;798.638184;662.530823;74.354523
11;780.143921;748.125061;127.140129;772.263733;647.071411;75.195206;777.922668;982.031311;247.137589;841.026978;1087.304932;411.130035;798.685303;662.538391;74.478897
12;780.108337;748.129700;127.134186;772.128235;647.118286;75.218781;777.912354;982.038879;247.218643;840.998962;1087.323730;411.191315;798.519714;662.510132;74.482758
13;780.049927;748.136902;127.058868;772.070435;647.123596;75.239334;777.929382;982.018066;247.277344;840.713806;1087.323853;411.159027;798.524780;662.522949;74.521889
14;780.017517;748.231384;126.744713;771.986633;647.118896;75.237030;777.778137;982.045837;247.030777;840.796143;1087.400024;411.326141;798.558655;662.445679;74.579315
15;779.884094;748.265015;126.688484;771.848999;647.113892;75.141861;777.946350;981.958679;247.145859;840.947937;1087.416016;411.162109;798.441895;662.460388;74.606285
16;779.845276;748.259888;126.710785;771.732178;647.129272;75.154793;777.988403;981.895752;247.265839;841.124146;1087.501099;411.212402;798.326233;662.417603;74.564613
17;779.765198;748.263062;126.658684;771.669373;647.102356;75.116669;777.888245;981.875427;247.342560;841.110718;1087.560913;411.125244;798.253540;662.418579;74.686615
18;779.647522;748.260376;126.602119;771.572571;647.135742;75.129333;777.835388;981.798035;247.358215;841.108032;1087.578979;411.067749;798.113220;662.377869;74.663376
19;779.584534;748.227600;126.790169;771.408630;647.022705;75.184647;777.808838;981.783569;247.317566;840.983643;1087.667480;411.157471;797.954346;662.378540;74.693077
20;779.342285;748.378662;126.537964;771.317871;647.094360;75.141251;777.677551;981.764343;247.406998;840.861450;1087.837769;411.022278;797.901184;662.504639;74.836479
21;779.200623;748.409546;126.430847;771.242981;647.125610;75.131210;777.548828;981.698730;247.432510;840.960449;1087.961792;410.981995;797.872375;662.526184;74.928505
22;779.055481;748.422729;126.360855;771.075073;647.132263;75.095970;777.476440;981.664063;247.415802;840.921204;1087.952881;410.975403;797.815186;662.500854;74.961723
23;778.731995;748.553345;126.297478;770.953308;647.131470;75.062790;777.422668;981.627930;247.442871;840.925903;1088.124268;410.992096;797.759033;662.406799;75.067566
24;778.522583;748.735779;126.222290;770.915405;647.237915;75.070435;777.300476;981.681885;247.426407;841.005493;1088.275146;410.885101;797.621338;662.533447;75.068405
25;778.341064;748.898438;126.194099;770.913513;647.275574;75.040504;777.200928;981.701233;247.314148;840.898621;1088.383911;410.835114;797.541260;662.596924;75.083771
26;778.142517;749.073303;126.156960;770.948975;647.418579;75.118721;777.009583;981.715454;247.351654;840.728333;1088.559570;410.980072;797.415771;662.776306;75.115616
27;777.995850;749.225952;126.196205;770.905945;647.488708;75.147598;776.842651;981.822693;247.424835;840.759583;1088.643921;410.990448;797.455322;662.842957;75.205124
28;777.824219;749.550476;126.260117;770.926636;647.610840;75.155823;776.664246;982.032715;247.397430;840.923767;1088.848267;410.911743;797.364075;663.083069;75.249046
29;777.597046;749.801880;126.430504;770.910706;647.781799;75.222725;776.507568;982.269714;247.332382;840.953308;1089.057983;410.906586;797.335571;663.268555;75.387543
30;777.435669;750.027222;126.415779;770.913452;648.038940;75.340195;776.283569;982.587769;247.294525;840.854065;1089.158813;411.023590;796.345825;664.282654;74.584000
31;777.397156;750.407715;126.439293;770.937927;648.325073;75.702141;775.934998;982.997803;247.322510;840.821289;1089.353638;411.119232;796.810181;664.011292;75.459213
32;777.289124;750.750122;126.330589;770.862061;648.612549;76.338478;775.552368;983.443237;247.180954;840.752502;1089.568237;411.236816;797.592285;663.950500;76.919960
33;776.959656;751.377258;126.790916;770.695251;648.719788;77.133812;775.282043;984.074585;247.199173;840.682983;1089.765503;411.321381;797.645081;664.342102;78.286514
34;776.564026;751.964233;127.391472;770.427734;648.879761;78.340523;774.906189;984.707031;247.330078;840.686462;1089.969238;411.401001;797.142944;664.740234;78.618179
35;776.001343;752.674377;127.798798;769.754333;649.446655;79.636749;774.627991;985.245178;247.132492;840.971191;1090.196289;411.452789;796.502686;665.130676;78.933319
36;775.642700;753.231140;128.375305;769.286621;650.089172;80.393051;774.614868;986.240479;247.117493;840.784119;1090.385742;411.543701;796.069092;665.385681;79.754128
37;775.364319;754.037048;129.039993;769.248596;650.755737;81.027138;774.610046;987.444885;246.880920;840.647522;1090.788940;411.763245;796.054016;665.575134;80.843277
38;775.031311;754.760620;129.511444;769.245361;651.386353;81.814041;774.231079;988.470520;246.612427;840.617249;1091.140625;412.356659;796.184875;665.927307;82.378456
39;774.903992;755.665405;130.494736;768.940857;651.945313;82.792389;773.984497;989.553162;246.650040;840.305115;1091.615967;412.481903;796.242126;666.904175;84.007103
40;774.320374;756.616760;131.657257;768.742615;652.711670;83.775856;773.503296;991.031982;246.818756;840.289429;1092.142700;412.615662;795.703552;667.942139;84.954086
41;773.734009;757.460632;132.365967;768.361267;653.355713;85.360153;773.266296;992.335205;246.648026;840.364807;1092.800781;412.603363;796.147522;669.187317;86.491051
42;773.210388;758.583008;133.498398;767.704224;654.150085;87.157509;773.096985;993.825317;246.475327;840.339050;1093.583984;412.492889;794.776611;669.491455;87.819229
43;773.083313;759.563599;135.272766;767.088562;655.285095;88.932259;772.681091;995.755859;245.820602;840.409607;1094.283447;412.450348;793.595703;670.069885;89.140739
44;772.255737;760.455872;136.615387;766.789856;656.282715;90.565002;772.234619;997.400635;245.538483;840.408447;1095.020630;412.509491;792.711487;671.205505;91.136032
45;771.561707;761.839905;137.665070;766.416748;657.119324;91.896057;771.512573;999.206848;245.895889;840.117004;1095.963745;412.821686;792.315979;672.398865;92.728600
46;770.684326;763.355774;139.185822;765.348328;658.195862;93.858765;771.311401;1000.963501;246.366470;840.259888;1097.037354;412.915131;792.503784;673.528137;95.143372
47;769.991272;764.393005;140.597351;764.145996;659.870544;96.242493;770.751465;1003.025269;246.044556;840.287476;1098.134644;412.935028;791.265564;674.267517;96.910225
48;769.047119;766.165100;141.952072;763.618958;661.026367;98.122849;770.099182;1005.240784;245.612305;840.219910;1099.097046;412.918396;790.024536;675.983765;98.269081
49;767.926025;767.747620;143.557419;762.427307;662.076660;100.633789;769.414063;1007.272522;245.451935;840.581909;1099.898682;412.727692;789.610779;677.103088;100.783272
50;767.060547;769.426819;145.091125;761.634460;663.605591;102.692261;769.131409;1009.571838;245.624451;841.025452;1100.792725;412.711700;788.500488;678.061218;102.808395
51;765.789856;771.268860;146.763382;760.591614;665.279785;104.866669;768.770569;1011.923889;245.382599;841.146912;1101.848755;412.747833;787.198303;679.935730;105.337860
52;764.679626;772.865601;148.945282;759.313782;666.880432;107.009285;768.455994;1014.423157;245.015884;841.113831;1103.033325;412.842499;785.965576;681.342712;107.849579
53;763.374634;774.980713;150.876373;757.801208;668.661804;109.301582;768.143188;1017.228516;245.222610;840.727905;1104.298096;413.162964;784.832214;683.048767;110.200943
54;762.042725;776.795288;152.528976;756.310059;670.421326;111.811081;767.146973;1019.827515;245.356628;840.360229;1105.418579;413.407227;783.988342;684.876892;112.709839
55;760.897156;779.172852;154.230026;754.753174;672.474731;114.193512;766.464355;1022.367798;244.791458;840.557922;1106.683228;413.432007;782.101624;686.569336;115.047478
56;759.467896;781.302307;155.916550;753.955200;674.426086;116.230545;766.215759;1025.022461;244.833557;840.741638;1107.992554;413.579926;781.015442;688.721497;116.940445
57;758.330505;783.717957;157.814896;752.172180;676.578796;119.039925;765.622253;1027.995605;245.144501;841.085693;1109.066040;413.773712;779.017822;690.827759;119.397461
