Präzision08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/05/06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:09:03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;796.794250;788.243652;114.661041;789.773560;691.523560;80.984116;743.147339;1100.449707;357.917511;759.659912;686.553772;73.688461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;797.203552;789.943665;117.444664;790.195496;693.260437;84.508049;742.769226;1102.476196;357.859192;760.455994;687.354065;76.993942;752.916504;1042.725586;194.868942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;797.086609;791.951965;119.869659;790.769226;694.568359;87.729248;742.360535;1104.324341;358.148132;760.851746;688.602722;80.437141;751.873413;1045.158813;194.571152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;797.115662;793.960693;122.308899;791.257751;696.276062;91.635262;741.899719;1106.356201;358.548584;761.408752;690.208374;83.980499;750.792419;1047.792114;193.753555;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;796.905212;796.094971;125.214607;791.854614;698.070190;95.876411;741.423828;1108.558472;358.550140;762.396179;691.458923;87.693245;750.044861;1050.828979;193.557541;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;796.815857;798.464172;128.096130;792.822083;699.832642;99.120216;741.367798;1111.072144;357.775024;763.224121;693.335632;91.581604;748.996582;1053.489014;193.334366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;796.727417;800.604431;130.724899;793.299866;702.132751;103.131889;741.225037;1113.440918;357.427917;763.668396;695.066528;95.669426;747.838318;1056.367188;192.587494;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;796.688110;803.442871;133.367004;794.346558;704.277405;106.814545;740.939636;1115.826050;357.277893;764.244385;697.318420;99.420807;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;796.880249;806.276978;136.544373;794.756042;706.619751;110.876610;740.461121;1118.346436;357.137024;764.995361;699.466858;103.331017;;;;745.472351;1062.851074;192.543747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
