Präzision09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/05/06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:09:06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;797.412537;768.377075;92.768913;758.724548;1008.783569;213.052353;794.158630;681.856995;39.057388;763.302185;1076.003418;369.275482;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;797.127136;768.238403;93.190155;758.853271;1008.855286;212.778107;794.083679;681.751160;38.916634;763.188354;1076.195190;369.292084;772.391174;685.446289;24.665504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;797.025696;768.152893;93.469208;758.774170;1008.942566;212.735947;793.835388;681.850525;39.274910;;;;771.982788;685.202087;24.718912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;797.026123;768.244263;93.539742;758.511719;1009.236572;212.918671;793.581421;681.852966;39.851631;;;;771.200073;684.832275;25.175995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;796.768921;768.418152;93.722557;758.185425;1009.488037;213.095627;793.299988;681.871460;40.294689;;;;770.494873;684.597534;25.747683;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;796.505493;768.621399;94.135498;757.878296;1009.793823;213.291687;793.192749;681.750916;41.028233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;796.117615;768.903503;94.252266;757.639282;1010.228333;213.446503;793.133911;681.727905;42.014614;;;;;;;764.145935;673.946411;36.765034;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;795.670166;768.777649;95.330254;;;;792.753479;681.478516;42.959881;;;;;;;763.655884;673.964233;37.549316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;795.108643;768.672913;96.108467;;;;792.349426;681.452332;43.979916;;;;;;;763.136597;673.979309;38.433514;757.269958;1011.177612;213.663315;762.686646;1078.286499;369.455170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;794.260071;768.936279;97.034973;;;;791.982605;681.260376;45.459412;;;;;;;762.533569;674.076050;39.315495;;;;762.720032;1078.724731;369.480499;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;793.491394;769.450684;97.515343;;;;791.532227;681.257446;46.807774;;;;;;;762.059692;674.193970;40.108433;;;;762.635681;1079.260742;369.403259;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;792.857178;769.781921;98.525093;;;;790.679565;681.320374;48.281666;;;;;;;761.595825;674.354797;40.946201;;;;762.521790;1079.796265;369.417175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;792.355225;770.143311;99.829826;;;;789.863220;681.424011;49.344563;;;;;;;761.001953;674.672058;42.314930;;;;762.522766;1080.508057;369.434906;757.213562;1014.317078;212.295242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;791.842590;770.614197;101.101608;;;;789.262512;681.650146;51.023251;;;;;;;760.482544;674.866089;43.790375;;;;762.528503;1081.285034;369.355682;756.969849;1015.458130;211.944763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;791.314453;770.985779;102.246780;;;;788.685730;681.743652;53.156010;;;;;;;759.947449;675.151306;45.441208;;;;762.531921;1082.123169;369.441467;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;790.892944;771.641357;103.531433;;;;788.620544;681.728455;55.059826;;;;;;;759.736633;675.533875;47.341713;;;;762.312317;1083.204102;369.251221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;790.644531;772.215637;104.766335;;;;788.230347;681.837341;57.278847;;;;;;;759.376404;675.822510;48.895130;;;;762.236267;1084.376221;369.022217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;790.209045;772.713440;106.803467;;;;787.600403;682.182312;59.308956;;;;;;;758.909668;676.146057;50.712929;;;;762.244385;1085.542603;368.743225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;789.821594;773.294189;108.252243;;;;787.408203;682.439270;61.433662;;;;;;;758.620972;676.556030;53.472519;;;;761.995056;1086.759033;368.750488;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;789.627869;774.437866;109.864334;;;;787.271729;682.798767;64.141037;;;;;;;758.657043;676.892883;55.571583;;;;761.693176;1087.866089;368.962524;;;;755.166809;1023.826965;209.701935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;789.651123;775.371155;111.509766;;;;787.327881;683.173279;66.622833;;;;;;;758.446350;677.204712;58.213276;;;;761.543396;1089.083740;368.843689;;;;754.113831;1025.713867;210.081177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;789.575684;776.050537;113.770599;;;;787.228516;683.836182;69.547882;;;;;;;758.752075;677.403870;60.889996;;;;761.382263;1090.599487;368.674194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;789.238708;777.026672;115.609024;;;;787.279663;684.672913;71.865784;;;;;;;758.593506;677.953125;64.103409;;;;761.406616;1091.982544;368.544647;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;789.159302;778.251160;117.215225;;;;787.400391;685.525330;74.849167;;;;;;;758.613464;678.586792;67.590652;;;;761.260254;1093.505371;368.146423;;;;;;;753.261902;1030.842773;208.845016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;789.114197;779.559265;119.813293;;;;787.531433;686.124268;77.538132;;;;;;;758.901672;679.201904;70.148163;;;;761.204834;1095.030151;367.874878;;;;;;;752.639038;1032.908569;208.642960;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
