Präzision15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;13:25:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;799.371277;777.804749;85.344925;802.902405;665.112366;45.136307;718.574402;1021.289795;385.218750;818.783325;687.791687;39.676186;715.052734;1048.676514;214.222519;;;;;;;;;;;;;;;
2;799.406128;777.811218;85.357208;802.907837;665.117554;45.068047;718.576416;1021.273499;385.174652;818.789612;687.772583;39.627514;715.067932;1048.583618;214.194946;;;;;;;;;;;;;;;
3;799.364075;777.818848;85.331207;802.859436;665.089844;45.144798;718.540771;1021.287659;385.254944;824.547485;686.383362;45.768913;714.953857;1048.626587;213.962219;;;;;;;;;;;;;;;
4;799.380127;777.814087;85.336998;802.842590;665.114319;45.118290;718.542603;1021.308960;385.315796;828.626709;685.246338;50.384750;715.056213;1048.677124;214.158234;;;;;;;;;;;;;;;
5;799.383240;777.809570;85.356987;802.879761;665.071167;45.155445;718.523560;1021.403137;385.337402;829.024475;684.659363;50.678745;714.951782;1048.648560;213.986130;;;;;;;;;;;;;;;
6;799.412354;777.770203;85.364433;802.786682;665.068970;45.156204;718.559021;1021.423889;385.310303;828.033813;685.005981;49.554630;715.036682;1048.652954;214.227859;;;;;;;;;;;;;;;
7;799.402344;777.799377;85.347420;802.806335;665.102112;45.125652;718.886230;1021.514526;385.053284;827.259521;685.341309;48.683010;715.138184;1048.668457;214.320313;;;;;;;;;;;;;;;
8;799.373657;777.807312;85.342644;802.840027;665.085999;45.113228;718.756165;1021.445923;385.073273;827.705933;685.589600;49.266304;715.173523;1048.690918;214.246460;;;;;;;;;;;;;;;
9;799.377869;777.810059;85.356636;802.860107;665.122681;45.090527;718.607727;1021.405823;385.208282;827.612183;685.338806;49.128223;715.037170;1048.646851;214.016647;;;;;;;;;;;;;;;
10;799.358582;777.798279;85.350937;802.921631;665.093994;45.123363;718.579590;1021.420288;385.315491;827.425720;685.273560;48.902512;715.038330;1048.639526;214.003662;;;;;;;;;;;;;;;
11;799.368408;777.814453;85.345161;802.937561;665.008057;45.149536;718.570435;1021.513245;385.317902;827.653931;685.174866;48.937035;715.075623;1048.633057;214.041595;;;;;;;;;;;;;;;
12;799.381470;777.811584;85.356331;802.904297;665.082153;45.095661;718.847900;1021.600159;385.083923;827.752930;685.226013;48.932983;715.211060;1048.660889;214.299026;;;;;;;;;;;;;;;
13;799.354675;777.751404;85.358475;802.861755;665.051575;45.070400;718.806763;1021.584045;385.135590;827.499268;685.303162;48.843971;714.834106;1048.699585;214.244858;;;;;;;;;;;;;;;
14;799.390442;777.795532;85.347519;802.780334;665.072815;45.133442;718.959778;1021.660645;384.984680;827.337524;685.335693;48.814445;714.975830;1048.641357;214.118591;;;;;;;;;;;;;;;
15;799.371948;777.761658;85.350906;802.767151;665.069336;45.136356;718.806335;1021.681946;385.017120;827.589722;685.289490;48.865257;715.086731;1048.628540;214.036087;;;;;;;;;;;;;;;
16;799.369629;777.808838;85.347176;802.841553;665.006531;45.130600;718.972778;1021.780396;384.976776;827.741333;685.263123;48.949745;714.863281;1048.691162;214.147217;;;;;;;;;;;;;;;
17;799.389893;777.811279;85.351318;802.880127;665.073669;45.099968;718.829651;1021.701904;385.030884;827.448059;685.281006;48.885792;714.758972;1048.713135;214.296768;;;;;;;;;;;;;;;
18;799.375549;777.756836;85.340469;802.812256;665.026672;45.127922;718.965149;1021.762451;384.991577;827.318665;685.315369;48.785229;714.806091;1048.812866;214.310684;;;;;;;;;;;;;;;
19;799.369995;777.795410;85.344986;802.758850;664.970886;45.155556;719.099182;1021.807800;384.890839;827.259583;685.325073;48.705135;714.847351;1048.829590;214.272354;;;;;;;;;;;;;;;
20;799.389526;777.762512;85.351402;802.734741;664.963135;45.197834;719.144714;1021.865723;384.891510;827.546692;685.279358;48.824757;714.912964;1048.816650;214.296951;;;;;;;;;;;;;;;
21;799.374939;777.797607;85.347534;802.801575;665.080750;45.146168;719.205627;1021.906250;384.888458;827.524780;685.202393;48.958767;714.919556;1048.812622;214.304932;;;;;;;;;;;;;;;
22;799.393433;777.818420;85.353760;802.818604;665.116089;45.109409;718.960388;1021.825806;385.120880;827.652893;685.220642;48.960842;714.912109;1048.813110;214.307816;;;;;;;;;;;;;;;
23;799.445862;777.797058;85.390633;802.784180;665.092773;45.131485;719.026367;1021.952087;385.082062;827.696045;685.252502;48.947800;714.882874;1048.810669;214.275558;;;;;;;;;;;;;;;
24;799.408020;777.802795;85.352859;802.758606;665.056885;45.137245;719.205017;1022.017517;384.927032;827.760254;685.508911;49.527962;714.873779;1048.789551;214.320633;;;;;;;;;;;;;;;
25;799.449402;777.799133;85.399170;802.790588;665.082703;45.135708;719.261841;1022.004578;384.924530;827.779968;685.272583;49.189972;714.885071;1048.802979;214.280487;;;;;;;;;;;;;;;
26;799.420898;777.811096;85.351547;802.757874;665.070740;45.158291;719.125366;1022.026794;385.135895;827.438354;685.251587;48.887115;715.018494;1048.818237;214.258331;;;;;;;;;;;;;;;
27;799.411621;777.815857;85.334900;802.752808;665.053284;45.144661;719.200256;1022.085754;385.085022;827.265015;685.335815;48.717419;715.039185;1048.802490;214.296692;;;;;;;;;;;;;;;
28;799.438965;777.813171;85.383804;802.763489;665.069397;45.154552;719.158447;1022.092163;385.250854;827.515320;685.298706;48.795731;715.027222;1048.805054;214.365051;;;;;;;;;;;;;;;
29;799.458740;777.797607;85.412567;802.766724;665.076294;45.157074;719.114563;1022.172974;385.346313;827.403442;685.289185;48.872498;715.011963;1048.807251;214.386475;;;;;;;;;;;;;;;
30;799.413147;777.807312;85.367317;802.796692;665.092529;45.133675;719.221924;1022.188965;385.159149;827.673279;685.522827;49.497265;714.999512;1048.800903;214.341705;;;;;;;;;;;;;;;
31;799.430969;777.804382;85.426796;802.760132;665.072021;45.153236;719.105957;1022.214294;385.172394;827.874268;685.525818;49.774429;715.007690;1048.799194;214.322189;;;;;;;;;;;;;;;
32;799.372681;777.819641;85.357346;802.717041;665.083984;45.176319;719.286987;1022.295654;385.092651;828.170898;685.024963;49.253086;715.749878;1049.082520;213.921143;;;;;;;;;;;;;;;
33;799.457581;777.808655;85.392647;802.669983;665.064941;45.205811;719.416748;1022.399597;385.144470;827.526917;685.184753;48.913147;715.294006;1048.937744;214.082092;;;;;;;;;;;;;;;
34;799.466797;777.796692;85.411705;802.677490;665.065918;45.207188;719.180725;1022.373291;385.244293;827.309143;685.395874;48.993992;715.041931;1048.792725;214.369888;;;;;;;;;;;;;;;
35;799.473572;777.802002;85.409531;802.598572;665.157410;45.634247;719.292603;1022.372070;385.299347;827.090210;685.303223;49.001015;714.992554;1048.788940;214.468216;;;;;;;;;;;;;;;
36;799.380127;777.737000;85.455658;802.521545;665.140686;45.807209;719.397034;1022.473145;385.249573;827.042847;685.104187;48.982052;715.016663;1048.798462;214.388290;;;;;;;;;;;;;;;
37;799.389709;777.728333;85.482544;802.473328;665.138306;45.759148;719.424683;1022.586487;385.216614;827.689392;684.820679;49.222038;715.054260;1048.798584;214.337601;;;;;;;;;;;;;;;
38;799.387329;777.733459;85.521133;802.538757;665.044250;45.290863;719.396240;1022.681763;385.257477;827.388855;684.875061;49.200859;715.122986;1048.898682;214.347778;;;;;;;;;;;;;;;
39;799.364563;777.697876;85.504799;802.562134;665.151489;45.497314;719.222046;1022.632385;385.487579;827.097900;685.023682;49.036076;715.112000;1048.900879;214.413910;;;;;;;;;;;;;;;
40;799.318054;777.674500;85.517578;802.485107;665.108154;45.442276;719.372009;1022.738770;385.542114;827.474365;684.768250;48.959724;715.086975;1048.892090;214.444046;;;;;;;;;;;;;;;
41;799.317383;777.672424;85.497147;802.472717;665.049622;45.187290;719.303467;1022.741821;385.493958;827.631287;684.640442;49.023781;715.036743;1048.784668;214.454285;;;;;;;;;;;;;;;
42;799.301880;777.643616;85.512695;802.384033;664.981689;45.143051;719.271545;1022.810852;385.609802;827.671997;684.661621;49.086155;715.069702;1048.765381;214.478836;;;;;;;;;;;;;;;
43;799.254333;777.630005;85.570221;802.384277;664.942017;45.233837;719.468933;1022.946533;385.548676;827.621887;684.584656;49.019344;715.084778;1048.771973;214.475967;;;;;;;;;;;;;;;
44;799.244202;777.597412;85.612221;802.382568;664.954346;45.185539;719.227112;1022.901184;385.763641;827.550476;684.590637;48.821758;715.126648;1048.763672;214.480011;;;;;;;;;;;;;;;
45;799.268921;777.593994;85.614548;802.368774;665.057983;45.208435;719.268494;1023.010803;385.706757;827.423401;684.705383;48.925323;715.150085;1048.766235;214.511185;;;;;;;;;;;;;;;
46;799.278015;777.595215;85.598457;802.351868;664.975952;45.179077;719.050964;1022.840942;386.150543;827.173523;684.822510;49.099831;715.172119;1048.769775;214.551376;;;;;;;;;;;;;;;
47;799.227234;777.596375;85.612038;802.327576;664.963501;45.177956;719.237732;1023.076965;385.875946;827.231445;684.695435;49.179947;715.151611;1048.752930;214.618713;;;;;;;;;;;;;;;
48;799.204956;777.599365;85.616859;802.298218;665.045959;45.204151;719.477600;1023.139160;385.777405;826.782410;684.932007;49.182659;715.115784;1048.831543;214.669708;;;;;;;;;;;;;;;
49;799.207642;777.618835;85.587509;802.298462;664.983643;45.197708;719.479431;1023.225647;385.745300;826.891113;684.873230;49.142200;715.192078;1048.864014;214.660568;;;;;;;;;;;;;;;
50;799.255371;777.596680;85.604599;802.212891;664.929993;45.288952;719.502136;1023.235596;385.783478;827.032837;684.796143;49.118916;715.214355;1048.857910;214.598526;;;;;;;;;;;;;;;
51;799.226929;777.614624;85.598717;802.235718;665.008240;45.240623;719.489136;1023.324951;385.834930;827.007751;684.801270;49.122116;715.226501;1048.837280;214.665207;;;;;;;;;;;;;;;
52;799.194702;777.618164;85.597221;802.233582;665.068665;45.197159;719.553345;1023.430786;385.938843;826.724792;684.953491;48.957073;715.262939;1048.827881;214.745667;;;;;;;;;;;;;;;
53;799.203186;777.604980;85.623787;802.312927;665.069885;45.160759;719.563354;1023.440674;385.950226;826.715515;684.924866;49.003593;715.072205;1048.739502;215.033432;;;;;;;;;;;;;;;
54;799.198792;777.664368;85.618790;802.254639;665.066528;45.232231;719.592529;1023.542114;385.905365;826.667053;684.991882;49.111767;715.094788;1048.812622;214.834686;;;;;;;;;;;;;;;
55;799.224487;777.680359;85.595207;802.199158;665.032898;45.249290;719.581482;1023.642639;385.935944;826.613159;685.054504;49.093071;715.059570;1048.746216;215.012863;;;;;;;;;;;;;;;
56;799.253784;777.687317;85.587990;802.246765;665.072388;45.230968;719.574951;1023.657349;385.999664;826.981140;684.938110;48.874561;715.130676;1048.727173;215.123489;;;;;;;;;;;;;;;
57;799.262329;777.687622;85.592514;802.272827;665.105042;45.247162;719.534241;1023.737305;386.045380;827.126282;684.847046;48.832844;715.128418;1048.736816;215.133102;;;;;;;;;;;;;;;
58;799.235229;777.707886;85.576271;802.270874;665.106812;45.255726;719.558105;1023.855286;385.981873;827.127625;684.854187;48.817745;715.138977;1048.737427;215.112717;;;;;;;;;;;;;;;
59;799.289856;777.721191;85.594078;802.284485;665.113342;45.247707;719.647400;1023.880981;385.939911;827.300415;684.778259;48.874367;715.115784;1048.828979;215.140533;;;;;;;;;;;;;;;
60;799.289124;777.783752;85.618317;802.291077;665.117004;45.240330;719.742554;1023.891968;386.080750;827.051331;684.948608;48.932552;715.216492;1048.852417;215.127167;;;;;;;;;;;;;;;
61;799.236145;777.789185;85.593842;802.272278;665.105530;45.250568;719.726746;1023.959167;386.083923;827.049438;684.940125;48.807266;715.344666;1048.839600;215.118652;;;;;;;;;;;;;;;
62;799.237427;777.775391;85.617737;802.278503;665.182312;45.236225;719.725952;1024.075684;386.063416;826.876587;685.034058;48.788570;715.264954;1048.847168;215.095200;;;;;;;;;;;;;;;
63;799.274231;777.787354;85.634560;802.313293;665.214539;45.164448;719.756226;1024.088013;386.078979;826.807312;685.116333;48.774746;715.250427;1048.932861;215.151886;;;;;;;;;;;;;;;
64;799.247803;777.811401;85.608109;802.184021;665.242493;45.306797;719.756592;1024.182251;386.114685;827.039185;685.099670;48.995358;715.334717;1048.961182;215.158997;;;;;;;;;;;;;;;
65;799.208984;777.814331;85.647049;802.031738;665.223755;45.375900;719.732117;1024.287231;386.159210;826.967590;685.055237;48.924297;715.396545;1048.956177;215.154266;;;;;;;;;;;;;;;
66;799.172363;777.800110;85.679756;801.927246;665.237000;45.479687;719.813477;1024.285278;386.170380;826.801880;685.170776;48.752026;715.419434;1048.949463;215.137833;;;;;;;;;;;;;;;
67;799.131714;777.825195;85.639458;801.843018;665.253113;45.606792;719.867798;1024.374634;386.147491;826.698914;685.233398;48.642166;715.461914;1048.945190;215.144470;;;;;;;;;;;;;;;
68;799.171875;777.885010;85.613785;801.783447;665.254883;45.631821;719.892029;1024.396973;386.126343;826.801453;685.176758;48.782742;715.544678;1048.958008;215.094635;;;;;;;;;;;;;;;
69;799.100281;777.862183;85.578941;801.728699;665.244202;45.632580;719.893066;1024.474976;386.134552;826.830078;685.223694;48.805073;715.500610;1049.057739;215.090805;;;;;;;;;;;;;;;
70;799.066467;777.895935;85.579956;801.768799;665.337646;45.672245;719.868103;1024.513062;386.217438;826.745422;685.265564;48.743542;715.522644;1049.068726;215.162903;;;;;;;;;;;;;;;
71;799.054260;777.916992;85.568840;801.696045;665.356201;45.728504;719.915344;1024.604248;386.186646;826.526123;685.320068;48.961079;715.565369;1049.057129;215.193054;;;;;;;;;;;;;;;
72;799.087219;777.918274;85.606369;801.624023;665.409546;45.837749;719.956726;1024.686401;386.238739;826.469116;685.323364;49.027401;715.651794;1049.049072;215.241882;;;;;;;;;;;;;;;
73;799.074951;777.920959;85.572922;801.617126;665.351440;45.846519;719.991394;1024.721924;386.221313;826.517761;685.315735;49.026958;715.667969;1049.066772;215.135925;;;;;;;;;;;;;;;
74;799.057800;777.917236;85.563622;801.748108;665.355347;45.670532;719.977844;1024.793457;386.257721;826.770569;685.281616;48.828186;715.710754;1049.046997;215.225357;;;;;;;;;;;;;;;
75;799.070068;777.927185;85.585869;801.628784;665.406616;45.754395;720.002869;1024.834839;386.268341;826.835449;685.287598;48.786133;715.737915;1049.036743;215.281403;;;;;;;;;;;;;;;
76;799.123291;777.970215;85.644165;801.566772;665.383362;45.916183;720.011169;1024.912231;386.214508;826.597534;685.307434;48.976009;715.797852;1049.053955;215.245087;;;;;;;;;;;;;;;
77;799.168457;778.033081;85.625839;801.522705;665.448914;45.902729;720.068542;1025.007568;386.332520;826.501099;685.335205;48.999603;715.841553;1049.054688;215.201813;;;;;;;;;;;;;;;
78;799.094116;777.989014;85.580643;801.580872;665.506104;45.810993;720.088562;1025.093018;386.291168;826.424316;685.377686;48.886433;715.835205;1049.055054;215.205612;;;;;;;;;;;;;;;
79;799.170166;778.006470;85.675354;801.678223;665.511414;45.807846;720.114563;1025.124390;386.315430;826.641785;685.305969;48.750256;715.906860;1049.042480;215.239807;;;;;;;;;;;;;;;
80;799.110229;778.018127;85.746666;801.566833;665.449951;45.956474;720.191101;1025.187622;386.430511;826.794250;685.372437;48.715572;715.952209;1049.037964;215.261780;;;;;;;;;;;;;;;
81;799.074341;778.040344;85.755127;801.623840;665.475586;45.891392;720.149780;1025.263428;386.406097;826.800720;685.357300;48.831730;716.074829;1049.043091;215.223907;;;;;;;;;;;;;;;
