PTP314;;;
Date:;2025/04/08;;
Time:;13:19:07;;
Type:;test;;
Description:;"";;
Notes:;"";;
TRAJECTORIES;;;
200.000000;Hz;;
;*1;;
Field #;X;Y;Z
1;260.128876;685.815918;112.596588
2;260.113708;685.668518;112.954285
3;260.061401;685.495056;113.269882
4;259.976379;685.244385;113.793350
5;259.888733;684.905884;114.139549
6;259.707031;684.556458;114.689148
7;259.728302;684.251892;115.015686
8;259.702423;683.859070;115.322060
9;259.681274;683.572388;115.592705
10;259.513947;683.215515;116.165268
11;259.200897;682.861694;116.816162
12;258.941681;682.475647;117.491875
13;258.686340;682.057434;117.984665
14;258.272644;681.183167;118.796814
15;257.840759;680.213379;119.685776
16;257.552734;679.427002;120.226158
17;256.935852;678.483459;121.559677
18;256.306946;677.105042;122.682251
19;255.627319;675.888000;123.937248
20;254.878723;674.519958;125.224556
21;254.239288;672.943115;126.948486
22;253.406296;671.098450;128.571365
23;252.923325;669.395081;129.709930
24;252.278061;667.388611;131.386215
25;251.537079;665.328430;133.059662
26;250.882675;663.226746;134.481323
27;250.158539;660.939453;136.121506
28;249.663483;658.653503;137.699814
29;249.457565;656.512634;139.225037
30;248.805817;653.748901;140.935654
31;248.283630;651.149353;142.447067
32;247.690521;648.573975;144.035614
33;247.362671;645.878540;145.869156
34;247.208359;643.101868;147.557724
35;246.772324;640.097412;149.055984
36;246.192413;637.038025;150.821991
37;245.931580;633.862183;152.600861
38;245.951965;630.564575;154.056915
39;245.489258;627.161987;155.792358
40;245.055740;623.577515;157.410477
41;245.369980;619.882080;158.622986
42;244.907425;616.119507;160.256073
43;244.490921;612.254150;161.691559
44;244.380524;608.285400;163.382950
45;244.359222;604.550110;164.578094
46;243.890884;600.640015;165.948334
47;243.497131;596.575928;167.241272
48;243.526428;592.571350;168.234177
49;243.536285;588.582825;169.387741
50;243.240372;584.270752;169.879440
51;242.975143;580.311157;170.499344
52;242.975769;576.462097;170.931610
53;243.088486;572.824280;171.610138
54;243.474152;568.533020;171.866608
55;243.439133;564.597046;172.117737
56;243.541107;560.794189;172.174805
57;243.699219;557.048645;172.253723
58;244.176987;553.003418;171.839584
59;244.417053;548.892944;172.096085
60;244.976974;544.944946;171.786331
61;245.084732;541.248352;171.535507
62;245.446732;537.456665;170.870163
63;245.770065;533.462708;170.314133
64;246.088455;529.432739;169.604126
65;246.564209;525.495789;169.241364
66;247.029160;521.652710;168.545822
67;247.500076;518.031982;168.125565
68;247.609528;514.309448;167.273712
69;248.303482;510.490448;166.396851
70;248.449875;506.765350;165.471252
71;248.819595;503.072296;164.481445
72;249.116592;499.513123;163.902939
73;249.424606;496.064758;162.915329
74;249.905502;492.634399;161.894791
75;250.460403;489.334564;160.537415
76;250.922394;486.025024;159.747147
77;251.187683;483.100586;158.678787
78;251.679688;480.159363;157.636261
79;252.221024;477.250122;156.561279
80;252.929886;474.604492;155.410553
81;253.333832;471.874878;154.248306
82;253.873138;469.220062;153.241714
83;254.456955;466.573761;151.770599
84;254.978195;464.482697;151.077957
85;255.513046;462.039032;149.639023
86;256.289734;459.772888;148.273376
87;256.783508;457.624847;147.333435
88;257.257172;455.565063;146.124298
89;257.715820;453.725464;145.160721
90;258.192841;451.718292;143.967377
91;258.591217;449.894684;143.045822
92;259.165161;448.007446;141.907074
93;259.536560;446.557495;141.022568
94;259.988495;444.825134;140.078125
95;260.633972;443.303925;138.650604
96;261.098663;442.149750;137.641510
97;261.623535;440.777679;137.072357
98;262.408508;439.447693;135.282425
99;262.823578;438.504272;134.170792
100;263.341553;437.416382;133.770782
101;263.930115;436.337280;132.853745
102;264.561829;435.367218;131.591736
103;264.837555;434.443420;130.596756
104;265.216919;433.725983;130.175613
105;265.874268;432.843475;128.908112
106;266.538239;432.008850;127.637817
107;266.819702;431.312805;126.786110
108;267.091492;430.694092;126.182571
109;267.356934;430.208710;125.036255
110;267.624146;429.707031;124.245583
111;268.112335;429.072815;123.354866
112;268.874695;428.753448;122.032608
113;269.262573;428.622742;120.966530
114;269.892090;428.250519;119.854652
115;270.136871;427.970093;118.922066
116;270.155487;427.648865;117.883492
117;269.832977;427.271759;116.940285
118;269.453125;427.040283;116.429497
119;269.102417;426.760956;116.205345
120;269.128937;426.550323;115.929741
121;269.177399;426.432037;115.799828
122;269.405457;426.358429;115.568565
123;269.464539;426.192352;115.738861
124;269.520660;426.121124;115.840874
125;269.761597;425.996826;115.997086
126;269.930206;425.926331;116.149239
127;270.081146;425.917267;116.264923
128;270.120300;425.985046;116.219254
129;270.141693;426.095459;116.167702
130;270.217133;426.280212;115.927650
131;270.128754;426.496857;115.936066
132;270.048615;426.662415;115.816704
133;269.896301;426.757202;115.717102
134;269.685181;426.866882;115.377167
135;269.605652;427.038635;115.208138
136;269.475800;427.116180;115.164322
137;269.395538;427.198975;115.130478
138;269.256165;427.241943;115.087128
139;269.201813;427.338135;115.079544
140;269.152802;427.361053;115.042809
141;269.146393;427.403961;114.997765
142;269.143616;427.417908;115.020523
143;269.142365;427.415985;115.029854
144;269.153564;427.464813;115.008904
145;269.211853;427.544739;114.948723
146;269.294434;427.531128;114.966499
147;269.369965;427.516876;114.975716
148;269.468811;427.508301;114.983940
149;269.477905;427.507660;114.982849
150;269.555695;427.572021;115.092018
151;269.719574;427.531036;115.184052
152;269.789124;427.644379;115.087410
153;269.897827;427.574341;115.129982
154;270.004303;427.560089;115.165215
155;270.097595;427.566742;115.205238
156;270.179138;427.594635;114.997536
157;270.282745;427.590027;114.971313
