Weight12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;10:57:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;892.153748;671.636780;132.149536;1121.199219;729.679565;262.634460;1097.176636;708.908875;424.868011;807.700012;628.134521;95.692482;777.137634;708.017761;100.526245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;892.016174;671.798157;132.220154;1121.202393;729.742493;262.644104;1097.176636;708.908875;424.868011;807.759460;628.123779;95.724014;777.111694;708.026978;100.545013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;891.980713;671.828308;132.188049;1121.239868;729.709717;262.641693;1097.176636;708.908875;424.868011;807.821716;628.205383;95.787003;777.051270;708.017273;100.594353;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;892.101807;671.854614;132.194824;1121.431763;729.700073;262.651855;1097.124756;708.938660;424.830322;807.837036;628.221069;95.749557;776.949463;708.031860;100.590424;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;892.029785;671.921387;132.249924;1121.395752;729.731262;262.660522;1097.096191;708.949524;424.821411;807.898010;628.231628;95.699913;776.956970;708.024353;100.567635;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;891.908020;671.973755;132.237701;1121.462769;729.715942;262.657776;1097.169800;708.936707;424.775940;807.987000;628.232117;95.850838;776.967834;708.024170;100.554810;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;891.887390;671.977722;132.235092;1121.436401;729.732361;262.659729;1097.254272;708.906311;424.776764;808.046692;628.219543;95.818253;776.987305;707.935242;100.536232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;891.888672;672.076477;132.259705;1121.443359;729.744873;262.660278;1097.264893;708.903015;424.781586;808.081604;628.201294;95.814407;776.983032;708.000610;100.539238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;891.953064;672.082092;132.303650;1121.467773;729.736877;262.663025;1097.179810;708.944458;424.735870;808.066345;628.222656;95.778816;776.979919;707.940552;100.532066;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;892.034241;672.081787;132.358978;1121.547241;729.780945;262.726135;1097.277588;709.029541;424.571564;808.176086;628.295532;95.780693;776.991272;707.916565;100.529350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;891.951843;672.080688;132.339951;1121.601563;729.849915;262.700256;1097.324707;708.997925;424.746918;808.209167;628.269714;95.796341;776.998596;707.999878;100.531929;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;892.061157;672.032898;132.275238;1121.643555;729.856812;262.692108;1097.365479;709.019531;424.562164;808.203003;628.201233;95.778732;776.992493;707.942200;100.532860;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;892.096313;672.032532;132.265457;1121.646973;729.852295;262.693146;1097.587158;708.912598;424.711395;808.252319;628.198364;95.752136;777.013794;707.908936;100.517624;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;892.154358;672.025940;132.290543;1121.694092;729.850464;262.747498;1097.595215;708.897400;424.765076;808.322083;628.287231;95.672363;777.084900;707.918091;100.467194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;892.246521;672.019104;132.324463;1121.728882;729.881104;262.769928;1097.635254;708.893005;424.711334;808.326233;628.339111;95.663086;777.162659;708.002625;100.499634;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;892.210876;672.016602;132.363586;1121.734131;729.870789;262.738831;1097.714111;708.901489;424.742340;808.349548;628.330933;95.709923;777.108093;708.051331;100.431847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;892.133362;671.932068;132.325409;1121.800171;729.830017;262.750946;1097.703491;708.956299;424.717194;808.309448;628.321289;95.699959;777.091675;708.031982;100.457054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;892.250427;671.833984;132.035751;1121.750977;729.854736;262.756073;1097.770264;708.996460;424.723145;808.318542;628.218750;95.707558;777.081848;708.043579;100.436378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;892.445007;671.786804;131.958923;1121.746338;729.859192;262.736542;1097.762451;708.960510;424.720276;808.336060;628.283508;95.736885;777.087646;708.047607;100.422173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;892.332336;671.928467;131.872635;1122.116211;729.818481;263.129578;1097.823486;708.985291;424.674103;808.327759;628.223206;95.714600;777.086853;708.026794;100.457901;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;892.410645;671.829651;131.912796;1121.926025;729.853271;262.802307;1097.815063;708.992432;424.666046;808.278137;628.210632;95.727837;777.082947;708.042786;100.437721;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;892.334473;671.860962;132.253311;1121.877319;729.854004;262.733154;1097.927856;708.986633;424.720337;808.260925;628.210876;95.742363;777.102295;708.039978;100.403687;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;892.139099;671.910828;132.351715;1121.839233;729.853149;262.700592;1097.937256;708.982300;424.690247;808.249146;628.304382;95.598808;777.116821;708.035156;100.386818;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
