Weight32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;16:07:31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;883.212524;729.585999;126.638069;1067.605957;856.603699;522.930176;1028.679077;812.966248;320.004761;838.187500;650.548645;89.444550;763.796509;686.876526;102.223251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;883.096069;729.618896;126.758141;1066.994507;856.762512;523.081787;1028.781860;812.968506;319.853241;837.353516;653.006226;88.074074;763.872681;686.839905;102.271111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;883.116394;729.610352;126.900749;1066.911255;856.771851;523.109253;1028.801758;812.980225;319.853607;836.759521;654.911499;87.052971;763.874634;686.860474;102.276642;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;883.167786;729.598022;126.913422;1066.942017;856.761475;523.037231;1028.747803;812.972656;319.944641;836.689880;655.409363;86.843719;763.871704;686.844788;102.273827;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;883.148499;729.667297;126.995461;1067.152222;856.668335;522.897644;1028.760376;813.051270;319.935425;837.004028;654.711975;87.279701;763.846558;686.851685;102.322182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;883.035095;729.778748;127.122665;1067.116577;856.714355;523.117371;1028.794556;813.093384;319.876038;837.632202;653.390747;88.054962;763.832336;686.834167;102.347389;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;883.018433;729.773132;127.223076;1066.905762;856.733093;523.040710;1028.862427;813.169128;319.897278;837.816345;652.118103;88.647903;763.908020;686.839172;102.383621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;882.986023;729.759399;127.283806;1066.785278;856.772705;522.954651;1028.897461;813.178650;319.920471;837.898376;651.229797;89.134285;763.891296;686.832397;102.405975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;882.927917;729.791626;127.326691;1066.791260;856.668518;522.900024;1028.889404;813.172852;319.929626;837.828857;650.897888;89.390556;763.935669;686.747314;102.399261;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
